,country,participant,result,olympic_game,discipline,event
0,,,00:03:53.900,Albertville 1992,Bobsleigh,four-man men
1,,,00:03:53.920,Albertville 1992,Bobsleigh,four-man men
2,,,00:03:54.130,Albertville 1992,Bobsleigh,four-man men
3,,,00:03:54.240,Albertville 1992,Bobsleigh,four-man men
4,,,00:03:54.380,Albertville 1992,Bobsleigh,four-man men
5,,,00:03:54.420,Albertville 1992,Bobsleigh,four-man men
6,,,00:03:54.890,Albertville 1992,Bobsleigh,four-man men
7,,,00:03:54.910,Albertville 1992,Bobsleigh,four-man men
8,,,00:03:54.920,Albertville 1992,Bobsleigh,four-man men
9,,,00:03:55.010,Albertville 1992,Bobsleigh,four-man men
10,,,00:03:55.230,Albertville 1992,Bobsleigh,four-man men
11,,,00:03:55.880,Albertville 1992,Bobsleigh,four-man men
12,,,00:03:55.910,Albertville 1992,Bobsleigh,four-man men
13,,,00:03:55.920,Albertville 1992,Bobsleigh,four-man men
14,,,00:03:55.980,Albertville 1992,Bobsleigh,four-man men
15,,,00:03:56.720,Albertville 1992,Bobsleigh,four-man men
16,,,00:03:57.240,Albertville 1992,Bobsleigh,four-man men
17,,,00:03:57.410,Albertville 1992,Bobsleigh,four-man men
18,,,00:03:57.430,Albertville 1992,Bobsleigh,four-man men
19,,,00:03:57.440,Albertville 1992,Bobsleigh,four-man men
20,,,00:03:58.550,Albertville 1992,Bobsleigh,four-man men
21,,,00:04:00.590,Albertville 1992,Bobsleigh,four-man men
22,,,00:04:00.590,Albertville 1992,Bobsleigh,four-man men
23,,,00:04:01.300,Albertville 1992,Bobsleigh,four-man men
24,,,00:04:01.370,Albertville 1992,Bobsleigh,four-man men
25,,,00:04:01.940,Albertville 1992,Bobsleigh,four-man men
26,,,00:04:02.630,Albertville 1992,Bobsleigh,four-man men
27,,,00:04:05.140,Albertville 1992,Bobsleigh,four-man men
28,,,00:04:10.350,Albertville 1992,Bobsleigh,four-man men
29,,,Did not finish,Albertville 1992,Bobsleigh,four-man men
30,,,Disqualified,Albertville 1992,Bobsleigh,four-man men
0,SUI,gustav weder,00:04:03.260,Albertville 1992,Bobsleigh,two-man men
1,GER,rudolf lochner,00:04:03.550,Albertville 1992,Bobsleigh,two-man men
2,GER,günther eger,00:04:03.630,Albertville 1992,Bobsleigh,two-man men
3,AUT,ingo appelt,00:04:03.670,Albertville 1992,Bobsleigh,two-man men
4,ITA,günther huber,00:04:03.720,Albertville 1992,Bobsleigh,two-man men
5,GBR,mark tout,00:04:03.870,Albertville 1992,Bobsleigh,two-man men
6,USA,herschel walker,00:04:03.950,Albertville 1992,Bobsleigh,two-man men
7,AUT,gerhard rainer,00:04:04.000,Albertville 1992,Bobsleigh,two-man men
