,country,participant,result,olympic_game,discipline,event
0,,,100,Albertville 1992,Ice Hockey,ice hockey men
1,,,95,Albertville 1992,Ice Hockey,ice hockey men
2,,,83,Albertville 1992,Ice Hockey,ice hockey men
3,,,49,Albertville 1992,Ice Hockey,ice hockey men
4,,,67,Albertville 1992,Ice Hockey,ice hockey men
5,,,49,Albertville 1992,Ice Hockey,ice hockey men
6,,,74,Albertville 1992,Ice Hockey,ice hockey men
7,,,46,Albertville 1992,Ice Hockey,ice hockey men
8,,,31,Albertville 1992,Ice Hockey,ice hockey men
9,,,45,Albertville 1992,Ice Hockey,ice hockey men
10,,,27,Albertville 1992,Ice Hockey,ice hockey men
11,,,56,Albertville 1992,Ice Hockey,ice hockey men
