,country,participant,result,olympic_game,discipline,event
0,NED,bart veldkamp,00:14:12.120,Albertville 1992,Speed skating,10000m men
1,NOR,johann olav koss,00:14:14.580,Albertville 1992,Speed skating,10000m men
2,NOR,geir karlstad,00:14:18.130,Albertville 1992,Speed skating,10000m men
3,NED,robert vunderink,00:14:22.920,Albertville 1992,Speed skating,10000m men
4,JPN,kazuhiro sato,00:14:28.300,Albertville 1992,Speed skating,10000m men
5,AUT,michael hadschieff,00:14:28.800,Albertville 1992,Speed skating,10000m men
6,SWE,per bengtsson,00:14:35.580,Albertville 1992,Speed skating,10000m men
7,NOR,steinar johansen,00:14:36.090,Albertville 1992,Speed skating,10000m men
8,ITA,roberto sighel,00:14:38.230,Albertville 1992,Speed skating,10000m men
9,EUN,yevgeny sanarov,00:14:38.990,Albertville 1992,Speed skating,10000m men
10,NED,thomas bos,00:14:40.130,Albertville 1992,Speed skating,10000m men
11,AUS,danny kah,00:14:42.320,Albertville 1992,Speed skating,10000m men
12,JPN,toshihiko itokawa,00:14:42.350,Albertville 1992,Speed skating,10000m men
13,POL,jaromir radke,00:14:42.600,Albertville 1992,Speed skating,10000m men
14,GER,markus tröger,00:14:45.410,Albertville 1992,Speed skating,10000m men
15,SWE,jonas schön,00:14:46.200,Albertville 1992,Speed skating,10000m men
16,EUN,bronislav snetkov,00:14:46.870,Albertville 1992,Speed skating,10000m men
17,JPN,keiji shirahata,00:14:47.560,Albertville 1992,Speed skating,10000m men
18,EUN,vadim sayutin,00:14:49.310,Albertville 1992,Speed skating,10000m men
19,GER,frank dittrich,00:14:50.230,Albertville 1992,Speed skating,10000m men
20,FIN,timo järvinen,00:14:50.750,Albertville 1992,Speed skating,10000m men
21,USA,brian wanek,00:14:51.340,Albertville 1992,Speed skating,10000m men
22,GER,rudolf jeklic,00:14:51.890,Albertville 1992,Speed skating,10000m men
23,USA,mark greenwald,00:15:03.020,Albertville 1992,Speed skating,10000m men
24,TCH,jiri kyncl,00:15:03.970,Albertville 1992,Speed skating,10000m men
25,CAN,neal marshall,00:15:07.030,Albertville 1992,Speed skating,10000m men
26,USA,jeffrey klaiber,00:15:13.650,Albertville 1992,Speed skating,10000m men
27,TCH,jiri musil,00:15:14.180,Albertville 1992,Speed skating,10000m men
28,MGL,ganbold nyamdondovyn,00:15:18.560,Albertville 1992,Speed skating,10000m men
29,AUS,phillip tahmindjis,fall,Albertville 1992,Speed skating,10000m men
0,GER,olaf zinke,00:01:14.850,Albertville 1992,Speed skating,1000m men
1,KOR,yoon-man kim,00:01:14.860,Albertville 1992,Speed skating,1000m men
2,JPN,yukinori miyabe,00:01:14.920,Albertville 1992,Speed skating,1000m men
3,NED,gerard van velde,00:01:14.930,Albertville 1992,Speed skating,1000m men
4,GER,peter adeberg,00:01:15.040,Albertville 1992,Speed skating,1000m men
5,EUN,igor zhelezovsky,00:01:15.050,Albertville 1992,Speed skating,1000m men
6,CAN,guy thibault,00:01:15.360,Albertville 1992,Speed skating,1000m men
