,country,participant,result,olympic_game,discipline,event
0,FIN,paavo nurmi,00:31:45.800,Antwerp 1920,Athletics,10000m men
1,FRA,joseph guillemot,31:50.5est,Antwerp 1920,Athletics,10000m men
2,GBR,james wilson,31:56est,Antwerp 1920,Athletics,10000m men
3,ITA,augusto maccario,32:04est,Antwerp 1920,Athletics,10000m men
4,GBR,james hatton,32:10est,Antwerp 1920,Athletics,10000m men
5,FRA,jean baptiste manhes,32:35est,Antwerp 1920,Athletics,10000m men
6,FIN,heikki liimatainen,32:36est,Antwerp 1920,Athletics,10000m men
7,USA,frederick william faller,32:46est,Antwerp 1920,Athletics,10000m men
8,SUI,oscar garin,34:30est,Antwerp 1920,Athletics,10000m men
9,DEN,albert andersen,Did not finish,Antwerp 1920,Athletics,10000m men
10,FRA,gaston heuet,Did not finish,Antwerp 1920,Athletics,10000m men
11,GBR,charles thomas clibbon,Did not finish,Antwerp 1920,Athletics,10000m men
12,ITA,carlo speroni,Did not finish,Antwerp 1920,Athletics,10000m men
13,SUI,alfred gaschen,Did not finish,Antwerp 1920,Athletics,10000m men
14,SWE,erik backman,Did not finish,Antwerp 1920,Athletics,10000m men
15,DEN,julius ebert,,Antwerp 1920,Athletics,10000m men
16,EST,jüri lossman,,Antwerp 1920,Athletics,10000m men
17,IND,phadeppa chaugule,,Antwerp 1920,Athletics,10000m men
18,USA,amisoli patasoni,,Antwerp 1920,Athletics,10000m men
19,AUS,sinton hewitt,,Antwerp 1920,Athletics,10000m men
20,USA,robert earl johnson,,Antwerp 1920,Athletics,10000m men
21,USA,george cornetta,,Antwerp 1920,Athletics,10000m men
22,ITA,constantino lussana,,Antwerp 1920,Athletics,10000m men
23,TCH,karel pacák,,Antwerp 1920,Athletics,10000m men
24,JPN,zensaku motegi,,Antwerp 1920,Athletics,10000m men
25,SWE,emanuel lundström,,Antwerp 1920,Athletics,10000m men
26,FRA,louis corlet,Did not start,Antwerp 1920,Athletics,10000m men
27,FIN,hannes kolehmainen,Did not start,Antwerp 1920,Athletics,10000m men
28,BEL,julien van campenhout,Did not start,Antwerp 1920,Athletics,10000m men
29,FRA,edmond bimont,Did not start,Antwerp 1920,Athletics,10000m men
30,FRA,rené vignaud,Did not start,Antwerp 1920,Athletics,10000m men
31,JPN,tomeichi ohura,Did not start,Antwerp 1920,Athletics,10000m men
32,FIN,frederik teudor koskenniemi,Did not start,Antwerp 1920,Athletics,10000m men
0,ITA,ugo frigerio,00:48:06.200,Antwerp 1920,Athletics,10000m walk men
1,USA,joseph pearman,49:20.0est / at 200 metres,Antwerp 1920,Athletics,10000m walk men
2,GBR,charlie gunn,49:23.0est / at 12 metres,Antwerp 1920,Athletics,10000m walk men
3,RSA,cecil charles mcmaster,50:04.0est / at 130 metres,Antwerp 1920,Athletics,10000m walk men
4,GBR,william hehir,50:25.0est / at 70 metres,Antwerp 1920,Athletics,10000m walk men
5,USA,thomas maroney,50:37.0est / at 40 metres,Antwerp 1920,Athletics,10000m walk men
6,BEL,jean seghers,50:45.0est / at 25 metres,Antwerp 1920,Athletics,10000m walk men
7,BEL,antoine doyen,57:30.0est / at 1000 metres,Antwerp 1920,Athletics,10000m walk men
8,AUS,george parker,Did not finish,Antwerp 1920,Athletics,10000m walk men
9,ESP,luis meléndez,Did not finish,Antwerp 1920,Athletics,10000m walk men
10,ITA,donato pavesi,Disqualified,Antwerp 1920,Athletics,10000m walk men
11,BEL,paul verlaeckt,,Antwerp 1920,Athletics,10000m walk men
12,DEN,gunnar rasmussen,,Antwerp 1920,Athletics,10000m walk men
13,EST,eduard hermann,,Antwerp 1920,Athletics,10000m walk men
14,FRA,martial simon,,Antwerp 1920,Athletics,10000m walk men
15,GBR,charles dowson,,Antwerp 1920,Athletics,10000m walk men
16,TCH,josef slehofer,,Antwerp 1920,Athletics,10000m walk men
17,BEL,charles wiggers,,Antwerp 1920,Athletics,10000m walk men
18,CAN,eversleigh freeman,,Antwerp 1920,Athletics,10000m walk men
19,DEN,niels pedersen,,Antwerp 1920,Athletics,10000m walk men
20,SUI,stanislas anselmetti,,Antwerp 1920,Athletics,10000m walk men
21,TCH,k. jelinek,Did not start,Antwerp 1920,Athletics,10000m walk men
22,TCH,jan plichta,Did not start,Antwerp 1920,Athletics,10000m walk men
23,ITA,nando altimani,Did not start,Antwerp 1920,Athletics,10000m walk men
24,USA,richard frederick remer,Did not start,Antwerp 1920,Athletics,10000m walk men
