,country,participant,result,olympic_game,discipline,event
0,GRE,ioannis malokinis,00:02:20.400,Athens 1896,Swimming,100m freestyle for sailors men
1,GRE,spyros khazapis,,Athens 1896,Swimming,100m freestyle for sailors men
2,GRE,dimitrios drivas,,Athens 1896,Swimming,100m freestyle for sailors men
3,GRE,nik. kourakos,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
4,GRE,k. kourkoulas,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
5,GRE,p. mikhalopoulos,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
6,GRE,k. salouros,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
7,GRE,d. santanis,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
8,GRE,n. stournaras,Did not start,Athens 1896,Swimming,100m freestyle for sailors men
0,HUN,alfred hajos,00:01:22.200,Athens 1896,Swimming,100m freestyle men
1,AUT,otto herschmann,00:01:22.800,Athens 1896,Swimming,100m freestyle men
2,USA,gardner williams,,Athens 1896,Swimming,100m freestyle men
3,GRE,alexandros khrysafos,,Athens 1896,Swimming,100m freestyle men
4,GRE,efstathios khorafas,,Athens 1896,Swimming,100m freestyle men
5,GRE,georgios anninos,,Athens 1896,Swimming,100m freestyle men
6,DEN,holger nielsen,Did not start,Athens 1896,Swimming,100m freestyle men
7,DEN,charles winckler,Did not start,Athens 1896,Swimming,100m freestyle men
8,FRA,alphonse grisel,Did not start,Athens 1896,Swimming,100m freestyle men
9,FRA,frantz reichel,Did not start,Athens 1896,Swimming,100m freestyle men
10,GBR,h. f. suter,Did not start,Athens 1896,Swimming,100m freestyle men
11,GRE,d. frangopoulos,Did not start,Athens 1896,Swimming,100m freestyle men
12,GRE,georgios valakakis,Did not start,Athens 1896,Swimming,100m freestyle men
13,GRE,n. katravas,Did not start,Athens 1896,Swimming,100m freestyle men
14,GRE,ag. diamantopoulos,Did not start,Athens 1896,Swimming,100m freestyle men
15,GRE,i. dontis,Did not start,Athens 1896,Swimming,100m freestyle men
16,GRE,georgios gaitanos,Did not start,Athens 1896,Swimming,100m freestyle men
17,GRE,g. k. karagiannis,Did not start,Athens 1896,Swimming,100m freestyle men
18,GRE,v. khatzis,Did not start,Athens 1896,Swimming,100m freestyle men
19,GRE,theod. kontos,Did not start,Athens 1896,Swimming,100m freestyle men
20,GRE,p. f. koukoudakis,Did not start,Athens 1896,Swimming,100m freestyle men
21,GRE,georgios lamprakis,Did not start,Athens 1896,Swimming,100m freestyle men
22,GRE,sav. laskaridis,Did not start,Athens 1896,Swimming,100m freestyle men
23,GRE,merk. lerias,Did not start,Athens 1896,Swimming,100m freestyle men
24,GRE,v. mangourakis,Did not start,Athens 1896,Swimming,100m freestyle men
25,GRE,i. markou,Did not start,Athens 1896,Swimming,100m freestyle men
26,GRE,g. marnezos,Did not start,Athens 1896,Swimming,100m freestyle men
27,GRE,panagiotis nastos,Did not start,Athens 1896,Swimming,100m freestyle men
28,GRE,georgios petrou,Did not start,Athens 1896,Swimming,100m freestyle men
29,GRE,fill. pothitos,Did not start,Athens 1896,Swimming,100m freestyle men
30,GRE,emm. valetsiotis,Did not start,Athens 1896,Swimming,100m freestyle men
31,GRE,ir. vlachos,Did not start,Athens 1896,Swimming,100m freestyle men
32,GRE,sol. xenopoulos,Did not start,Athens 1896,Swimming,100m freestyle men
33,HUN,ferenc reischl,Did not start,Athens 1896,Swimming,100m freestyle men
34,SWE,johan bergman,Did not start,Athens 1896,Swimming,100m freestyle men
