,country,participant,result,olympic_game,discipline,event
0,,,656,Athens 2004,Basketball,basketball men
1,,,623,Athens 2004,Basketball,basketball men
2,,,705,Athens 2004,Basketball,basketball men
3,,,750,Athens 2004,Basketball,basketball men
4,,,538,Athens 2004,Basketball,basketball men
5,,,555,Athens 2004,Basketball,basketball men
6,,,591,Athens 2004,Basketball,basketball men
7,,,454,Athens 2004,Basketball,basketball men
8,,,481,Athens 2004,Basketball,basketball men
9,,,479,Athens 2004,Basketball,basketball men
10,,,462,Athens 2004,Basketball,basketball men
11,,,383,Athens 2004,Basketball,basketball men
0,,,672,Athens 2004,Basketball,basketball women
1,,,663,Athens 2004,Basketball,basketball women
2,,,592,Athens 2004,Basketball,basketball women
3,,,634,Athens 2004,Basketball,basketball women
4,,,536,Athens 2004,Basketball,basketball women
5,,,499,Athens 2004,Basketball,basketball women
6,,,512,Athens 2004,Basketball,basketball women
7,,,459,Athens 2004,Basketball,basketball women
8,,,442,Athens 2004,Basketball,basketball women
9,,,444,Athens 2004,Basketball,basketball women
10,,,403,Athens 2004,Basketball,basketball women
11,,,384,Athens 2004,Basketball,basketball women
