,country,participant,result,olympic_game,discipline,event
0,GBR,chris hoy,00:01:00.711,Athens 2004,Cycling Track,1km time trial men
1,FRA,arnaud tournant,00:01:00.896,Athens 2004,Cycling Track,1km time trial men
2,GER,stefan nimke,00:01:01.186,Athens 2004,Cycling Track,1km time trial men
3,AUS,shane kelly,00:01:01.224,Athens 2004,Cycling Track,1km time trial men
4,NED,theo bos,00:01:01.986,Athens 2004,Cycling Track,1km time trial men
5,FRA,francois pervis,00:01:02.328,Athens 2004,Cycling Track,1km time trial men
6,GBR,craig maclean,00:01:02.369,Athens 2004,Cycling Track,1km time trial men
7,GER,carsten bergemann,00:01:02.551,Athens 2004,Cycling Track,1km time trial men
8,CUB,ahmed lopez naranjo,00:01:02.739,Athens 2004,Cycling Track,1km time trial men
9,CZE,alois kankovsky,00:01:03.038,Athens 2004,Cycling Track,1km time trial men
10,NED,teun mulder,00:01:03.165,Athens 2004,Cycling Track,1km time trial men
11,ESP,ruben donet,00:01:03.505,Athens 2004,Cycling Track,1km time trial men
12,COL,wilson meneses gutierrez,00:01:03.614,Athens 2004,Cycling Track,1km time trial men
13,POL,grzegorz krejner,00:01:03.923,Athens 2004,Cycling Track,1km time trial men
14,GRE,dimitrios georgalis,00:01:04.204,Athens 2004,Cycling Track,1km time trial men
15,TPE,chih hsun lin,00:01:06.240,Athens 2004,Cycling Track,1km time trial men
16,BUL,radoslav konstantinov,00:01:06.265,Athens 2004,Cycling Track,1km time trial men
0,AUS,anna meares,33.952,Athens 2004,Cycling Track,500m time trial women
1,CHN,yonghua jiang,34.112,Athens 2004,Cycling Track,500m time trial women
2,BLR,natallia tsylinskaya,34.167,Athens 2004,Cycling Track,500m time trial women
3,LTU,simona krupeckaite,34.317,Athens 2004,Cycling Track,500m time trial women
4,NED,yvonne hijgenaar,34.532,Athens 2004,Cycling Track,500m time trial women
5,GBR,victoria pendleton,34.626,Athens 2004,Cycling Track,500m time trial women
6,CAN,lori-ann muenzer,34.628,Athens 2004,Cycling Track,500m time trial women
7,MEX,nancy contreras reyes,34.783,Athens 2004,Cycling Track,500m time trial women
8,RUS,svetlana grankovskaya,34.797,Athens 2004,Cycling Track,500m time trial women
9,JPN,sayuri osuga,35.045,Athens 2004,Cycling Track,500m time trial women
10,GER,katrin meinke,35.088,Athens 2004,Cycling Track,500m time trial women
11,RUS,tamila abasova,35.147,Athens 2004,Cycling Track,500m time trial women
0,GBR,bradley wiggins,,Athens 2004,Cycling Track,Individual Pursuit men
1,AUS,bradley mcgee,,Athens 2004,Cycling Track,Individual Pursuit men
2,ESP,sergi escobar,00:04:17.947,Athens 2004,Cycling Track,Individual Pursuit men
3,GBR,rob hayles,00:04:22.291,Athens 2004,Cycling Track,Individual Pursuit men
4,AUS,luke roberts,,Athens 2004,Cycling Track,Individual Pursuit men
5,FRA,fabien sanchez,,Athens 2004,Cycling Track,Individual Pursuit men
6,UKR,volodymyr dyudya,,Athens 2004,Cycling Track,Individual Pursuit men
7,GER,robert bartko,,Athens 2004,Cycling Track,Individual Pursuit men
8,LTU,linas balciunas,,Athens 2004,Cycling Track,Individual Pursuit men
9,RUS,alexey markov,,Athens 2004,Cycling Track,Individual Pursuit men
10,GER,christian lademann,,Athens 2004,Cycling Track,Individual Pursuit men
11,ESP,carlos castano,,Athens 2004,Cycling Track,Individual Pursuit men
12,BLR,vasil kiryienka,,Athens 2004,Cycling Track,Individual Pursuit men
13,KAZ,yuriy yuda,,Athens 2004,Cycling Track,Individual Pursuit men
14,IRI,hossein askari,,Athens 2004,Cycling Track,Individual Pursuit men
0,NZL,sarah ulmer,,Athens 2004,Cycling Track,individual pursuit women
1,AUS,katie mactier,,Athens 2004,Cycling Track,individual pursuit women
2,NED,leontien zijlaard-van moorsel,00:03:27.037,Athens 2004,Cycling Track,individual pursuit women
3,AUS,katherine bates,00:03:31.715,Athens 2004,Cycling Track,individual pursuit women
4,SUI,karin thurig,,Athens 2004,Cycling Track,individual pursuit women
5,RUS,olga slyusareva,,Athens 2004,Cycling Track,individual pursuit women
6,RUS,elena chalykh,,Athens 2004,Cycling Track,individual pursuit women
7,GBR,emma davies,,Athens 2004,Cycling Track,individual pursuit women
8,COL,maria luisa calle williams,,Athens 2004,Cycling Track,individual pursuit women
9,USA,erin mirabella,,Athens 2004,Cycling Track,individual pursuit women
10,CZE,lenka valova,,Athens 2004,Cycling Track,individual pursuit women
11,ESA,evelyn yesenia garcia marroquin,,Athens 2004,Cycling Track,individual pursuit women
0,AUS,ryan bayley,,Athens 2004,Cycling Track,Keirin men
1,ESP,jose escuredo,,Athens 2004,Cycling Track,Keirin men
2,AUS,shane kelly,,Athens 2004,Cycling Track,Keirin men
3,FRA,mickael bourgain,,Athens 2004,Cycling Track,Keirin men
4,GER,rene wolff,,Athens 2004,Cycling Track,Keirin men
5,MAS,josiah ng,,Athens 2004,Cycling Track,Keirin men
6,POL,lukasz kwiatkowski,,Athens 2004,Cycling Track,Keirin men
