,country,participant,result,olympic_game,discipline,event
0,,,,Athens 2004,Hockey,hockey men
1,,,,Athens 2004,Hockey,hockey men
2,,,,Athens 2004,Hockey,hockey men
3,,,,Athens 2004,Hockey,hockey men
4,,,,Athens 2004,Hockey,hockey men
5,,,,Athens 2004,Hockey,hockey men
6,,,,Athens 2004,Hockey,hockey men
7,,,,Athens 2004,Hockey,hockey men
8,,,,Athens 2004,Hockey,hockey men
9,,,,Athens 2004,Hockey,hockey men
10,,,,Athens 2004,Hockey,hockey men
11,,,,Athens 2004,Hockey,hockey men
0,,,,Athens 2004,Hockey,hockey women
1,,,,Athens 2004,Hockey,hockey women
2,,,,Athens 2004,Hockey,hockey women
3,,,,Athens 2004,Hockey,hockey women
4,,,,Athens 2004,Hockey,hockey women
5,,,,Athens 2004,Hockey,hockey women
6,,,,Athens 2004,Hockey,hockey women
7,,,,Athens 2004,Hockey,hockey women
8,,,,Athens 2004,Hockey,hockey women
9,,,,Athens 2004,Hockey,hockey women
