,country,participant,result,olympic_game,discipline,event
0,JPN,keiji suzuki,,Athens 2004,Judo,100kg heavyweight men
1,RUS,tamerlan tmenov,,Athens 2004,Judo,100kg heavyweight men
2,NED,dennis van der geest,,Athens 2004,Judo,100kg heavyweight men
3,EST,indrek pertelson,,Athens 2004,Judo,100kg heavyweight men
4,IRI,sayed miran fashandi,,Athens 2004,Judo,100kg heavyweight men
5,ITA,paolo bianchessi,,Athens 2004,Judo,100kg heavyweight men
6,GER,andreas toelzer,,Athens 2004,Judo,100kg heavyweight men
7,TUR,selim tataroglu,,Athens 2004,Judo,100kg heavyweight men
8,KUW,majid m al ali,,Athens 2004,Judo,100kg heavyweight men
9,ARG,orlando baccino,,Athens 2004,Judo,100kg heavyweight men
10,FRA,matthieu bataille,,Athens 2004,Judo,100kg heavyweight men
11,USA,martin boonzaayer,,Athens 2004,Judo,100kg heavyweight men
12,ALG,mohamed bouaichaoui,,Athens 2004,Judo,100kg heavyweight men
13,HAI,joel brutus,,Athens 2004,Judo,100kg heavyweight men
14,COL,sergio andres camacho,,Athens 2004,Judo,100kg heavyweight men
15,POL,grzegorz eitel,,Athens 2004,Judo,100kg heavyweight men
16,EGY,islam el shehaby,,Athens 2004,Judo,100kg heavyweight men
17,GEO,lasha gujejiani,,Athens 2004,Judo,100kg heavyweight men
18,BRA,daniel hernandes,,Athens 2004,Judo,100kg heavyweight men
19,KAZ,yeldos ikhsangaliyev,,Athens 2004,Judo,100kg heavyweight men
20,KOR,sungbum kim,,Athens 2004,Judo,100kg heavyweight men
21,IRQ,hadir lazame,,Athens 2004,Judo,100kg heavyweight men
22,HON,luis moran,,Athens 2004,Judo,100kg heavyweight men
23,ROU,gabriel munteanu,,Athens 2004,Judo,100kg heavyweight men
24,NGR,chukwuemeka onyemachi,,Athens 2004,Judo,100kg heavyweight men
25,CHN,song pan,,Athens 2004,Judo,100kg heavyweight men
26,GRE,charalampos papaioannou,,Athens 2004,Judo,100kg heavyweight men
27,AUS,semir pepic,,Athens 2004,Judo,100kg heavyweight men
28,UKR,vitaliy polyanskyy,,Athens 2004,Judo,100kg heavyweight men
29,ESP,aytami ruano,,Athens 2004,Judo,100kg heavyweight men
30,VEN,leonel wilfredo ruiz,,Athens 2004,Judo,100kg heavyweight men
31,BLR,yury rybak,,Athens 2004,Judo,100kg heavyweight men
32,UZB,abdullo tangriev,,Athens 2004,Judo,100kg heavyweight men
0,CHN,dongmei xian,,Athens 2004,Judo,48  52kg halflightweight women
1,JPN,yuki yokosawa,,Athens 2004,Judo,48  52kg halflightweight women
2,CUB,amarilys savon,,Athens 2004,Judo,48  52kg halflightweight women
3,BEL,ilse heylen,,Athens 2004,Judo,48  52kg halflightweight women
4,ALG,salima souakri,,Athens 2004,Judo,48  52kg halflightweight women
5,FRA,annabelle euranie,,Athens 2004,Judo,48  52kg halflightweight women
6,ROU,ioana maria dinea,,Athens 2004,Judo,48  52kg halflightweight women
7,GBR,georgina singleton,,Athens 2004,Judo,48  52kg halflightweight women
8,SWE,sanna askelof,,Athens 2004,Judo,48  52kg halflightweight women
9,SEN,hortance diedhiou,,Athens 2004,Judo,48  52kg halflightweight women
10,ISR,michal feinblat,,Athens 2004,Judo,48  52kg halflightweight women
11,BRA,fabiane hukuda,,Athens 2004,Judo,48  52kg halflightweight women
12,GER,raffaella imbriani,,Athens 2004,Judo,48  52kg halflightweight women
13,KAZ,sholpan kaliyeva,,Athens 2004,Judo,48  52kg halflightweight women
14,KOR,eun hee lee,,Athens 2004,Judo,48  52kg halflightweight women
15,USA,charlee minkin,,Athens 2004,Judo,48  52kg halflightweight women
16,POR,telma monteiro,,Athens 2004,Judo,48  52kg halflightweight women
17,SLO,petra nareks,,Athens 2004,Judo,48  52kg halflightweight women
18,MAD,naina cecilia ravaoarisoa,,Athens 2004,Judo,48  52kg halflightweight women
19,PRK,sang sim ri,,Athens 2004,Judo,48  52kg halflightweight women
20,GUI,m mah soumah,,Athens 2004,Judo,48  52kg halflightweight women
21,NZL,rochelle stormont,,Athens 2004,Judo,48  52kg halflightweight women
22,GRE,maria tselaridou,,Athens 2004,Judo,48  52kg halflightweight women
23,VEN,flor velasquez artahona,,Athens 2004,Judo,48  52kg halflightweight women
0,GER,yvonne boenisch,,Athens 2004,Judo,52  57kg lightweight women
1,PRK,sun hui kye,,Athens 2004,Judo,52  57kg lightweight women
2,NED,deborah gravenstijn,,Athens 2004,Judo,52  57kg lightweight women
3,CUB,yurisleidy lupetey,,Athens 2004,Judo,52  57kg lightweight women
4,FRA,barbara harel,,Athens 2004,Judo,52  57kg lightweight women
5,ESP,isabel fernandez gutierrez,,Athens 2004,Judo,52  57kg lightweight women
6,RUS,natalia yukhareva,,Athens 2004,Judo,52  57kg lightweight women
7,ITA,cinzia cavazzuti,,Athens 2004,Judo,52  57kg lightweight women
8,MLT,marcon bezzina,,Athens 2004,Judo,52  57kg lightweight women
9,GRE,ioulieta boukouvala,,Athens 2004,Judo,52  57kg lightweight women
10,GBR,sophie cox,,Athens 2004,Judo,52  57kg lightweight women
11,NGR,catherine ewa ekuta,,Athens 2004,Judo,52  57kg lightweight women
