,country,participant,result,olympic_game,discipline,event
0,UKR,olena kostevych,483.3,Athens 2004,Shooting,10m air pistol 40 shots women
1,SCG,jasna sekaric,483.3,Athens 2004,Shooting,10m air pistol 40 shots women
2,BUL,mariya grozdeva,482.3,Athens 2004,Shooting,10m air pistol 40 shots women
3,CHN,jie ren,482.3,Athens 2004,Shooting,10m air pistol 40 shots women
4,RUS,natalia paderina,481.9,Athens 2004,Shooting,10m air pistol 40 shots women
5,GER,munkhbayar dorjsuren,481.9,Athens 2004,Shooting,10m air pistol 40 shots women
6,SUI,cornelia froelich,481.5,Athens 2004,Shooting,10m air pistol 40 shots women
7,AZE,i̇radə aşumova,481.4,Athens 2004,Shooting,10m air pistol 40 shots women
8,RUS,olga kousnetsova,,Athens 2004,Shooting,10m air pistol 40 shots women
9,KOR,su-gyeong an,,Athens 2004,Shooting,10m air pistol 40 shots women
10,BLR,yuliya alipava,,Athens 2004,Shooting,10m air pistol 40 shots women
11,JPN,yoko inada,,Athens 2004,Shooting,10m air pistol 40 shots women
12,UKR,yulia korostylova,,Athens 2004,Shooting,10m air pistol 40 shots women
13,GEO,nino salukvadze,,Athens 2004,Shooting,10m air pistol 40 shots women
14,CRO,mirela skoko-celic,,Athens 2004,Shooting,10m air pistol 40 shots women
15,BLR,viktoryia chaika,,Athens 2004,Shooting,10m air pistol 40 shots women
16,CZE,lenka hykova,,Athens 2004,Shooting,10m air pistol 40 shots women
17,MGL,gundegmaa otryad,,Athens 2004,Shooting,10m air pistol 40 shots women
18,USA,rebecca snyder,,Athens 2004,Shooting,10m air pistol 40 shots women
19,GER,claudia verdicchio,,Athens 2004,Shooting,10m air pistol 40 shots women
20,HUN,dorottya erdos,,Athens 2004,Shooting,10m air pistol 40 shots women
21,DEN,susanne meyerhoff,,Athens 2004,Shooting,10m air pistol 40 shots women
22,KOR,ah young park,,Athens 2004,Shooting,10m air pistol 40 shots women
23,AUS,lalita milshina-yauhleuskaya,,Athens 2004,Shooting,10m air pistol 40 shots women
24,JPN,michiko fukushima,,Athens 2004,Shooting,10m air pistol 40 shots women
25,HUN,zsofia csonka,,Athens 2004,Shooting,10m air pistol 40 shots women
26,GRE,marina karaflou,,Athens 2004,Shooting,10m air pistol 40 shots women
27,IRI,nasim hassan poor,,Athens 2004,Shooting,10m air pistol 40 shots women
28,AUS,linda ryan,,Athens 2004,Shooting,10m air pistol 40 shots women
29,USA,libby callahan,,Athens 2004,Shooting,10m air pistol 40 shots women
30,ESP,maria del pilar fernandez,,Athens 2004,Shooting,10m air pistol 40 shots women
31,FRA,brigitte roy,,Athens 2004,Shooting,10m air pistol 40 shots women
32,KAZ,galina belyayeva,,Athens 2004,Shooting,10m air pistol 40 shots women
33,HKG,cynthia lo,,Athens 2004,Shooting,10m air pistol 40 shots women
34,CRC,grettel barboza,,Athens 2004,Shooting,10m air pistol 40 shots women
35,COL,amanda a. mondol cuellar,,Athens 2004,Shooting,10m air pistol 40 shots women
36,CUB,margarita tarradell,,Athens 2004,Shooting,10m air pistol 40 shots women
37,SUI,monika rieder,,Athens 2004,Shooting,10m air pistol 40 shots women
38,CHN,luna tao,,Athens 2004,Shooting,10m air pistol 40 shots women
39,ECU,carmen malo,,Athens 2004,Shooting,10m air pistol 40 shots women
40,VEN,francis gorrin,,Athens 2004,Shooting,10m air pistol 40 shots women
0,CHN,yifu wang,690.0,Athens 2004,Shooting,10m air pistol 60 shots men
1,RUS,mikhail nestruev,689.8,Athens 2004,Shooting,10m air pistol 60 shots men
2,RUS,vladimir isakov,684.3,Athens 2004,Shooting,10m air pistol 60 shots men
3,BUL,tanyu kiriakov,683.4,Athens 2004,Shooting,10m air pistol 60 shots men
4,KOR,jong oh jin,682.9,Athens 2004,Shooting,10m air pistol 60 shots men
5,PRK,hyon ung kim,682.0,Athens 2004,Shooting,10m air pistol 60 shots men
6,ARM,norayr bakhtamyan,681.9,Athens 2004,Shooting,10m air pistol 60 shots men
7,PRK,jong-su kim,681.2,Athens 2004,Shooting,10m air pistol 60 shots men
8,CHN,zongliang tan,,Athens 2004,Shooting,10m air pistol 60 shots men
9,TJK,sergey babikov,,Athens 2004,Shooting,10m air pistol 60 shots men
10,BLR,igor basinski,,Athens 2004,Shooting,10m air pistol 60 shots men
11,POL,wojciech knapik,,Athens 2004,Shooting,10m air pistol 60 shots men
12,ROU,sorin babii,,Athens 2004,Shooting,10m air pistol 60 shots men
13,BLR,kanstantsin lukaschyk,,Athens 2004,Shooting,10m air pistol 60 shots men
14,USA,daryl szarenski,,Athens 2004,Shooting,10m air pistol 60 shots men
15,SCG,andrija zlatic,,Athens 2004,Shooting,10m air pistol 60 shots men
16,ITA,francesco bruno,,Athens 2004,Shooting,10m air pistol 60 shots men
17,POR,joao costa,,Athens 2004,Shooting,10m air pistol 60 shots men
18,UKR,victor makarov,,Athens 2004,Shooting,10m air pistol 60 shots men
19,ISR,alexander danilov,,Athens 2004,Shooting,10m air pistol 60 shots men
20,FRA,franck dumoulin,,Athens 2004,Shooting,10m air pistol 60 shots men
21,CZE,martin tenk,,Athens 2004,Shooting,10m air pistol 60 shots men
22,ITA,vigilio fait,,Athens 2004,Shooting,10m air pistol 60 shots men
23,KAZ,vladimir issachenko,,Athens 2004,Shooting,10m air pistol 60 shots men
24,JPN,masaru nakashige,,Athens 2004,Shooting,10m air pistol 60 shots men
25,GER,abdulla ustaoglu,,Athens 2004,Shooting,10m air pistol 60 shots men
26,TTO,roger daniel,,Athens 2004,Shooting,10m air pistol 60 shots men
27,KOR,sang do lee,,Athens 2004,Shooting,10m air pistol 60 shots men
28,AUS,david moore,,Athens 2004,Shooting,10m air pistol 60 shots men
29,CUB,norbelis barzaga,,Athens 2004,Shooting,10m air pistol 60 shots men
30,GER,artur gevorgjan,,Athens 2004,Shooting,10m air pistol 60 shots men
31,JPN,shuji tazawa,,Athens 2004,Shooting,10m air pistol 60 shots men
32,ESP,jose antonio colado,,Athens 2004,Shooting,10m air pistol 60 shots men
33,GRE,dionysios georgakopoulos,,Athens 2004,Shooting,10m air pistol 60 shots men
34,NAM,friedhelm sack,,Athens 2004,Shooting,10m air pistol 60 shots men
35,THA,jakkrit panichpatikum,,Athens 2004,Shooting,10m air pistol 60 shots men
36,AUS,daniel repacholi,,Athens 2004,Shooting,10m air pistol 60 shots men
37,USA,jason turner,,Athens 2004,Shooting,10m air pistol 60 shots men
38,ROU,iulian raicea,,Athens 2004,Shooting,10m air pistol 60 shots men
39,TPE,yi-ning chang,,Athens 2004,Shooting,10m air pistol 60 shots men
40,VIE,manh tuong nguyen,,Athens 2004,Shooting,10m air pistol 60 shots men
41,ESP,isidro lorenzo,,Athens 2004,Shooting,10m air pistol 60 shots men
42,HUN,attila simon,,Athens 2004,Shooting,10m air pistol 60 shots men
43,ARG,maximo tomas modesti,,Athens 2004,Shooting,10m air pistol 60 shots men
44,BRN,khalid eisa mohamed,,Athens 2004,Shooting,10m air pistol 60 shots men
45,ISV,chris rice,,Athens 2004,Shooting,10m air pistol 60 shots men
46,BOL,rudolf knijnenburg,,Athens 2004,Shooting,10m air pistol 60 shots men
0,CHN,li du,502.0,Athens 2004,Shooting,10m air rifle 40 shots women
1,RUS,lyubov galkina,501.5,Athens 2004,Shooting,10m air rifle 40 shots women
2,CZE,katerina emmons,501.1,Athens 2004,Shooting,10m air rifle 40 shots women
3,CHN,yinghui zhao,500.8,Athens 2004,Shooting,10m air rifle 40 shots women
4,RUS,tatiana goldobina,499.5,Athens 2004,Shooting,10m air rifle 40 shots women
5,GER,sonja pfeilschifter,498.7,Athens 2004,Shooting,10m air rifle 40 shots women
6,FRA,laurence brize,497.9,Athens 2004,Shooting,10m air rifle 40 shots women
7,IND,suma shirur,497.2,Athens 2004,Shooting,10m air rifle 40 shots women
8,USA,emily caruso,,Athens 2004,Shooting,10m air rifle 40 shots women
9,AUT,monika haselsberger,,Athens 2004,Shooting,10m air rifle 40 shots women
10,POL,renata mauer-rozanska,,Athens 2004,Shooting,10m air rifle 40 shots women
11,KAZ,olga dovgun,,Athens 2004,Shooting,10m air rifle 40 shots women
12,ITA,valentina turisini,,Athens 2004,Shooting,10m air rifle 40 shots women
13,KOR,eun-yeong jo,,Athens 2004,Shooting,10m air rifle 40 shots women
14,USA,hattie johnson,,Athens 2004,Shooting,10m air rifle 40 shots women
15,HUN,eva joo,,Athens 2004,Shooting,10m air rifle 40 shots women
16,UKR,nataliia kalnysh,,Athens 2004,Shooting,10m air rifle 40 shots women
17,UKR,lesya leskiv,,Athens 2004,Shooting,10m air rifle 40 shots women
18,POL,agnieszka nagay,,Athens 2004,Shooting,10m air rifle 40 shots women
19,IND,anjali ramakanta vedpathak,,Athens 2004,Shooting,10m air rifle 40 shots women
20,ESA,patricia rivas,,Athens 2004,Shooting,10m air rifle 40 shots women
21,GER,dorothee bauer,,Athens 2004,Shooting,10m air rifle 40 shots women
22,FRA,valerie bellenoue,,Athens 2004,Shooting,10m air rifle 40 shots women
23,JPN,hiromi misaki,,Athens 2004,Shooting,10m air rifle 40 shots women
24,INA,yosheefin s prasasti,,Athens 2004,Shooting,10m air rifle 40 shots women
25,FIN,marjo yli-kiikka,,Athens 2004,Shooting,10m air rifle 40 shots women
26,SUI,gabriele buhlmann,,Athens 2004,Shooting,10m air rifle 40 shots women
27,EGY,dina hosny,,Athens 2004,Shooting,10m air rifle 40 shots women
28,AUS,sue mccready,,Athens 2004,Shooting,10m air rifle 40 shots women
29,KOR,sun-hwa seo,,Athens 2004,Shooting,10m air rifle 40 shots women
30,GRE,alexia smirli,,Athens 2004,Shooting,10m air rifle 40 shots women
31,ITA,sabrina sena,,Athens 2004,Shooting,10m air rifle 40 shots women
32,EGY,shaimaa abdel-latif-hashad,,Athens 2004,Shooting,10m air rifle 40 shots women
33,BEL,daisy de bock,,Athens 2004,Shooting,10m air rifle 40 shots women
34,GRE,maria faka,,Athens 2004,Shooting,10m air rifle 40 shots women
35,DEN,ann spejlsgaard,,Athens 2004,Shooting,10m air rifle 40 shots women
36,HUN,beata krzyzewsky,,Athens 2004,Shooting,10m air rifle 40 shots women
37,SRI,pushpamali ramanayake,,Athens 2004,Shooting,10m air rifle 40 shots women
38,CUB,eglys cruz,,Athens 2004,Shooting,10m air rifle 40 shots women
39,UZB,alyona aksyonova,,Athens 2004,Shooting,10m air rifle 40 shots women
40,NCA,svitlana kashchenko,,Athens 2004,Shooting,10m air rifle 40 shots women
41,JAM,dawn marie kobayashi,,Athens 2004,Shooting,10m air rifle 40 shots women
42,MON,fabienne pasetti,,Athens 2004,Shooting,10m air rifle 40 shots women
43,MKD,divna pesic,,Athens 2004,Shooting,10m air rifle 40 shots women
0,CHN,qinan zhu,702.7,Athens 2004,Shooting,10m air rifle 60 shots men
1,CHN,jie li,701.3,Athens 2004,Shooting,10m air rifle 60 shots men
2,SVK,jozef gonci,697.4,Athens 2004,Shooting,10m air rifle 60 shots men
3,KOR,min ho cheon,696.6,Athens 2004,Shooting,10m air rifle 60 shots men
4,GER,maik eckhardt,696.3,Athens 2004,Shooting,10m air rifle 60 shots men
5,KOR,seong-tae je,696.3,Athens 2004,Shooting,10m air rifle 60 shots men
6,IND,abhinav bindra,694.6,Athens 2004,Shooting,10m air rifle 60 shots men
7,USA,jason parker,694.5,Athens 2004,Shooting,10m air rifle 60 shots men
8,USA,matthew emmons,,Athens 2004,Shooting,10m air rifle 60 shots men
9,SVK,matej meszaros,,Athens 2004,Shooting,10m air rifle 60 shots men
10,JPN,masaru yanagida,,Athens 2004,Shooting,10m air rifle 60 shots men
11,AUT,thomas farnik,,Athens 2004,Shooting,10m air rifle 60 shots men
12,GER,torsten krebs,,Athens 2004,Shooting,10m air rifle 60 shots men
13,IND,gagan narang,,Athens 2004,Shooting,10m air rifle 60 shots men
14,GRE,georgios petsanis,,Athens 2004,Shooting,10m air rifle 60 shots men
15,AUT,christian planer,,Athens 2004,Shooting,10m air rifle 60 shots men
16,HUN,peter sidi,,Athens 2004,Shooting,10m air rifle 60 shots men
17,NED,dirk boschman,,Athens 2004,Shooting,10m air rifle 60 shots men
18,NOR,leif steinar rolland,,Athens 2004,Shooting,10m air rifle 60 shots men
19,GRE,konstantinos savorgianakis,,Athens 2004,Shooting,10m air rifle 60 shots men
20,UZB,vyacheslav skoromnov,,Athens 2004,Shooting,10m air rifle 60 shots men
21,UKR,artur aivazian,,Athens 2004,Shooting,10m air rifle 60 shots men
22,LIE,oliver geissmann,,Athens 2004,Shooting,10m air rifle 60 shots men
23,EGY,mohamed abdel ellah,,Athens 2004,Shooting,10m air rifle 60 shots men
24,BLR,vitali bubnovich,,Athens 2004,Shooting,10m air rifle 60 shots men
25,ITA,marco de nicolo,,Athens 2004,Shooting,10m air rifle 60 shots men
26,RUS,artem khadzhibekov,,Athens 2004,Shooting,10m air rifle 60 shots men
27,UKR,yuriy sukhorukov,,Athens 2004,Shooting,10m air rifle 60 shots men
28,SLO,rajmond debevec,,Athens 2004,Shooting,10m air rifle 60 shots men
29,SWE,sven haglund,,Athens 2004,Shooting,10m air rifle 60 shots men
30,RUS,konstantin prikhodtchenko,,Athens 2004,Shooting,10m air rifle 60 shots men
31,DEN,peter thuesen,,Athens 2004,Shooting,10m air rifle 60 shots men
32,SWE,marcus akerholm,,Athens 2004,Shooting,10m air rifle 60 shots men
33,KGZ,alexsander babchenko,,Athens 2004,Shooting,10m air rifle 60 shots men
34,BIH,nedzad fazlija,,Athens 2004,Shooting,10m air rifle 60 shots men
35,BAN,asif khan,,Athens 2004,Shooting,10m air rifle 60 shots men
36,AUS,timothy lowndes,,Athens 2004,Shooting,10m air rifle 60 shots men
37,THA,tevarit majchacheeap,,Athens 2004,Shooting,10m air rifle 60 shots men
38,SCG,stevan pletikosic,,Athens 2004,Shooting,10m air rifle 60 shots men
39,ARG,angel rosendo velarte,,Athens 2004,Shooting,10m air rifle 60 shots men
40,NOR,espen berg-knutsen,,Athens 2004,Shooting,10m air rifle 60 shots men
41,AUS,matthew inabinet,,Athens 2004,Shooting,10m air rifle 60 shots men
42,ARG,pablo damian alvarez,,Athens 2004,Shooting,10m air rifle 60 shots men
43,MEX,roberto jose elias orozco,,Athens 2004,Shooting,10m air rifle 60 shots men
44,FIN,juha hirvi,,Athens 2004,Shooting,10m air rifle 60 shots men
45,NEP,tika shrestha,,Athens 2004,Shooting,10m air rifle 60 shots men
46,SUI,marcel buerge,,Athens 2004,Shooting,10m air rifle 60 shots men
0,GER,manfred kurzer,682.4,Athens 2004,Shooting,10m running target 3030 shot men
1,RUS,alexander blinov,678.0,Athens 2004,Shooting,10m running target 3030 shot men
2,RUS,dimitri lykin,677.1,Athens 2004,Shooting,10m running target 3030 shot men
3,SWE,emil andersson,676.8,Athens 2004,Shooting,10m running target 3030 shot men
4,GER,michael jakosits,676.7,Athens 2004,Shooting,10m running target 3030 shot men
5,CHN,jie li,675.8,Athens 2004,Shooting,10m running target 3030 shot men
6,UKR,vladyslav prianishnikov,Q,Athens 2004,Shooting,10m running target 3030 shot men
7,USA,adam saathoff,Q,Athens 2004,Shooting,10m running target 3030 shot men
8,BLR,andrei kazak,,Athens 2004,Shooting,10m running target 3030 shot men
9,GUA,attila solti,,Athens 2004,Shooting,10m running target 3030 shot men
10,CHN,hongbin geng,,Athens 2004,Shooting,10m running target 3030 shot men
11,SWE,niklas bergstroem,,Athens 2004,Shooting,10m running target 3030 shot men
12,BLR,andrei vasilieu,,Athens 2004,Shooting,10m running target 3030 shot men
13,MDA,oleg moldovan,,Athens 2004,Shooting,10m running target 3030 shot men
14,CZE,miroslav janus,,Athens 2004,Shooting,10m running target 3030 shot men
15,KAZ,andrey gurov,,Athens 2004,Shooting,10m running target 3030 shot men
16,CZE,tomas caknakis,,Athens 2004,Shooting,10m running target 3030 shot men
17,USA,koby holland,,Athens 2004,Shooting,10m running target 3030 shot men
18,AUS,bryan wilson,,Athens 2004,Shooting,10m running target 3030 shot men
0,BUL,mariya grozdeva,688.2,Athens 2004,Shooting,25m pistol 3030 shots women
1,CZE,lenka hykova,687.8,Athens 2004,Shooting,25m pistol 3030 shots women
2,AZE,i̇radə aşumova,687.3,Athens 2004,Shooting,25m pistol 3030 shots women
3,CHN,ying chen,686.2,Athens 2004,Shooting,25m pistol 3030 shots women
4,GER,munkhbayar dorjsuren,684.6,Athens 2004,Shooting,25m pistol 3030 shots women
5,MGL,gundegmaa otryad,683.4,Athens 2004,Shooting,25m pistol 3030 shots women
6,KOR,joo hyung seo,680.8,Athens 2004,Shooting,25m pistol 3030 shots women
7,GEO,nino salukvadze,678.3,Athens 2004,Shooting,25m pistol 3030 shots women
8,SCG,jasna sekaric,,Athens 2004,Shooting,25m pistol 3030 shots women
9,CHN,ying cao,,Athens 2004,Shooting,25m pistol 3030 shots women
10,FRA,brigitte roy,,Athens 2004,Shooting,25m pistol 3030 shots women
11,AUS,lalita milshina-yauhleuskaya,,Athens 2004,Shooting,25m pistol 3030 shots women
12,KOR,su-gyeong an,,Athens 2004,Shooting,25m pistol 3030 shots women
13,KAZ,galina belyayeva,,Athens 2004,Shooting,25m pistol 3030 shots women
14,ESP,maria del pilar fernandez,,Athens 2004,Shooting,25m pistol 3030 shots women
15,JPN,michiko fukushima,,Athens 2004,Shooting,25m pistol 3030 shots women
16,COL,amanda a. mondol cuellar,,Athens 2004,Shooting,25m pistol 3030 shots women
17,AUS,annette woodward,,Athens 2004,Shooting,25m pistol 3030 shots women
18,USA,libby callahan,,Athens 2004,Shooting,25m pistol 3030 shots women
19,JPN,yukari konishi,,Athens 2004,Shooting,25m pistol 3030 shots women
20,GRE,agi kasoumi,,Athens 2004,Shooting,25m pistol 3030 shots women
21,USA,rebecca snyder,,Athens 2004,Shooting,25m pistol 3030 shots women
22,RUS,natalia paderina,,Athens 2004,Shooting,25m pistol 3030 shots women
23,GER,claudia verdicchio,,Athens 2004,Shooting,25m pistol 3030 shots women
24,BLR,yuliya alipava,,Athens 2004,Shooting,25m pistol 3030 shots women
25,UKR,yulia korostylova,,Athens 2004,Shooting,25m pistol 3030 shots women
26,UKR,olena kostevych,,Athens 2004,Shooting,25m pistol 3030 shots women
27,CRO,mirela skoko-celic,,Athens 2004,Shooting,25m pistol 3030 shots women
28,SUI,monika rieder,,Athens 2004,Shooting,25m pistol 3030 shots women
29,HUN,zsofia csonka,,Athens 2004,Shooting,25m pistol 3030 shots women
30,RUS,galina beliaeva,,Athens 2004,Shooting,25m pistol 3030 shots women
31,BLR,viktoryia chaika,,Athens 2004,Shooting,25m pistol 3030 shots women
32,CUB,margarita tarradell,,Athens 2004,Shooting,25m pistol 3030 shots women
33,HUN,dorottya erdos,,Athens 2004,Shooting,25m pistol 3030 shots women
34,SUI,cornelia froelich,,Athens 2004,Shooting,25m pistol 3030 shots women
