,country,participant,result,olympic_game,discipline,event
0,UKR,yuriy nikitin,41.5,Athens 2004,Trampoline,Individual men
1,RUS,alexander moskalenko,41.2,Athens 2004,Trampoline,Individual men
2,GER,henrik stehlik,40.8,Athens 2004,Trampoline,Individual men
3,BLR,dmitry polyarush,40.2,Athens 2004,Trampoline,Individual men
4,RUS,alexander rusakov,40.2,Athens 2004,Trampoline,Individual men
5,POR,nuno merino,40.1,Athens 2004,Trampoline,Individual men
6,GBR,gary smith,40.0,Athens 2004,Trampoline,Individual men
7,FRA,david martin,39.9,Athens 2004,Trampoline,Individual men
0,GER,anna dogonadze-lilkendey,39.6,Athens 2004,Trampoline,Individual women
1,CAN,karen cockburn,39.2,Athens 2004,Trampoline,Individual women
2,CHN,shanshan huang,39.0,Athens 2004,Trampoline,Individual women
3,RUS,natalia chernova,38.6,Athens 2004,Trampoline,Individual women
4,UKR,olena movchan,37.6,Athens 2004,Trampoline,Individual women
5,CAN,heather ross-mcmanus,37.4,Athens 2004,Trampoline,Individual women
6,JPN,haruka hirota,37.2,Athens 2004,Trampoline,Individual women
7,NED,andrea lenders,24.3,Athens 2004,Trampoline,Individual women
