,country,participant,result,olympic_game,discipline,event
0,,,,Athens 2004,Water Polo,water polo men
1,,,,Athens 2004,Water Polo,water polo men
2,,,,Athens 2004,Water Polo,water polo men
3,,,,Athens 2004,Water Polo,water polo men
4,,,,Athens 2004,Water Polo,water polo men
5,,,,Athens 2004,Water Polo,water polo men
6,,,,Athens 2004,Water Polo,water polo men
7,,,,Athens 2004,Water Polo,water polo men
8,,,,Athens 2004,Water Polo,water polo men
9,,,,Athens 2004,Water Polo,water polo men
10,,,,Athens 2004,Water Polo,water polo men
11,,,,Athens 2004,Water Polo,water polo men
0,,,,Athens 2004,Water Polo,water polo women
1,,,,Athens 2004,Water Polo,water polo women
2,,,,Athens 2004,Water Polo,water polo women
3,,,,Athens 2004,Water Polo,water polo women
4,,,,Athens 2004,Water Polo,water polo women
5,,,,Athens 2004,Water Polo,water polo women
6,,,,Athens 2004,Water Polo,water polo women
7,,,,Athens 2004,Water Polo,water polo women
