,country,participant,result,olympic_game,discipline,event
0,USA,justin huish,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
1,SWE,magnus petersson,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
2,KOR,gyo-mun oh,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
3,BEL,paul vermeiren,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
4,KOR,bo-ram kim,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
5,ITA,michele frangilli,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
6,KOR,yong-ho jang,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
7,FRA,lionel torres,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
8,ITA,matteo bisiani,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
9,TPE,sheng-feng hsieh,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
10,USA,butch johnson,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
11,FIN,tomi poikolainen,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
12,UKR,stanislav zabrodsky,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
13,SLO,samo medved,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
14,NOR,martinius grov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
15,MEX,jose anchondo,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
16,ITA,andrea parenti,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
17,RUS,balzhinima tsyrempilov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
18,JPN,hiroshi yamamoto,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
19,FIN,jari lipponen,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
20,SWE,mikael larsson,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
21,IRL,keith hanlon,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
22,CHN,hua tang,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
23,USA,rodney white,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
24,IND,changte lalremsaga,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
25,AUS,matthew gray,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
26,JPN,takayoshi matsushita,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
27,GBR,gary hardinges,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
28,POL,pawel szymczak,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
29,KAZ,vadim shikarev,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
30,UKR,valeriy yevetskyi,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
31,FIN,tommi tuovila,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
32,KAZ,vitaly shin,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
33,SWE,goran bjerendal,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
34,AUS,jackson fear,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
35,CHN,hengyu luo,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
36,CAN,jeannot robitaille,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
37,CAN,rob rusnov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
38,FRA,sebastien flute,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
39,CHN,jun shen,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
40,TPE,sheng-ling cho,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
41,EST,raul kivilo,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
42,KAZ,sergey martynov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
43,TPE,tsung-yi wu,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
44,BUL,stefan mlyakov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
45,NZL,andrew lindsay,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
46,IND,skalzang dorje,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
47,BHU,jubzang jubzang,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
48,CAN,kevin sally,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
49,RUS,andrey podlazov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
50,MEX,adolfo gonzalez,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
51,AUS,simon fairweather,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
52,RUS,bair badenov,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
53,SLO,peter koprivnikar,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
54,GBR,steven hallard,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
55,FRA,damien letulle,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
56,UKR,aleksandr yatsenko,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
57,POR,nuno pombo,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
58,TUR,okyay kucukkayalar,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
59,ESP,antonio vazquez,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
60,KEN,dominic rebelo,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
61,SMR,paolo tura,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
62,IND,limba ram,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
63,SLO,matevz krumpestar,,Atlanta 1996,Archery,individual FITA Olympic round  70m men
0,USA,justin huish,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
1,SWE,magnus petersson,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
2,KOR,gyo-mun oh,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
3,BEL,paul vermeiren,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
4,KOR,bo-ram kim,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
5,ITA,michele frangilli,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
6,KOR,yong-ho jang,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
7,FRA,lionel torres,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
8,ITA,matteo bisiani,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
9,TPE,sheng-feng hsieh,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
10,USA,butch johnson,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
11,FIN,tomi poikolainen,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
12,UKR,stanislav zabrodsky,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
13,SLO,samo medved,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
14,NOR,martinius grov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
15,MEX,jose anchondo,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
16,ITA,andrea parenti,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
17,RUS,balzhinima tsyrempilov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
18,JPN,hiroshi yamamoto,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
19,FIN,jari lipponen,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
20,SWE,mikael larsson,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
21,IRL,keith hanlon,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
22,CHN,hua tang,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
23,USA,rodney white,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
24,IND,changte lalremsaga,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
25,AUS,matthew gray,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
26,JPN,takayoshi matsushita,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
27,GBR,gary hardinges,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
28,POL,pawel szymczak,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
29,KAZ,vadim shikarev,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
30,UKR,valeriy yevetskyi,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
31,FIN,tommi tuovila,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
32,KAZ,vitaly shin,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
33,SWE,goran bjerendal,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
34,AUS,jackson fear,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
35,CHN,hengyu luo,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
36,CAN,jeannot robitaille,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
37,CAN,rob rusnov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
38,FRA,sebastien flute,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
39,CHN,jun shen,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
40,TPE,sheng-ling cho,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
41,EST,raul kivilo,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
42,KAZ,sergey martynov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
43,TPE,tsung-yi wu,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
44,BUL,stefan mlyakov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
45,NZL,andrew lindsay,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
46,IND,skalzang dorje,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
47,BHU,jubzang jubzang,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
48,CAN,kevin sally,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
49,RUS,andrey podlazov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
50,MEX,adolfo gonzalez,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
51,AUS,simon fairweather,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
52,RUS,bair badenov,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
53,SLO,peter koprivnikar,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
54,GBR,steven hallard,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
55,FRA,damien letulle,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
56,UKR,aleksandr yatsenko,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
57,POR,nuno pombo,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
58,TUR,okyay kucukkayalar,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
59,ESP,antonio vazquez,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
60,KEN,dominic rebelo,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
61,SMR,paolo tura,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
62,IND,limba ram,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
63,SLO,matevz krumpestar,,Atlanta 1996,Archery,individual FITA Olympic round  70m women
0,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
1,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
2,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
3,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
4,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
5,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
6,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
7,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
8,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
9,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
10,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
11,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
12,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
13,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
14,,,,Atlanta 1996,Archery,team FITA Olympic round  70m men
0,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
1,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
2,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
3,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
4,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
5,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
6,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
7,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
8,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
9,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
10,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
11,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
12,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
13,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
14,,,,Atlanta 1996,Archery,team FITA Olympic round  70m women
