,country,participant,result,olympic_game,discipline,event
0,INA,ricky achmad subagja,,Atlanta 1996,Badminton,doubles men
1,MAS,kim hock yap,,Atlanta 1996,Badminton,doubles men
2,INA,antonius budi ariantho,,Atlanta 1996,Badminton,doubles men
3,MAS,beng kiang soo,,Atlanta 1996,Badminton,doubles men
4,GBR,christopher john hunt,,Atlanta 1996,Badminton,doubles men
5,RUS,andrei antropov,,Atlanta 1996,Badminton,doubles men
6,KOR,tae-kwon ha,,Atlanta 1996,Badminton,doubles men
7,CHN,xin jiang,,Atlanta 1996,Badminton,doubles men
8,DEN,henrik svarrer,,Atlanta 1996,Badminton,doubles men
9,AUS,peter blackburn,,Atlanta 1996,Badminton,doubles men
10,INA,rudy gunawan,,Atlanta 1996,Badminton,doubles men
11,THA,sakrapee thongsari,,Atlanta 1996,Badminton,doubles men
12,GER,michael helber,,Atlanta 1996,Badminton,doubles men
13,DEN,jens dyrloev eriksen,,Atlanta 1996,Badminton,doubles men
14,DEN,jon holst-christensen,,Atlanta 1996,Badminton,doubles men
15,CHN,xiaoqiang tao,,Atlanta 1996,Badminton,doubles men
16,KOR,dong moon kim,,Atlanta 1996,Badminton,doubles men
17,MRI,edouard clarisse,,Atlanta 1996,Badminton,doubles men
18,CAN,anil kaul,,Atlanta 1996,Badminton,doubles men
19,HKG,tim he,,Atlanta 1996,Badminton,doubles men
20,GBR,julian robertson,,Atlanta 1996,Badminton,doubles men
21,SWE,par-gunnar jonsson,,Atlanta 1996,Badminton,doubles men
22,CAN,jaimie dawson,,Atlanta 1996,Badminton,doubles men
23,THA,khunakorn sudhisodhi,,Atlanta 1996,Badminton,doubles men
24,GBR,peter knowles,,Atlanta 1996,Badminton,doubles men
0,KOR,yeong-ah gil,,Atlanta 1996,Badminton,Doubles mixed
1,KOR,joo-bong park,,Atlanta 1996,Badminton,Doubles mixed
2,CHN,jianjun liu,,Atlanta 1996,Badminton,Doubles mixed
3,CHN,xingyong peng,,Atlanta 1996,Badminton,Doubles mixed
4,INA,flandy limpele,,Atlanta 1996,Badminton,Doubles mixed
5,INA,trikus heryanto,,Atlanta 1996,Badminton,Doubles mixed
6,DEN,rikke olsen,,Atlanta 1996,Badminton,Doubles mixed
7,CHN,xiaoqiang tao,,Atlanta 1996,Badminton,Doubles mixed
8,DEN,jens dyrloev eriksen,,Atlanta 1996,Badminton,Doubles mixed
9,SWE,astrid crabo,,Atlanta 1996,Badminton,Doubles mixed
10,GBR,nick ponting,,Atlanta 1996,Badminton,Doubles mixed
11,SWE,peter axelsson,,Atlanta 1996,Badminton,Doubles mixed
12,NED,ron michels,,Atlanta 1996,Badminton,Doubles mixed
13,AUS,peter blackburn,,Atlanta 1996,Badminton,Doubles mixed
14,CAN,darryl yung,,Atlanta 1996,Badminton,Doubles mixed
15,DEN,christian jakobsen,,Atlanta 1996,Badminton,Doubles mixed
16,GER,michael keck,,Atlanta 1996,Badminton,Doubles mixed
17,BLR,mikhail korchuk,,Atlanta 1996,Badminton,Doubles mixed
18,MRI,edouard clarisse,,Atlanta 1996,Badminton,Doubles mixed
19,HKG,tim he,,Atlanta 1996,Badminton,Doubles mixed
20,MRI,stephan beeharry,,Atlanta 1996,Badminton,Doubles mixed
21,GBR,joanne muggeridge,,Atlanta 1996,Badminton,Doubles mixed
22,AUS,amanda hardy,,Atlanta 1996,Badminton,Doubles mixed
23,RUS,marina yakusheva,,Atlanta 1996,Badminton,Doubles mixed
24,UKR,viktoriya yevtushenko,,Atlanta 1996,Badminton,Doubles mixed
25,BUL,neli boteva,,Atlanta 1996,Badminton,Doubles mixed
26,AUS,murray hocking,,Atlanta 1996,Badminton,Doubles mixed
27,CAN,doris piche,,Atlanta 1996,Badminton,Doubles mixed
28,SUI,thomas wapp,,Atlanta 1996,Badminton,Doubles mixed
29,NGR,kayode akinsanya,,Atlanta 1996,Badminton,Doubles mixed
30,CAN,anil kaul,,Atlanta 1996,Badminton,Doubles mixed
31,GBR,simon archer,,Atlanta 1996,Badminton,Doubles mixed
0,CHN,fei ge,,Atlanta 1996,Badminton,doubles women
1,KOR,yeong-ah gil,,Atlanta 1996,Badminton,doubles women
2,CHN,yiyuan qin,,Atlanta 1996,Badminton,doubles women
3,DEN,helene kirkegaard,,Atlanta 1996,Badminton,doubles women
4,DEN,lisbeth stuer-lauridsen,,Atlanta 1996,Badminton,doubles women
5,CHN,xingyong peng,,Atlanta 1996,Badminton,doubles women
6,INA,eliza eliza,,Atlanta 1996,Badminton,doubles women
7,DEN,ann jorgensen,,Atlanta 1996,Badminton,doubles women
8,KOR,shin young kim,,Atlanta 1996,Badminton,doubles women
9,JPN,masako sakamoto,,Atlanta 1996,Badminton,doubles women
10,GBR,julie jane bradbury,,Atlanta 1996,Badminton,doubles women
11,INA,aadijatmiko finarsih,,Atlanta 1996,Badminton,doubles women
12,KOR,jae-hui jeong,,Atlanta 1996,Badminton,doubles women
13,NED,eline coene,,Atlanta 1996,Badminton,doubles women
14,NZL,rhona susan robertson,,Atlanta 1996,Badminton,doubles women
15,GER,katrin schmidt,,Atlanta 1996,Badminton,doubles women
16,BUL,neli boteva,,Atlanta 1996,Badminton,doubles women
17,RUS,yelena rybkina,,Atlanta 1996,Badminton,doubles women
18,AUS,amanda hardy,,Atlanta 1996,Badminton,doubles women
19,USA,linda j french,,Atlanta 1996,Badminton,doubles women
20,TPE,li-chin chen,,Atlanta 1996,Badminton,doubles women
21,GBR,kelly morgan,,Atlanta 1996,Badminton,doubles women
22,UKR,olena nosdran,,Atlanta 1996,Badminton,doubles women
23,JPN,aiko miyamura,,Atlanta 1996,Badminton,doubles women
24,CAN,sian deng,,Atlanta 1996,Badminton,doubles women
25,SWE,margit borg,,Atlanta 1996,Badminton,doubles women
26,MRI,marie-josephe jean-pierre,,Atlanta 1996,Badminton,doubles women
0,DEN,poul-erik høyer larsen,,Atlanta 1996,Badminton,Singles men
1,CHN,jiong dong,,Atlanta 1996,Badminton,Singles men
2,MAS,adul sidek mohamed,,Atlanta 1996,Badminton,Singles men
3,INA,heryanto arbi,,Atlanta 1996,Badminton,Singles men
4,INA,alan budi kusuma,,Atlanta 1996,Badminton,Singles men
5,KOR,kwang-jin lee,,Atlanta 1996,Badminton,Singles men
6,KOR,sung-woo park,,Atlanta 1996,Badminton,Singles men
7,INA,joko suprianto,,Atlanta 1996,Badminton,Singles men
8,SWE,jens olsson,,Atlanta 1996,Badminton,Singles men
9,CHN,lizhi yu,,Atlanta 1996,Badminton,Singles men
10,DEN,thomas stuer-lauridsen,,Atlanta 1996,Badminton,Singles men
11,JPN,fumihiko machida,,Atlanta 1996,Badminton,Singles men
12,CAN,iain sydie,,Atlanta 1996,Badminton,Singles men
13,TPE,en-horng liu,,Atlanta 1996,Badminton,Singles men
14,CHN,jun sun,,Atlanta 1996,Badminton,Singles men
15,MAS,ewe hock ong,,Atlanta 1996,Badminton,Singles men
16,FIN,pontus eero jantti,,Atlanta 1996,Badminton,Singles men
17,GBR,peter knowles,,Atlanta 1996,Badminton,Singles men
18,RUS,andrei antropov,,Atlanta 1996,Badminton,Singles men
19,CAN,jaimie dawson,,Atlanta 1996,Badminton,Singles men
20,NED,joris van soerland,,Atlanta 1996,Badminton,Singles men
21,AUT,hannes fuchs,,Atlanta 1996,Badminton,Singles men
22,TPE,jeng-shyong chang,,Atlanta 1996,Badminton,Singles men
23,THA,kittipon kittikul,,Atlanta 1996,Badminton,Singles men
24,SUI,thomas wapp,,Atlanta 1996,Badminton,Singles men
25,GBR,darren james hall,,Atlanta 1996,Badminton,Singles men
26,GER,michael helber,,Atlanta 1996,Badminton,Singles men
27,IND,deepankar bhattacharya,,Atlanta 1996,Badminton,Singles men
28,KOR,hak-kyun kim,,Atlanta 1996,Badminton,Singles men
29,SWE,sven tomas johansson,,Atlanta 1996,Badminton,Singles men
30,NED,jeroen van dijk,,Atlanta 1996,Badminton,Singles men
31,UKR,vladyslav druzchenko,,Atlanta 1996,Badminton,Singles men
32,GUA,kenneth erichsen,,Atlanta 1996,Badminton,Singles men
33,USA,kevin han,,Atlanta 1996,Badminton,Singles men
34,SUR,oscar brandon,,Atlanta 1996,Badminton,Singles men
35,GER,oliver pongratz,,Atlanta 1996,Badminton,Singles men
36,NGR,kayode akinsanya,,Atlanta 1996,Badminton,Singles men
37,GBR,julian robertson,,Atlanta 1996,Badminton,Singles men
38,MRI,stephan beeharry,,Atlanta 1996,Badminton,Singles men
39,BUL,theodoros velkos,,Atlanta 1996,Badminton,Singles men
40,AUS,murray hocking,,Atlanta 1996,Badminton,Singles men
41,PER,mario carulla schultz,,Atlanta 1996,Badminton,Singles men
42,MRI,edouard clarisse,,Atlanta 1996,Badminton,Singles men
43,BLR,mikhail korchuk,,Atlanta 1996,Badminton,Singles men
44,FRA,etienne thobois,,Atlanta 1996,Badminton,Singles men
45,RUS,pavel uvarov,,Atlanta 1996,Badminton,Singles men
46,FIN,robert liljequist,,Atlanta 1996,Badminton,Singles men
47,NED,ron michels,,Atlanta 1996,Badminton,Singles men
48,CAN,anil kaul,Did not start,Atlanta 1996,Badminton,Singles men
0,KOR,soo-hyun bang,,Atlanta 1996,Badminton,Singles women
1,INA,mia audina mia audina,,Atlanta 1996,Badminton,Singles women
2,INA,susi susanti,,Atlanta 1996,Badminton,Singles women
3,KOR,ji-hyun kim,,Atlanta 1996,Badminton,Singles women
4,CHN,jingna han,,Atlanta 1996,Badminton,Singles women
5,DEN,camilla martin,,Atlanta 1996,Badminton,Singles women
6,CHN,yan yao,,Atlanta 1996,Badminton,Singles women
7,CHN,zhaoying ye,,Atlanta 1996,Badminton,Singles women
8,SWE,margit borg,,Atlanta 1996,Badminton,Singles women
9,JPN,hisako mizui,,Atlanta 1996,Badminton,Singles women
10,TPE,chia-chi huang,,Atlanta 1996,Badminton,Singles women
11,GBR,kelly morgan,,Atlanta 1996,Badminton,Singles women
12,INA,yuliani sentoso,,Atlanta 1996,Badminton,Singles women
13,JPN,yasuko mizui,,Atlanta 1996,Badminton,Singles women
14,THA,pornsawan plungwech,,Atlanta 1996,Badminton,Singles women
15,POL,katarzyna krasowska,,Atlanta 1996,Badminton,Singles women
16,MAS,chia fong chan,,Atlanta 1996,Badminton,Singles women
17,THA,somharuthai jaroensiri,,Atlanta 1996,Badminton,Singles women
