,country,participant,result,olympic_game,discipline,event
0,USA,kent steffes,,Atlanta 1996,Beach Volleyball,Beach volleyball men
1,USA,mike whitmarsh,,Atlanta 1996,Beach Volleyball,Beach volleyball men
2,CAN,mark heese,,Atlanta 1996,Beach Volleyball,Beach volleyball men
3,POR,joao brenha,,Atlanta 1996,Beach Volleyball,Beach volleyball men
4,ESP,javier bosma minguez,,Atlanta 1996,Beach Volleyball,Beach volleyball men
5,USA,christopher st. john s smith,,Atlanta 1996,Beach Volleyball,Beach volleyball men
6,CUB,francisco alvarez cutino,,Atlanta 1996,Beach Volleyball,Beach volleyball men
7,NOR,bjorn maaseide,,Atlanta 1996,Beach Volleyball,Beach volleyball men
8,GER,jörg ahmann,,Atlanta 1996,Beach Volleyball,Beach volleyball men
9,AUS,julien prosser,,Atlanta 1996,Beach Volleyball,Beach volleyball men
10,BRA,franco josé vieira neto,,Atlanta 1996,Beach Volleyball,Beach volleyball men
11,BRA,zé marco zé marco,,Atlanta 1996,Beach Volleyball,Beach volleyball men
12,CZE,marek pakosta,,Atlanta 1996,Beach Volleyball,Beach volleyball men
13,FRA,christian penigaud,,Atlanta 1996,Beach Volleyball,Beach volleyball men
14,ITA,nicola grigolo,,Atlanta 1996,Beach Volleyball,Beach volleyball men
15,ARG,eduardo esteban martinez,,Atlanta 1996,Beach Volleyball,Beach volleyball men
16,ESP,javier yuste muniz,,Atlanta 1996,Beach Volleyball,Beach volleyball men
17,INA,mochamad nurmufid,,Atlanta 1996,Beach Volleyball,Beach volleyball men
18,EST,avo keel,,Atlanta 1996,Beach Volleyball,Beach volleyball men
19,CAN,marc dunn,,Atlanta 1996,Beach Volleyball,Beach volleyball men
20,NZL,reid hamilton,,Atlanta 1996,Beach Volleyball,Beach volleyball men
21,JPN,kazuyuki takao,,Atlanta 1996,Beach Volleyball,Beach volleyball men
22,SWE,fredrik petersson,,Atlanta 1996,Beach Volleyball,Beach volleyball men
23,NED,michel everaert,,Atlanta 1996,Beach Volleyball,Beach volleyball men
0,BRA,sandra sandra,,Atlanta 1996,Beach Volleyball,Beach volleyball women
1,BRA,adriana samuel ramos,,Atlanta 1996,Beach Volleyball,Beach volleyball women
2,AUS,kerri pottharst,,Atlanta 1996,Beach Volleyball,Beach volleyball women
3,USA,barbra fontana,,Atlanta 1996,Beach Volleyball,Beach volleyball women
4,USA,holly mcpeak,,Atlanta 1996,Beach Volleyball,Beach volleyball women
5,JPN,yukiko takahashi,,Atlanta 1996,Beach Volleyball,Beach volleyball women
6,GER,danja musch,,Atlanta 1996,Beach Volleyball,Beach volleyball women
7,AUS,anita spring (palm),,Atlanta 1996,Beach Volleyball,Beach volleyball women
8,USA,debra richardson,,Atlanta 1996,Beach Volleyball,Beach volleyball women
9,GBR,amanda glover,,Atlanta 1996,Beach Volleyball,Beach volleyball women
10,NOR,ragni hestad,,Atlanta 1996,Beach Volleyball,Beach volleyball women
11,JPN,yukiko ishizaka,,Atlanta 1996,Beach Volleyball,Beach volleyball women
12,INA,ni putu timy yudhani rahayu,,Atlanta 1996,Beach Volleyball,Beach volleyball women
13,NED,lisette van de ven,,Atlanta 1996,Beach Volleyball,Beach volleyball women
14,ITA,anna maria solazzi,,Atlanta 1996,Beach Volleyball,Beach volleyball women
15,FRA,anabelle prawerman,,Atlanta 1996,Beach Volleyball,Beach volleyball women
16,CAN,margo malowney,,Atlanta 1996,Beach Volleyball,Beach volleyball women
17,MEX,velia eguiluz soto,,Atlanta 1996,Beach Volleyball,Beach volleyball women
