,country,participant,result,olympic_game,discipline,event
0,SVK,michal martikan,151.03,Atlanta 1996,Canoe Slalom,C1 canoe single men
1,CZE,lukas pollert,151.17,Atlanta 1996,Canoe Slalom,C1 canoe single men
2,FRA,patrice estanguet,152.84,Atlanta 1996,Canoe Slalom,C1 canoe single men
3,GBR,gareth john marriott,155.83,Atlanta 1996,Canoe Slalom,C1 canoe single men
4,FRA,herve delamarre,155.98,Atlanta 1996,Canoe Slalom,C1 canoe single men
5,FRA,emmanuel brugvin,156.71,Atlanta 1996,Canoe Slalom,C1 canoe single men
6,GER,martin lang,159.91,Atlanta 1996,Canoe Slalom,C1 canoe single men
7,POL,ryszard mordarski,161.00,Atlanta 1996,Canoe Slalom,C1 canoe single men
8,USA,davey hearn,162.51,Atlanta 1996,Canoe Slalom,C1 canoe single men
9,IRL,mike corcoran,162.90,Atlanta 1996,Canoe Slalom,C1 canoe single men
10,POL,mariusz wieczorek,164.21,Atlanta 1996,Canoe Slalom,C1 canoe single men
11,GER,vitus husek,164.29,Atlanta 1996,Canoe Slalom,C1 canoe single men
12,ITA,renato de monti,165.03,Atlanta 1996,Canoe Slalom,C1 canoe single men
13,GBR,mark delaney,165.67,Atlanta 1996,Canoe Slalom,C1 canoe single men
14,SVK,juraj mincik,166.45,Atlanta 1996,Canoe Slalom,C1 canoe single men
15,AUS,justin boocock,166.96,Atlanta 1996,Canoe Slalom,C1 canoe single men
16,GER,sören kaufmann,168.43,Atlanta 1996,Canoe Slalom,C1 canoe single men
17,CAN,larry norman,170.12,Atlanta 1996,Canoe Slalom,C1 canoe single men
18,USA,adam clawson,172.53,Atlanta 1996,Canoe Slalom,C1 canoe single men
19,CZE,pavel janda,177.71,Atlanta 1996,Canoe Slalom,C1 canoe single men
20,ESP,toni herreros,179.38,Atlanta 1996,Canoe Slalom,C1 canoe single men
21,JPN,masanari mochida,180.45,Atlanta 1996,Canoe Slalom,C1 canoe single men
22,BRA,leonardo selbach,184.54,Atlanta 1996,Canoe Slalom,C1 canoe single men
23,SLO,gregor terdic,187.79,Atlanta 1996,Canoe Slalom,C1 canoe single men
24,IRL,stephen o'flaherty,188.65,Atlanta 1996,Canoe Slalom,C1 canoe single men
25,ITA,francesco stefani,189.60,Atlanta 1996,Canoe Slalom,C1 canoe single men
26,RUS,danila kuznetsov,226.06,Atlanta 1996,Canoe Slalom,C1 canoe single men
27,SLO,simeon hocevar,231.00,Atlanta 1996,Canoe Slalom,C1 canoe single men
28,CRO,danko herceg,275.94,Atlanta 1996,Canoe Slalom,C1 canoe single men
29,MKD,nenad trpovski,316.19,Atlanta 1996,Canoe Slalom,C1 canoe single men
0,FRA,wilfrid forgues,158.82,Atlanta 1996,Canoe Slalom,C2 canoe double men
1,CZE,jiri rohan,160.16,Atlanta 1996,Canoe Slalom,C2 canoe double men
2,GER,andre ehrenberg,163.72,Atlanta 1996,Canoe Slalom,C2 canoe double men
3,GER,manfred berro,163.72,Atlanta 1996,Canoe Slalom,C2 canoe double men
4,FRA,emmanuel del rey,165.47,Atlanta 1996,Canoe Slalom,C2 canoe double men
5,CZE,pavel stercl,168.45,Atlanta 1996,Canoe Slalom,C2 canoe double men
