,country,participant,result,olympic_game,discipline,event
0,,,12,Atlanta 1996,Football,football men
1,,,13,Atlanta 1996,Football,football men
2,,,16,Atlanta 1996,Football,football men
3,,,6,Atlanta 1996,Football,football men
4,,,6,Atlanta 1996,Football,football men
5,,,5,Atlanta 1996,Football,football men
6,,,2,Atlanta 1996,Football,football men
7,,,6,Atlanta 1996,Football,football men
8,,,4,Atlanta 1996,Football,football men
9,,,4,Atlanta 1996,Football,football men
10,,,2,Atlanta 1996,Football,football men
11,,,4,Atlanta 1996,Football,football men
12,,,4,Atlanta 1996,Football,football men
13,,,1,Atlanta 1996,Football,football men
14,,,2,Atlanta 1996,Football,football men
15,,,3,Atlanta 1996,Football,football men
0,,,9,Atlanta 1996,Football,football women
1,,,11,Atlanta 1996,Football,football women
2,,,12,Atlanta 1996,Football,football women
3,,,7,Atlanta 1996,Football,football women
4,,,6,Atlanta 1996,Football,football women
5,,,4,Atlanta 1996,Football,football women
6,,,2,Atlanta 1996,Football,football women
7,,,2,Atlanta 1996,Football,football women
