,country,participant,result,olympic_game,discipline,event
0,,,,Atlanta 1996,Handball,handball men
1,,,,Atlanta 1996,Handball,handball men
2,,,,Atlanta 1996,Handball,handball men
3,,,,Atlanta 1996,Handball,handball men
4,,,,Atlanta 1996,Handball,handball men
5,,,,Atlanta 1996,Handball,handball men
6,,,,Atlanta 1996,Handball,handball men
7,,,,Atlanta 1996,Handball,handball men
8,,,,Atlanta 1996,Handball,handball men
9,,,,Atlanta 1996,Handball,handball men
10,,,,Atlanta 1996,Handball,handball men
11,,,,Atlanta 1996,Handball,handball men
0,,,,Atlanta 1996,Handball,handball women
1,,,,Atlanta 1996,Handball,handball women
2,,,,Atlanta 1996,Handball,handball women
3,,,,Atlanta 1996,Handball,handball women
4,,,,Atlanta 1996,Handball,handball women
5,,,,Atlanta 1996,Handball,handball women
6,,,,Atlanta 1996,Handball,handball women
7,,,,Atlanta 1996,Handball,handball women
