,country,participant,result,olympic_game,discipline,event
0,,,,Atlanta 1996,Hockey,hockey men
1,,,,Atlanta 1996,Hockey,hockey men
2,,,,Atlanta 1996,Hockey,hockey men
3,,,,Atlanta 1996,Hockey,hockey men
4,,,,Atlanta 1996,Hockey,hockey men
5,,,,Atlanta 1996,Hockey,hockey men
6,,,,Atlanta 1996,Hockey,hockey men
7,,,,Atlanta 1996,Hockey,hockey men
8,,,,Atlanta 1996,Hockey,hockey men
9,,,,Atlanta 1996,Hockey,hockey men
10,,,,Atlanta 1996,Hockey,hockey men
11,,,,Atlanta 1996,Hockey,hockey men
0,,,,Atlanta 1996,Hockey,hockey women
1,,,,Atlanta 1996,Hockey,hockey women
2,,,,Atlanta 1996,Hockey,hockey women
3,,,,Atlanta 1996,Hockey,hockey women
4,,,,Atlanta 1996,Hockey,hockey women
5,,,,Atlanta 1996,Hockey,hockey women
6,,,,Atlanta 1996,Hockey,hockey women
7,,,,Atlanta 1996,Hockey,hockey women
