,country,participant,result,olympic_game,discipline,event
0,HUN,norbert rozsa,,Atlanta 1996,Swimming,200m breaststroke men
1,HUN,karoly guttler,,Atlanta 1996,Swimming,200m breaststroke men
2,RUS,andrey korneyev,,Atlanta 1996,Swimming,200m breaststroke men
3,GBR,nick gillingham,,Atlanta 1996,Swimming,200m breaststroke men
4,AUS,philip john rogers,,Atlanta 1996,Swimming,200m breaststroke men
5,POL,marek krawczyk,,Atlanta 1996,Swimming,200m breaststroke men
6,USA,eric wunderlich,,Atlanta 1996,Swimming,200m breaststroke men
7,USA,kurt grote,,Atlanta 1996,Swimming,200m breaststroke men
8,RUS,andrey ivanov,,Atlanta 1996,Swimming,200m breaststroke men
9,CUB,mario gonzalez montesinos,,Atlanta 1996,Swimming,200m breaststroke men
10,AUS,ryan mitchell,,Atlanta 1996,Swimming,200m breaststroke men
11,ESP,joaquin fernandez corredor,,Atlanta 1996,Swimming,200m breaststroke men
12,LAT,valerijs kalmikovs,,Atlanta 1996,Swimming,200m breaststroke men
13,FRA,jean sarnin,,Atlanta 1996,Swimming,200m breaststroke men
14,CAN,jonathan thomas cleveland,,Atlanta 1996,Swimming,200m breaststroke men
15,JPN,akira hayashi,,Atlanta 1996,Swimming,200m breaststroke men
16,BEL,frederik deburghgraeve,,Atlanta 1996,Swimming,200m breaststroke men
17,CZE,daniel malek,,Atlanta 1996,Swimming,200m breaststroke men
18,POR,jose couto,,Atlanta 1996,Swimming,200m breaststroke men
19,THA,ratapong sirisanont,,Atlanta 1996,Swimming,200m breaststroke men
20,BLR,aleksandr gukov,,Atlanta 1996,Swimming,200m breaststroke men
21,UKR,dmytro ivanusa,,Atlanta 1996,Swimming,200m breaststroke men
22,FRA,stephan perrot,,Atlanta 1996,Swimming,200m breaststroke men
23,CHN,yiwu wang,,Atlanta 1996,Swimming,200m breaststroke men
24,MAS,elvin chia,,Atlanta 1996,Swimming,200m breaststroke men
25,NOR,børge mørk,,Atlanta 1996,Swimming,200m breaststroke men
26,ISR,vadim alekseyev,,Atlanta 1996,Swimming,200m breaststroke men
27,MON,christophe verdino,,Atlanta 1996,Swimming,200m breaststroke men
28,MDA,vadim tatarov,,Atlanta 1996,Swimming,200m breaststroke men
29,GUA,roberto arturo bonilla abril,,Atlanta 1996,Swimming,200m breaststroke men
30,PUR,todd torres bost,,Atlanta 1996,Swimming,200m breaststroke men
31,LTU,nerijus beiga,,Atlanta 1996,Swimming,200m breaststroke men
32,ESA,francisco suriano siu chon him,,Atlanta 1996,Swimming,200m breaststroke men
33,TPE,chih-yung huang,,Atlanta 1996,Swimming,200m breaststroke men
