,country,participant,result,olympic_game,discipline,event
0,RUS,andrey chemerkin,WR,Atlanta 1996,Weightlifting,108kg super heavyweight men
1,GER,ronny weller,,Atlanta 1996,Weightlifting,108kg super heavyweight men
2,AUS,stefan botev hristov,,Atlanta 1996,Weightlifting,108kg super heavyweight men
3,KOR,tae-hyun kim,,Atlanta 1996,Weightlifting,108kg super heavyweight men
4,BLR,alexandre kurlovich,,Atlanta 1996,Weightlifting,108kg super heavyweight men
5,GER,manfred nerlinger,,Atlanta 1996,Weightlifting,108kg super heavyweight men
6,GRE,pavlos saltsidis,,Atlanta 1996,Weightlifting,108kg super heavyweight men
7,HUN,tibor stark,,Atlanta 1996,Weightlifting,108kg super heavyweight men
8,LAT,raimonds bergmanis,,Atlanta 1996,Weightlifting,108kg super heavyweight men
9,NOR,stian grimseth,,Atlanta 1996,Weightlifting,108kg super heavyweight men
10,TUR,erdinç aslan,,Atlanta 1996,Weightlifting,108kg super heavyweight men
11,SWE,anders bergstrom,,Atlanta 1996,Weightlifting,108kg super heavyweight men
12,ARM,ashot danielyan,,Atlanta 1996,Weightlifting,108kg super heavyweight men
13,USA,mark j. henry,,Atlanta 1996,Weightlifting,108kg super heavyweight men
14,AUS,steven paul kettner,,Atlanta 1996,Weightlifting,108kg super heavyweight men
15,USA,thomas ingalsbe,,Atlanta 1996,Weightlifting,108kg super heavyweight men
16,NEP,sunil joshi,,Atlanta 1996,Weightlifting,108kg super heavyweight men
17,UZB,igor khalilov,Did not finish,Atlanta 1996,Weightlifting,108kg super heavyweight men
0,CHN,ningsheng tang,WR,Atlanta 1996,Weightlifting,54  59kg bantamweight men
1,GRE,leonidas sampanis,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
2,BUL,nikolay pechalov,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
3,JPN,hiroshi ikehata,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
4,CUB,william vargas,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
5,CHN,dong xu,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
6,AUS,yurik sarkisian,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
7,HUN,zoltan farkas,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
8,USA,bryan alan jacob,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
9,CZE,petr stanislav,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
10,IND,raghavan chanderasekaran,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
11,BLR,viktor sinyak,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
12,PUR,cesar roman rodriguez hernandez,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
13,POR,nuno alves,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
14,KSA,bonayan al-dawsari,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
15,MAR,mostapha buihamghet,,Atlanta 1996,Weightlifting,54  59kg bantamweight men
16,KOR,byeong-gwan jeon,Did not finish,Atlanta 1996,Weightlifting,54  59kg bantamweight men
17,AZE,asif malikov,Did not finish,Atlanta 1996,Weightlifting,54  59kg bantamweight men
18,NRU,marcus stephen,Did not finish,Atlanta 1996,Weightlifting,54  59kg bantamweight men
19,TUR,hafiz suleymanoglu,Did not finish,Atlanta 1996,Weightlifting,54  59kg bantamweight men
0,TUR,halil mutlu,OR,Atlanta 1996,Weightlifting,54kg flyweight men
1,CHN,xiangsen zhang,,Atlanta 1996,Weightlifting,54kg flyweight men
2,BUL,sevdalin minchev,,Atlanta 1996,Weightlifting,54kg flyweight men
3,CHN,shizhang lan,,Atlanta 1996,Weightlifting,54kg flyweight men
4,ROU,traian ioachim ciharean,,Atlanta 1996,Weightlifting,54kg flyweight men
5,BUL,ivan ivanov ivanov,,Atlanta 1996,Weightlifting,54kg flyweight men
