,country,participant,result,olympic_game,discipline,event
0,USA,kendall duane cross,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
1,CAN,guivi sissaouri,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
2,PRK,yong sam ri,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
3,TUR,harun dogan,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
4,MKD,saban trstena,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
5,IRI,mohammad talaei,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
6,BLR,aleksandr guzov,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
7,UZB,damir zakhartdinov,,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
8,JPN,sanshiro abe,9,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
9,AZE,arif abdullayev,9,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
10,RUS,bagavden umakhanov,7,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
11,BUL,serafim barzakov,6,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
12,KAZ,artur fyodorov,5,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
13,MDA,nazim alidzhanov,5,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
14,CUB,alejandro puerto diaz,4,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
15,ITA,michele liuzzi,3,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
16,MGL,tsogtbayar tserenbaataryn,2,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
17,UKR,aslanbek fidarov,1,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
18,ROU,bogdan ciufulescu,1,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
19,AUS,cory o'brien,1,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
20,GBS,talata embalo,0,Atlanta 1996,Wrestling,"Bantamweight, Freestyle (≤57 kilograms) Men"
0,KAZ,yuriy melnichenko,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
1,USA,dennis hall,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
2,CHN,zetian sheng,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
3,UKR,ruslan khakymov,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
4,GER,rifat yildiz,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
5,CUB,luis sarmiento hernandez,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
6,GRE,sarkis elngian,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
7,JPN,kenkichi nishimi,,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
8,LAT,aigars jansons,8,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
9,AZE,vilayat agayev,7,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
10,KOR,chi-ho park,6,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
11,LTU,remigijus sukevicius,6,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
12,ARM,aghasi manukyan,4,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
13,MEX,armando fernandez garcia,3,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
14,ROU,marian sandu,3,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
15,POL,stanislaw pawloski,2,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
16,TUR,seref eroglu,1,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
17,POR,david maia,1,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
18,RUS,alexander ignatenko,1,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
19,TUN,nabil salhi,0,Atlanta 1996,Wrestling,"Bantamweight, Greco-Roman (≤57 kilograms) Men"
0,USA,tom brands,,Atlanta 1996,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
1,KOR,jae-sung jang,,Atlanta 1996,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
2,UKR,elbrus tedeyev,,Atlanta 1996,Wrestling,"Featherweight, Freestyle (≤62 kilograms) Men"
