,country,participant,result,olympic_game,discipline,event
0,KOR,moon-soo kim,,Barcelona 1992,Badminton,doubles men
1,INA,rudy gunawan,,Barcelona 1992,Badminton,doubles men
2,CHN,bingyi tian,,Barcelona 1992,Badminton,doubles men
3,MAS,alan sidek mohamed,,Barcelona 1992,Badminton,doubles men
4,INA,ricky achmad subagja,,Barcelona 1992,Badminton,doubles men
5,JPN,shuji matsuno,,Barcelona 1992,Badminton,doubles men
6,DEN,jan paulsen,,Barcelona 1992,Badminton,doubles men
7,KOR,jin-hwan shon,,Barcelona 1992,Badminton,doubles men
8,CHN,hongyong chen,,Barcelona 1992,Badminton,doubles men
9,GBR,dave wright,,Barcelona 1992,Badminton,doubles men
10,DEN,jon holst-christensen,,Barcelona 1992,Badminton,doubles men
11,HKG,siu kwong chan,,Barcelona 1992,Badminton,doubles men
12,CAN,anil kaul,,Barcelona 1992,Badminton,doubles men
13,THA,siripong siripool,,Barcelona 1992,Badminton,doubles men
14,GBR,christopher john hunt,,Barcelona 1992,Badminton,doubles men
15,USA,benny lee,,Barcelona 1992,Badminton,doubles men
16,CAN,michael bitten,,Barcelona 1992,Badminton,doubles men
17,SWE,peter axelsson,,Barcelona 1992,Badminton,doubles men
18,GER,stefan frey,,Barcelona 1992,Badminton,doubles men
19,IND,deepankar bhattacharya,,Barcelona 1992,Badminton,doubles men
20,NZL,dean robert galt,,Barcelona 1992,Badminton,doubles men
21,ISL,árni þór hallgrímson,,Barcelona 1992,Badminton,doubles men
22,RSA,anton kriel,,Barcelona 1992,Badminton,doubles men
23,SGP,leng kang donald koh,,Barcelona 1992,Badminton,doubles men
24,AUT,jürgen koch,,Barcelona 1992,Badminton,doubles men
25,SWE,stellan oesterberg,,Barcelona 1992,Badminton,doubles men
26,MAS,soon kit cheah,,Barcelona 1992,Badminton,doubles men
27,JPN,koji miya,,Barcelona 1992,Badminton,doubles men
28,BUL,ivan dobrev ivanov,,Barcelona 1992,Badminton,doubles men
29,POR,fernando silva,,Barcelona 1992,Badminton,doubles men
0,KOR,so-yeong jeong,,Barcelona 1992,Badminton,doubles women
1,CHN,qunhua nong,,Barcelona 1992,Badminton,doubles women
2,KOR,eun-jeong sim,,Barcelona 1992,Badminton,doubles women
3,CHN,yanfen lin,,Barcelona 1992,Badminton,doubles women
4,AUS,anna oi chan lao,,Barcelona 1992,Badminton,doubles women
5,GBR,gillian margaret clark,,Barcelona 1992,Badminton,doubles women
6,INA,lily tampi,,Barcelona 1992,Badminton,doubles women
7,SWE,maria bengtsson,,Barcelona 1992,Badminton,doubles women
8,GER,katrin schmidt,,Barcelona 1992,Badminton,doubles women
9,JPN,hisako mori,,Barcelona 1992,Badminton,doubles women
10,POL,janina wilk,,Barcelona 1992,Badminton,doubles women
11,JPN,tomomi matsuo,,Barcelona 1992,Badminton,doubles women
12,THA,ladawan mulasartsatorn,,Barcelona 1992,Badminton,doubles women
13,GBR,gillian carol gowers,,Barcelona 1992,Badminton,doubles women
14,DEN,marlene thomsen,,Barcelona 1992,Badminton,doubles women
15,JPN,harumi kohara,,Barcelona 1992,Badminton,doubles women
16,USA,linda j french,,Barcelona 1992,Badminton,doubles women
17,INA,erma s. sulistyaningsih,,Barcelona 1992,Badminton,doubles women
18,HUN,andrea dako,,Barcelona 1992,Badminton,doubles women
19,DEN,grete mogensen,,Barcelona 1992,Badminton,doubles women
20,BUL,emilia lyubenova dimitrova,,Barcelona 1992,Badminton,doubles women
21,SUI,silvia albrecht,,Barcelona 1992,Badminton,doubles women
22,BUL,diana khristova koleva,,Barcelona 1992,Badminton,doubles women
23,POL,beata syta,,Barcelona 1992,Badminton,doubles women
24,MRI,vandanah seesurun,,Barcelona 1992,Badminton,doubles women
25,NZL,rhona susan robertson,,Barcelona 1992,Badminton,doubles women
26,NED,eline coene,,Barcelona 1992,Badminton,doubles women
27,FRA,virginie delvingt,,Barcelona 1992,Badminton,doubles women
28,CAN,doris piche,,Barcelona 1992,Badminton,doubles women
0,INA,alan budi kusuma,,Barcelona 1992,Badminton,Singles men
1,INA,ardy bernardus wiranata,,Barcelona 1992,Badminton,Singles men
2,DEN,thomas stuer-lauridsen,,Barcelona 1992,Badminton,Singles men
3,INA,hermawan susanto,,Barcelona 1992,Badminton,Singles men
4,CHN,jianhua zhao,,Barcelona 1992,Badminton,Singles men
5,MAS,adul sidek mohamed,,Barcelona 1992,Badminton,Singles men
6,DEN,poul-erik høyer larsen,,Barcelona 1992,Badminton,Singles men
7,KOR,hak-kyun kim,,Barcelona 1992,Badminton,Singles men
8,IND,deepankar bhattacharya,,Barcelona 1992,Badminton,Singles men
9,THA,teeranun chiangta,,Barcelona 1992,Badminton,Singles men
10,MAS,kok keong foo,,Barcelona 1992,Badminton,Singles men
11,HKG,kin ngai chan,,Barcelona 1992,Badminton,Singles men
12,EUN,andrei antropov,,Barcelona 1992,Badminton,Singles men
13,CHN,wenkai wu,,Barcelona 1992,Badminton,Singles men
14,CHN,jun liu,,Barcelona 1992,Badminton,Singles men
15,HKG,wai lap wong,,Barcelona 1992,Badminton,Singles men
16,GBR,darren james hall,,Barcelona 1992,Badminton,Singles men
17,AUT,hannes fuchs,,Barcelona 1992,Badminton,Singles men
18,FIN,robert liljequist,,Barcelona 1992,Badminton,Singles men
19,USA,christopher r. jogis,,Barcelona 1992,Badminton,Singles men
20,SWE,jens olsson,,Barcelona 1992,Badminton,Singles men
21,TCH,tomasz mendrek,,Barcelona 1992,Badminton,Singles men
22,JPN,fumihiko machida,,Barcelona 1992,Badminton,Singles men
23,SGP,hamid khan,,Barcelona 1992,Badminton,Singles men
24,SWE,peter axelsson,,Barcelona 1992,Badminton,Singles men
25,THA,sompol kookasemkit,,Barcelona 1992,Badminton,Singles men
26,ISL,árni þór hallgrímson,,Barcelona 1992,Badminton,Singles men
