,country,participant,result,olympic_game,discipline,event
0,TCH,lukas pollert,113.69,Barcelona 1992,Canoe Slalom,C1 canoe single men
1,GBR,gareth john marriott,116.48,Barcelona 1992,Canoe Slalom,C1 canoe single men
2,FRA,jacky avril,117.18,Barcelona 1992,Canoe Slalom,C1 canoe single men
3,USA,jon lugbill,118.62,Barcelona 1992,Canoe Slalom,C1 canoe single men
4,ITA,renato de monti,119.02,Barcelona 1992,Canoe Slalom,C1 canoe single men
5,GER,martin lang,119.19,Barcelona 1992,Canoe Slalom,C1 canoe single men
6,FRA,emmanuel brugvin,119.19,Barcelona 1992,Canoe Slalom,C1 canoe single men
7,TCH,juraj ontko,120.23,Barcelona 1992,Canoe Slalom,C1 canoe single men
8,CRO,danko herceg,120.41,Barcelona 1992,Canoe Slalom,C1 canoe single men
9,SLO,bostjan zitnik,121.09,Barcelona 1992,Canoe Slalom,C1 canoe single men
10,USA,davey hearn,121.57,Barcelona 1992,Canoe Slalom,C1 canoe single men
11,IRL,mike corcoran,121.57,Barcelona 1992,Canoe Slalom,C1 canoe single men
12,POL,grzegorz sarata,122.12,Barcelona 1992,Canoe Slalom,C1 canoe single men
13,SLO,joze vidmar,122.26,Barcelona 1992,Canoe Slalom,C1 canoe single men
14,POL,zbigniew miazek,122.37,Barcelona 1992,Canoe Slalom,C1 canoe single men
15,SLO,borut javornik,123.94,Barcelona 1992,Canoe Slalom,C1 canoe single men
16,GER,sören kaufmann,124.80,Barcelona 1992,Canoe Slalom,C1 canoe single men
17,FRA,thierry humeau,124.91,Barcelona 1992,Canoe Slalom,C1 canoe single men
18,CAN,larry norman,128.96,Barcelona 1992,Canoe Slalom,C1 canoe single men
19,AUS,peter ralph eckhardt,129.98,Barcelona 1992,Canoe Slalom,C1 canoe single men
20,USA,adam clawson,129.23,Barcelona 1992,Canoe Slalom,C1 canoe single men
21,CAN,roy douglas sharplin,135.71,Barcelona 1992,Canoe Slalom,C1 canoe single men
22,CRO,stjepan perestegi,136.98,Barcelona 1992,Canoe Slalom,C1 canoe single men
23,ESP,marc vicente cases,139.38,Barcelona 1992,Canoe Slalom,C1 canoe single men
24,GBR,mark delaney,139.61,Barcelona 1992,Canoe Slalom,C1 canoe single men
25,BRA,leonardo selbach,140.60,Barcelona 1992,Canoe Slalom,C1 canoe single men
26,POL,krzysztof bieryt,142.61,Barcelona 1992,Canoe Slalom,C1 canoe single men
27,ESP,pere guerrero torrecillas,144.74,Barcelona 1992,Canoe Slalom,C1 canoe single men
28,TCH,jakub pruher,149.53,Barcelona 1992,Canoe Slalom,C1 canoe single men
29,CAN,daniel andrew norman,157.80,Barcelona 1992,Canoe Slalom,C1 canoe single men
30,IOA,lazar miloević,170.22,Barcelona 1992,Canoe Slalom,C1 canoe single men
0,USA,joseph jacobi,122.41,Barcelona 1992,Canoe Slalom,C2 canoe double men
1,TCH,jiri rohan,124.25,Barcelona 1992,Canoe Slalom,C2 canoe double men
2,FRA,franck adisson,124.38,Barcelona 1992,Canoe Slalom,C2 canoe double men
3,USA,lecky haller,128.05,Barcelona 1992,Canoe Slalom,C2 canoe double men
4,SUI,ueli matti,128.55,Barcelona 1992,Canoe Slalom,C2 canoe double men
5,TCH,pavel stercl,130.42,Barcelona 1992,Canoe Slalom,C2 canoe double men
6,TCH,tomas petricek,131.86,Barcelona 1992,Canoe Slalom,C2 canoe double men
7,FRA,emmanuel del rey,132.29,Barcelona 1992,Canoe Slalom,C2 canoe double men
8,GER,manfred berro,132.83,Barcelona 1992,Canoe Slalom,C2 canoe double men
9,POL,michal staniszewski,133.75,Barcelona 1992,Canoe Slalom,C2 canoe double men
10,FRA,bertrand daille,133.83,Barcelona 1992,Canoe Slalom,C2 canoe double men
11,GBR,andrew clough,135.82,Barcelona 1992,Canoe Slalom,C2 canoe double men
12,GER,frank hemmer,136.03,Barcelona 1992,Canoe Slalom,C2 canoe double men
13,GER,rüdiger hübbers,146.05,Barcelona 1992,Canoe Slalom,C2 canoe double men
