,country,participant,result,olympic_game,discipline,event
0,,,14,Barcelona 1992,Football,football men
1,,,17,Barcelona 1992,Football,football men
2,,,9,Barcelona 1992,Football,football men
3,,,8,Barcelona 1992,Football,football men
4,,,6,Barcelona 1992,Football,football men
5,,,5,Barcelona 1992,Football,football men
6,,,3,Barcelona 1992,Football,football men
7,,,2,Barcelona 1992,Football,football men
8,,,6,Barcelona 1992,Football,football men
9,,,3,Barcelona 1992,Football,football men
10,,,2,Barcelona 1992,Football,football men
11,,,4,Barcelona 1992,Football,football men
12,,,1,Barcelona 1992,Football,football men
13,,,4,Barcelona 1992,Football,football men
14,,,2,Barcelona 1992,Football,football men
15,,,1,Barcelona 1992,Football,football men
