,country,participant,result,olympic_game,discipline,event
0,,,,Barcelona 1992,Hockey,hockey men
1,,,,Barcelona 1992,Hockey,hockey men
2,,,,Barcelona 1992,Hockey,hockey men
3,,,,Barcelona 1992,Hockey,hockey men
4,,,,Barcelona 1992,Hockey,hockey men
5,,,,Barcelona 1992,Hockey,hockey men
6,,,,Barcelona 1992,Hockey,hockey men
7,,,,Barcelona 1992,Hockey,hockey men
8,,,,Barcelona 1992,Hockey,hockey men
9,,,,Barcelona 1992,Hockey,hockey men
10,,,,Barcelona 1992,Hockey,hockey men
11,,,,Barcelona 1992,Hockey,hockey men
0,,,,Barcelona 1992,Hockey,hockey women
1,,,,Barcelona 1992,Hockey,hockey women
2,,,,Barcelona 1992,Hockey,hockey women
3,,,,Barcelona 1992,Hockey,hockey women
4,,,,Barcelona 1992,Hockey,hockey women
5,,,,Barcelona 1992,Hockey,hockey women
6,,,,Barcelona 1992,Hockey,hockey women
7,,,,Barcelona 1992,Hockey,hockey women
