,country,participant,result,olympic_game,discipline,event
0,,,,Barcelona 1992,Rowing,coxless four 4 women
1,,,,Barcelona 1992,Rowing,coxless four 4 women
2,,,,Barcelona 1992,Rowing,coxless four 4 women
3,,,,Barcelona 1992,Rowing,coxless four 4 women
4,,,,Barcelona 1992,Rowing,coxless four 4 women
5,,,,Barcelona 1992,Rowing,coxless four 4 women
6,,,00:06:45.160,Barcelona 1992,Rowing,coxless four 4 women
7,,,00:06:49.760,Barcelona 1992,Rowing,coxless four 4 women
8,,,00:06:57.780,Barcelona 1992,Rowing,coxless four 4 women
0,,,,Barcelona 1992,Rowing,double sculls 2x men
1,,,,Barcelona 1992,Rowing,double sculls 2x men
2,,,,Barcelona 1992,Rowing,double sculls 2x men
3,,,,Barcelona 1992,Rowing,double sculls 2x men
4,,,,Barcelona 1992,Rowing,double sculls 2x men
5,,,,Barcelona 1992,Rowing,double sculls 2x men
6,,,,Barcelona 1992,Rowing,double sculls 2x men
7,,,,Barcelona 1992,Rowing,double sculls 2x men
8,,,,Barcelona 1992,Rowing,double sculls 2x men
9,,,,Barcelona 1992,Rowing,double sculls 2x men
10,,,,Barcelona 1992,Rowing,double sculls 2x men
11,,,,Barcelona 1992,Rowing,double sculls 2x men
12,,,,Barcelona 1992,Rowing,double sculls 2x men
13,,,,Barcelona 1992,Rowing,double sculls 2x men
14,,,,Barcelona 1992,Rowing,double sculls 2x men
15,,,,Barcelona 1992,Rowing,double sculls 2x men
16,,,,Barcelona 1992,Rowing,double sculls 2x men
17,,,00:06:42.000,Barcelona 1992,Rowing,double sculls 2x men
18,,,00:07:00.900,Barcelona 1992,Rowing,double sculls 2x men
0,GER,kerstin köppen,,Barcelona 1992,Rowing,double sculls 2x women
1,ROU,veronica cochela-cogeanu,,Barcelona 1992,Rowing,double sculls 2x women
2,CHN,huali lu,,Barcelona 1992,Rowing,double sculls 2x women
3,NZL,philippa june baker,,Barcelona 1992,Rowing,double sculls 2x women
4,GBR,alison jane gill,,Barcelona 1992,Rowing,double sculls 2x women
5,EUN,sariya zakirova,,Barcelona 1992,Rowing,double sculls 2x women
6,BUL,galina blagoeva kamenova,00:07:04.190,Barcelona 1992,Rowing,double sculls 2x women
7,AUS,gillian campbell,00:07:05.910,Barcelona 1992,Rowing,double sculls 2x women
8,BEL,renee govaert,00:07:06.980,Barcelona 1992,Rowing,double sculls 2x women
9,NED,rita de jong,00:07:10.620,Barcelona 1992,Rowing,double sculls 2x women
10,USA,cynthia ryder,00:07:12.240,Barcelona 1992,Rowing,double sculls 2x women
11,MEX,martha aurora garcia mayo,00:07:19.100,Barcelona 1992,Rowing,double sculls 2x women
12,HUN,aniko kapocs,,Barcelona 1992,Rowing,double sculls 2x women
0,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
1,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
2,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
3,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
4,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
5,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
6,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
7,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
8,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
9,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
10,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
11,,,,Barcelona 1992,Rowing,eight with coxswain 8 men
12,,,00:06:02.440,Barcelona 1992,Rowing,eight with coxswain 8 men
13,,,00:06:10.450,Barcelona 1992,Rowing,eight with coxswain 8 men
0,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
1,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
2,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
3,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
4,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
5,,,,Barcelona 1992,Rowing,eight with coxswain 8 women
6,,,00:06:29.680,Barcelona 1992,Rowing,eight with coxswain 8 women
7,,,00:06:31.120,Barcelona 1992,Rowing,eight with coxswain 8 women
0,,,,Barcelona 1992,Rowing,four without coxswain 4 men
1,,,,Barcelona 1992,Rowing,four without coxswain 4 men
2,,,,Barcelona 1992,Rowing,four without coxswain 4 men
3,,,,Barcelona 1992,Rowing,four without coxswain 4 men
4,,,,Barcelona 1992,Rowing,four without coxswain 4 men
5,,,,Barcelona 1992,Rowing,four without coxswain 4 men
6,,,,Barcelona 1992,Rowing,four without coxswain 4 men
7,,,,Barcelona 1992,Rowing,four without coxswain 4 men
8,,,,Barcelona 1992,Rowing,four without coxswain 4 men
9,,,,Barcelona 1992,Rowing,four without coxswain 4 men
10,,,,Barcelona 1992,Rowing,four without coxswain 4 men
11,,,,Barcelona 1992,Rowing,four without coxswain 4 men
12,,,00:06:34.850,Barcelona 1992,Rowing,four without coxswain 4 men
13,,,00:06:38.760,Barcelona 1992,Rowing,four without coxswain 4 men
0,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
1,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
2,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
3,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
4,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
5,,,,Barcelona 1992,Rowing,four-oared shell with coxswain men
6,,,00:06:08.520,Barcelona 1992,Rowing,four-oared shell with coxswain men
7,,,00:06:11.520,Barcelona 1992,Rowing,four-oared shell with coxswain men
8,,,00:06:12.600,Barcelona 1992,Rowing,four-oared shell with coxswain men
9,,,00:06:13.320,Barcelona 1992,Rowing,four-oared shell with coxswain men
10,,,00:06:15.660,Barcelona 1992,Rowing,four-oared shell with coxswain men
11,,,00:06:22.000,Barcelona 1992,Rowing,four-oared shell with coxswain men
0,GBR,steven redgrave,,Barcelona 1992,Rowing,pair without coxswain 2 men
1,GER,colin ettingshausen,,Barcelona 1992,Rowing,pair without coxswain 2 men
2,SLO,denis zvegelj,,Barcelona 1992,Rowing,pair without coxswain 2 men
3,FRA,jean christophe rolland,,Barcelona 1992,Rowing,pair without coxswain 2 men
4,BEL,luc goiris,,Barcelona 1992,Rowing,pair without coxswain 2 men
5,USA,peter sharis,,Barcelona 1992,Rowing,pair without coxswain 2 men
6,NOR,sverke lorgen,,Barcelona 1992,Rowing,pair without coxswain 2 men
7,NED,kai compagner,,Barcelona 1992,Rowing,pair without coxswain 2 men
8,CAN,henry hering,,Barcelona 1992,Rowing,pair without coxswain 2 men
9,CRO,zlatko buzina,,Barcelona 1992,Rowing,pair without coxswain 2 men
10,SUI,christoph kuffer,,Barcelona 1992,Rowing,pair without coxswain 2 men
11,AUT,hermann bauer,,Barcelona 1992,Rowing,pair without coxswain 2 men
12,AUS,matthew john mcardle,00:06:44.060,Barcelona 1992,Rowing,pair without coxswain 2 men
13,IOA,vladimir banjanac,00:06:44.520,Barcelona 1992,Rowing,pair without coxswain 2 men
14,EUN,yury pimenov,00:06:48.240,Barcelona 1992,Rowing,pair without coxswain 2 men
15,HUN,henrik schneider,00:06:51.200,Barcelona 1992,Rowing,pair without coxswain 2 men
16,LTU,zigmantas gudauskas,00:07:03.010,Barcelona 1992,Rowing,pair without coxswain 2 men
17,JPN,mitsuru kimura,00:07:17.930,Barcelona 1992,Rowing,pair without coxswain 2 men
18,ROU,dragos neagu,,Barcelona 1992,Rowing,pair without coxswain 2 men
0,CAN,marnie elizabeth mcbean,,Barcelona 1992,Rowing,pair without coxswain 2 women
1,GER,stefani werremeier,,Barcelona 1992,Rowing,pair without coxswain 2 women
2,USA,stephanie maxwell pierson,,Barcelona 1992,Rowing,pair without coxswain 2 women
3,FRA,isabelle danjou,,Barcelona 1992,Rowing,pair without coxswain 2 women
4,GBR,miriam batten,,Barcelona 1992,Rowing,pair without coxswain 2 women
5,BUL,teodorka ivanova zareva,,Barcelona 1992,Rowing,pair without coxswain 2 women
6,ROU,doina liliana snep,00:07:22.070,Barcelona 1992,Rowing,pair without coxswain 2 women
7,EUN,olena ronzhina,00:07:25.150,Barcelona 1992,Rowing,pair without coxswain 2 women
8,JPN,nobuko ota,00:07:26.510,Barcelona 1992,Rowing,pair without coxswain 2 women
9,LTU,violeta lastakauskaite,00:07:29.240,Barcelona 1992,Rowing,pair without coxswain 2 women
10,LAT,liena sastapa,00:07:33.720,Barcelona 1992,Rowing,pair without coxswain 2 women
11,ZIM,margaret ruth gibson,00:07:56.100,Barcelona 1992,Rowing,pair without coxswain 2 women
12,KOR,seong-ok kim,,Barcelona 1992,Rowing,pair without coxswain 2 women
0,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
1,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
2,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
3,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
4,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
5,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
6,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
7,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
8,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
9,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
10,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
11,,,,Barcelona 1992,Rowing,pair-oared shell with coxswain men
12,,,00:07:32.490,Barcelona 1992,Rowing,pair-oared shell with coxswain men
13,,,00:07:37.760,Barcelona 1992,Rowing,pair-oared shell with coxswain men
14,,,00:07:38.250,Barcelona 1992,Rowing,pair-oared shell with coxswain men
15,,,DNS,Barcelona 1992,Rowing,pair-oared shell with coxswain men
0,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
1,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
2,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
3,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
4,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
5,,,,Barcelona 1992,Rowing,quadruple sculls without coxsw women
6,,,00:06:48.900,Barcelona 1992,Rowing,quadruple sculls without coxsw women
7,,,00:06:51.890,Barcelona 1992,Rowing,quadruple sculls without coxsw women
8,,,00:06:53.710,Barcelona 1992,Rowing,quadruple sculls without coxsw women
0,GER,thomas lange,,Barcelona 1992,Rowing,single sculls 1x men
1,TCH,vaclav chalupa jr.,,Barcelona 1992,Rowing,single sculls 1x men
2,POL,kajetan broniewski,,Barcelona 1992,Rowing,single sculls 1x men
3,NZL,eric franciscus verdonk,,Barcelona 1992,Rowing,single sculls 1x men
4,EST,juri jaanson,,Barcelona 1992,Rowing,single sculls 1x men
5,ARG,sergio abel fernandez,,Barcelona 1992,Rowing,single sculls 1x men
6,MEX,joaquin gomez gurza,,Barcelona 1992,Rowing,single sculls 1x men
7,AUT,harald faderbauer,,Barcelona 1992,Rowing,single sculls 1x men
8,LAT,ugis lasmanis,,Barcelona 1992,Rowing,single sculls 1x men
9,FIN,pertti karppinen,,Barcelona 1992,Rowing,single sculls 1x men
10,GRE,konstantinos kariotis,,Barcelona 1992,Rowing,single sculls 1x men
11,SUI,xeno mueller,,Barcelona 1992,Rowing,single sculls 1x men
12,ITA,massimo marconcini,,Barcelona 1992,Rowing,single sculls 1x men
13,GBR,wade hall-craggs,,Barcelona 1992,Rowing,single sculls 1x men
14,HUN,gabor mitring,,Barcelona 1992,Rowing,single sculls 1x men
15,NED,frans gobel,,Barcelona 1992,Rowing,single sculls 1x men
16,EUN,ihor mohylnyi,,Barcelona 1992,Rowing,single sculls 1x men
17,URU,jesus maria posse vivas,,Barcelona 1992,Rowing,single sculls 1x men
18,USA,greg a. walker,00:07:12.320,Barcelona 1992,Rowing,single sculls 1x men
19,TUR,ali rıza bilal,00:07:35.150,Barcelona 1992,Rowing,single sculls 1x men
20,IRL,niall o'toole,00:08:01.780,Barcelona 1992,Rowing,single sculls 1x men
21,LBN,christian francis,00:08:06.140,Barcelona 1992,Rowing,single sculls 1x men
0,ROU,elisabeta lipa-oleniuc,,Barcelona 1992,Rowing,single sculls 1x women
1,BEL,annelies bredael,,Barcelona 1992,Rowing,single sculls 1x women
2,CAN,silken suzette laumann,,Barcelona 1992,Rowing,single sculls 1x women
3,USA,anne r. marden,,Barcelona 1992,Rowing,single sculls 1x women
4,SWE,maria brandin,,Barcelona 1992,Rowing,single sculls 1x women
5,FRA,corinne le moal,,Barcelona 1992,Rowing,single sculls 1x women
6,GRE,antonia svaier,,Barcelona 1992,Rowing,single sculls 1x women
7,NED,irene eijs,,Barcelona 1992,Rowing,single sculls 1x women
8,GBR,patricia josephine reid,,Barcelona 1992,Rowing,single sculls 1x women
9,BUL,violeta ninova,,Barcelona 1992,Rowing,single sculls 1x women
10,LTU,kristina poplavskaja,,Barcelona 1992,Rowing,single sculls 1x women
11,GER,beate schramm,,Barcelona 1992,Rowing,single sculls 1x women
12,HUN,katalin sarlos,00:08:11.550,Barcelona 1992,Rowing,single sculls 1x women
13,AUS,andrea gay coss,00:08:13.460,Barcelona 1992,Rowing,single sculls 1x women
14,HKG,kim fai ho,00:08:32.860,Barcelona 1992,Rowing,single sculls 1x women
