,country,participant,result,olympic_game,discipline,event
0,GER,ronny weller,432.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
1,EUN,artur akoyev,430,Barcelona 1992,Weightlifting,100  110kg heavyweight men
2,BUL,stefan botev hristov,417.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
3,ROU,nicu vlad,405,Barcelona 1992,Weightlifting,100  110kg heavyweight men
4,POL,dariusz osuch,397.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
5,GER,frank seipelt,390,Barcelona 1992,Weightlifting,100  110kg heavyweight men
6,CUB,flavio villavicencia cabrera,387.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
7,GRE,pavlos saltsidis,385,Barcelona 1992,Weightlifting,100  110kg heavyweight men
8,ALB,dede dekaj,380,Barcelona 1992,Weightlifting,100  110kg heavyweight men
9,ITA,norberto oberburger,375,Barcelona 1992,Weightlifting,100  110kg heavyweight men
10,CUB,maurys charon ferandi,375,Barcelona 1992,Weightlifting,100  110kg heavyweight men
11,HUN,laszlo nemeth,372.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
12,FIN,arto olavi savonen,357.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
13,IRQ,mohammad jowad,357.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
14,HUN,tibor stark,355,Barcelona 1992,Weightlifting,100  110kg heavyweight men
15,TCH,milos ciernik,352.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
16,GBR,raymond kopka,350,Barcelona 1992,Weightlifting,100  110kg heavyweight men
17,USA,richard george schutz,347.5,Barcelona 1992,Weightlifting,100  110kg heavyweight men
18,IRI,mozafar ajali,345,Barcelona 1992,Weightlifting,100  110kg heavyweight men
19,BIH,mehmed skender,320,Barcelona 1992,Weightlifting,100  110kg heavyweight men
20,SWE,anders lindsjoe,160,Barcelona 1992,Weightlifting,100  110kg heavyweight men
21,KOR,sang-seok jeon,175,Barcelona 1992,Weightlifting,100  110kg heavyweight men
22,POL,piotr banaszak,185,Barcelona 1992,Weightlifting,100  110kg heavyweight men
23,EGY,ibrahim el bakh,Did not finish,Barcelona 1992,Weightlifting,100  110kg heavyweight men
0,EUN,alexandre kurlovich,450,Barcelona 1992,Weightlifting,110kg super heavyweight men
1,EUN,leonid taranenko,425,Barcelona 1992,Weightlifting,110kg super heavyweight men
