,country,participant,result,olympic_game,discipline,event
0,UKR,viktor ruban,,Beijing 2008,Archery,individual FITA Olympic round  70m men
1,KOR,kyung-mo park,,Beijing 2008,Archery,individual FITA Olympic round  70m men
2,RUS,bair badenov,,Beijing 2008,Archery,individual FITA Olympic round  70m men
3,MEX,juan rene serrano,,Beijing 2008,Archery,individual FITA Olympic round  70m men
4,CUB,juan carlos stevens,,Beijing 2008,Archery,individual FITA Olympic round  70m men
5,USA,victor wunderle,,Beijing 2008,Archery,individual FITA Olympic round  70m men
6,JPN,ryuichi moriya,,Beijing 2008,Archery,individual FITA Olympic round  70m men
7,MAS,chu sian cheng,,Beijing 2008,Archery,individual FITA Olympic round  70m men
8,KOR,dong-hyeon im,,Beijing 2008,Archery,individual FITA Olympic round  70m men
9,RUS,balzhinima tsyrempilov,,Beijing 2008,Archery,individual FITA Olympic round  70m men
10,CAN,jay lyon,,Beijing 2008,Archery,individual FITA Olympic round  70m men
11,POL,jacek proc,,Beijing 2008,Archery,individual FITA Olympic round  70m men
12,BLR,maksim kunda,,Beijing 2008,Archery,individual FITA Olympic round  70m men
13,POL,rafal dobrowolski,,Beijing 2008,Archery,individual FITA Olympic round  70m men
14,KOR,chang-hwan lee,,Beijing 2008,Archery,individual FITA Olympic round  70m men
15,GBR,alan wills,,Beijing 2008,Archery,individual FITA Olympic round  70m men
16,ESP,daniel morillo prats,,Beijing 2008,Archery,individual FITA Olympic round  70m men
17,UKR,oleksandr serdyuk,,Beijing 2008,Archery,individual FITA Olympic round  70m men
18,SWE,magnus petersson,,Beijing 2008,Archery,individual FITA Olympic round  70m men
19,TPE,cheng-wei kuo,,Beijing 2008,Archery,individual FITA Olympic round  70m men
20,AUS,ha-neul kim,,Beijing 2008,Archery,individual FITA Olympic round  70m men
21,ITA,marco galiazzo,,Beijing 2008,Archery,individual FITA Olympic round  70m men
22,TPE,cheng pang wang,,Beijing 2008,Archery,individual FITA Olympic round  70m men
23,TUR,yusuf goktug ergin,,Beijing 2008,Archery,individual FITA Olympic round  70m men
24,ITA,ilario di buo,,Beijing 2008,Archery,individual FITA Olympic round  70m men
25,IND,mangal singh champia,,Beijing 2008,Archery,individual FITA Olympic round  70m men
26,USA,brady ellison,,Beijing 2008,Archery,individual FITA Olympic round  70m men
27,USA,butch johnson,,Beijing 2008,Archery,individual FITA Olympic round  70m men
28,AUS,michael naray,,Beijing 2008,Archery,individual FITA Olympic round  70m men
29,FIN,matti hatava,,Beijing 2008,Archery,individual FITA Olympic round  70m men
30,ROU,alexandru bodnar,,Beijing 2008,Archery,individual FITA Olympic round  70m men
31,TPE,szu yuan chen,,Beijing 2008,Archery,individual FITA Olympic round  70m men
32,JPN,takaharu furukawa,,Beijing 2008,Archery,individual FITA Olympic round  70m men
33,CHN,wenquan li,,Beijing 2008,Archery,individual FITA Olympic round  70m men
34,FRA,romain girouille,,Beijing 2008,Archery,individual FITA Olympic round  70m men
35,RUS,andrey abramov,,Beijing 2008,Archery,individual FITA Olympic round  70m men
36,POL,piotr piatek,,Beijing 2008,Archery,individual FITA Olympic round  70m men
37,GBR,laurence godfrey,,Beijing 2008,Archery,individual FITA Olympic round  70m men
38,CAN,crispin duenas,,Beijing 2008,Archery,individual FITA Olympic round  70m men
39,CHN,lin jiang,,Beijing 2008,Archery,individual FITA Olympic round  70m men
40,UKR,markiyan ivashko,,Beijing 2008,Archery,individual FITA Olympic round  70m men
