,country,participant,result,olympic_game,discipline,event
0,INA,markis kido,,Beijing 2008,Badminton,doubles men
1,CHN,haifeng fu,,Beijing 2008,Badminton,doubles men
2,KOR,jaejin lee,,Beijing 2008,Badminton,doubles men
3,DEN,lars paaske,,Beijing 2008,Badminton,doubles men
4,MAS,kien keat koo,,Beijing 2008,Badminton,doubles men
5,POL,robert mateusiak,,Beijing 2008,Badminton,doubles men
6,JPN,keita masuda,,Beijing 2008,Badminton,doubles men
7,USA,howard bach,,Beijing 2008,Badminton,doubles men
8,CHN,zhongbo xie,,Beijing 2008,Badminton,doubles men
9,JPN,shintaro ikeda,,Beijing 2008,Badminton,doubles men
10,KOR,yong dae lee,,Beijing 2008,Badminton,doubles men
11,AUS,ross smith,,Beijing 2008,Badminton,doubles men
12,INA,luluk hadiyanto,,Beijing 2008,Badminton,doubles men
13,MAS,wan wah lee,,Beijing 2008,Badminton,doubles men
14,RSA,roelof dednam,,Beijing 2008,Badminton,doubles men
15,DEN,jens dyrloev eriksen,,Beijing 2008,Badminton,doubles men
0,KOR,yong dae lee,,Beijing 2008,Badminton,Doubles mixed
1,INA,nova widianto,,Beijing 2008,Badminton,Doubles mixed
2,CHN,yang yu,,Beijing 2008,Badminton,Doubles mixed
3,INA,vita marissa,,Beijing 2008,Badminton,Doubles mixed
4,POL,nadia kostiuczyk-zieba,,Beijing 2008,Badminton,Doubles mixed
5,DEN,kamilla rytter juhl,,Beijing 2008,Badminton,Doubles mixed
6,GBR,nathan robertson,,Beijing 2008,Badminton,Doubles mixed
7,THA,saralee thungthongkam,,Beijing 2008,Badminton,Doubles mixed
8,KOR,yu-mi hwang,,Beijing 2008,Badminton,Doubles mixed
9,CAN,mike beres,,Beijing 2008,Badminton,Doubles mixed
10,GBR,anthony clark,,Beijing 2008,Badminton,Doubles mixed
11,SEY,juliette ah-wan,,Beijing 2008,Badminton,Doubles mixed
12,SGP,hendri kurniawan saputra,,Beijing 2008,Badminton,Doubles mixed
13,GER,birgit michels,,Beijing 2008,Badminton,Doubles mixed
14,NZL,craig cooper,,Beijing 2008,Badminton,Doubles mixed
15,CHN,bo zheng,,Beijing 2008,Badminton,Doubles mixed
0,CHN,yang yu,,Beijing 2008,Badminton,doubles women
1,KOR,kyungwon lee,,Beijing 2008,Badminton,doubles women
2,CHN,yili wei,,Beijing 2008,Badminton,doubles women
3,JPN,miyuki maeda,,Beijing 2008,Badminton,doubles women
4,CHN,jiewen zhang,,Beijing 2008,Badminton,doubles women
5,SGP,yujia li,,Beijing 2008,Badminton,doubles women
6,TPE,yu chin chien,,Beijing 2008,Badminton,doubles women
7,JPN,reiko shiota,,Beijing 2008,Badminton,doubles women
8,INA,liliyana natsir,,Beijing 2008,Badminton,doubles women
