,country,participant,result,olympic_game,discipline,event
0,FRA,julien absalon,01:55:59.000,Beijing 2008,Cycling Mountain Bike,cross-country men
1,FRA,jean-christophe peraud,01:57:06.000,Beijing 2008,Cycling Mountain Bike,cross-country men
2,SUI,nino schurter,01:57:52.000,Beijing 2008,Cycling Mountain Bike,cross-country men
3,SUI,christoph sauser,01:57:54.000,Beijing 2008,Cycling Mountain Bike,cross-country men
4,ITA,marco aurelio fontana,01:59:59.000,Beijing 2008,Cycling Mountain Bike,cross-country men
5,AUT,christoph soukup,02:00:11.000,Beijing 2008,Cycling Mountain Bike,cross-country men
6,GBR,liam killeen,02:00:14.000,Beijing 2008,Cycling Mountain Bike,cross-country men
7,ESP,inaki lejarreta errasti,02:00:21.000,Beijing 2008,Cycling Mountain Bike,cross-country men
8,BEL,sven nys,02:01:00.000,Beijing 2008,Cycling Mountain Bike,cross-country men
9,ESP,jose antonio hermida ramos,02:01:01.000,Beijing 2008,Cycling Mountain Bike,cross-country men
10,GER,manuel fumic,02:01:16.000,Beijing 2008,Cycling Mountain Bike,cross-country men
11,GBR,oliver beckingsale,02:01:25.000,Beijing 2008,Cycling Mountain Bike,cross-country men
12,POL,marek galinski,02:01:29.000,Beijing 2008,Cycling Mountain Bike,cross-country men
13,FRA,cedric ravanel,02:01:38.000,Beijing 2008,Cycling Mountain Bike,cross-country men
14,RSA,burry stander,02:01:58.000,Beijing 2008,Cycling Mountain Bike,cross-country men
15,GER,moritz milatz,02:02:59.000,Beijing 2008,Cycling Mountain Bike,cross-country men
16,SWE,fredrik carl wilhelm kessiakoff,02:03:09.000,Beijing 2008,Cycling Mountain Bike,cross-country men
17,CZE,jaroslav kulhavy,02:03:20.000,Beijing 2008,Cycling Mountain Bike,cross-country men
18,BEL,roel paulissen,02:03:30.000,Beijing 2008,Cycling Mountain Bike,cross-country men
19,CAN,geoff kabush,02:03:55.000,Beijing 2008,Cycling Mountain Bike,cross-country men
20,BRA,rubens donizete valeriano,02:05:19.000,Beijing 2008,Cycling Mountain Bike,cross-country men
21,CHN,jianhua ji,02:05:29.000,Beijing 2008,Cycling Mountain Bike,cross-country men
22,HUN,andras parti,02:06:00.000,Beijing 2008,Cycling Mountain Bike,cross-country men
23,NZL,kashi leuchs,02:06:30.000,Beijing 2008,Cycling Mountain Bike,cross-country men
24,DEN,jakob fuglsang,02:06:41.000,Beijing 2008,Cycling Mountain Bike,cross-country men
25,COL,hector leonardo paez leon,02:06:46.000,Beijing 2008,Cycling Mountain Bike,cross-country men
26,ARG,dario alejandro gasco,02:07:04.000,Beijing 2008,Cycling Mountain Bike,cross-country men
27,ESP,carlos coloma nicolas,02:09:05.000,Beijing 2008,Cycling Mountain Bike,cross-country men
28,USA,adam craig,,Beijing 2008,Cycling Mountain Bike,cross-country men
29,ITA,yader zoli,,Beijing 2008,Cycling Mountain Bike,cross-country men
30,DEN,klaus nielsen,,Beijing 2008,Cycling Mountain Bike,cross-country men
31,BEL,filip meirhaeghe,,Beijing 2008,Cycling Mountain Bike,cross-country men
32,GER,wolfram kurschat,,Beijing 2008,Cycling Mountain Bike,cross-country men
33,NED,rudi van houts,,Beijing 2008,Cycling Mountain Bike,cross-country men
34,TUR,bilal akgul,,Beijing 2008,Cycling Mountain Bike,cross-country men
35,CHI,cristobal silva,,Beijing 2008,Cycling Mountain Bike,cross-country men
36,NED,bart brentjens,,Beijing 2008,Cycling Mountain Bike,cross-country men
37,SWE,emil lindgren,,Beijing 2008,Cycling Mountain Bike,cross-country men
38,AUS,daniel mcconnell,,Beijing 2008,Cycling Mountain Bike,cross-country men
39,HKG,chun hing chan,,Beijing 2008,Cycling Mountain Bike,cross-country men
40,RUS,yury trofimov,,Beijing 2008,Cycling Mountain Bike,cross-country men
41,UKR,sergiy rysenko,,Beijing 2008,Cycling Mountain Bike,cross-country men
42,USA,todd wells,,Beijing 2008,Cycling Mountain Bike,cross-country men
43,CAN,seamus mcgrath,,Beijing 2008,Cycling Mountain Bike,cross-country men
44,NAM,mannie heymans,,Beijing 2008,Cycling Mountain Bike,cross-country men
45,JPN,kohei yamamoto,,Beijing 2008,Cycling Mountain Bike,cross-country men
46,CRC,federico ramirez,,Beijing 2008,Cycling Mountain Bike,cross-country men
47,ZIM,antipass kwari,,Beijing 2008,Cycling Mountain Bike,cross-country men
48,SUI,florian vogel,(lap 5),Beijing 2008,Cycling Mountain Bike,cross-country men
49,IRL,robin seymour,(lap 2),Beijing 2008,Cycling Mountain Bike,cross-country men
0,GER,sabine spitz,01:45:11.000,Beijing 2008,Cycling Mountain Bike,cross-country women
1,POL,maja wloszczowska,01:45:52.000,Beijing 2008,Cycling Mountain Bike,cross-country women
2,RUS,irina kalentyeva,01:46:28.000,Beijing 2008,Cycling Mountain Bike,cross-country women
3,CAN,catharine pendrel,01:46:37.000,Beijing 2008,Cycling Mountain Bike,cross-country women
4,CHN,chengyuan ren,01:47:40.000,Beijing 2008,Cycling Mountain Bike,cross-country women
5,SUI,petra henzi,01:48:41.000,Beijing 2008,Cycling Mountain Bike,cross-country women
6,USA,mary mcconneloug,01:50:34.000,Beijing 2008,Cycling Mountain Bike,cross-country women
7,USA,georgia gould,01:50:51.000,Beijing 2008,Cycling Mountain Bike,cross-country women
8,NZL,rosara joseph,01:51:07.000,Beijing 2008,Cycling Mountain Bike,cross-country women
9,POL,aleksandra dawidowicz,01:51:21.000,Beijing 2008,Cycling Mountain Bike,cross-country women
10,AUT,elisabeth osl,01:51:39.000,Beijing 2008,Cycling Mountain Bike,cross-country women
11,CHN,ying liu,01:52:01.000,Beijing 2008,Cycling Mountain Bike,cross-country women
12,NOR,lene byberg,01:53:19.000,Beijing 2008,Cycling Mountain Bike,cross-country women
13,NED,elsbeth van rooy,01:53:30.000,Beijing 2008,Cycling Mountain Bike,cross-country women
14,SUI,nathalie schneitter,01:53:42.000,Beijing 2008,Cycling Mountain Bike,cross-country women
15,ITA,eva lechner,01:58:22.000,Beijing 2008,Cycling Mountain Bike,cross-country women
16,FRA,laurence leboucher,02:00:55.000,Beijing 2008,Cycling Mountain Bike,cross-country women
17,GER,adelheid morath,02:02:25.000,Beijing 2008,Cycling Mountain Bike,cross-country women
18,BRA,jaqueline mourao,,Beijing 2008,Cycling Mountain Bike,cross-country women
19,JPN,rie katayama,,Beijing 2008,Cycling Mountain Bike,cross-country women
20,SLO,blaza klemencic,,Beijing 2008,Cycling Mountain Bike,cross-country women
21,RSA,yolande speedy,,Beijing 2008,Cycling Mountain Bike,cross-country women
22,RUS,vera andreeva,,Beijing 2008,Cycling Mountain Bike,cross-country women
23,SVK,janka stevkova,,Beijing 2008,Cycling Mountain Bike,cross-country women
24,CHI,francisca campos,,Beijing 2008,Cycling Mountain Bike,cross-country women
25,AUS,dellys starr,,Beijing 2008,Cycling Mountain Bike,cross-country women
26,NOR,gunn rita dahle-flesjå,(lap 4),Beijing 2008,Cycling Mountain Bike,cross-country women
27,ESP,margarita fullana,(lap 3),Beijing 2008,Cycling Mountain Bike,cross-country women
28,CAN,marie-helene premont,(lap 2),Beijing 2008,Cycling Mountain Bike,cross-country women
