,country,participant,result,olympic_game,discipline,event
0,GBR,bradley wiggins,,Beijing 2008,Cycling Track,Individual Pursuit men
1,NZL,hayden roulston,,Beijing 2008,Cycling Track,Individual Pursuit men
2,GBR,steven burke,00:04:20.947,Beijing 2008,Cycling Track,Individual Pursuit men
3,RUS,alexey markov,00:04:24.149,Beijing 2008,Cycling Track,Individual Pursuit men
4,UKR,volodymyr dyudya,,Beijing 2008,Cycling Track,Individual Pursuit men
5,ESP,antonio tauler,,Beijing 2008,Cycling Track,Individual Pursuit men
6,USA,taylor phinney,,Beijing 2008,Cycling Track,Individual Pursuit men
7,RUS,alexander serov,,Beijing 2008,Cycling Track,Individual Pursuit men
8,AUS,bradley mcgee,,Beijing 2008,Cycling Track,Individual Pursuit men
9,ESP,sergi escobar,,Beijing 2008,Cycling Track,Individual Pursuit men
10,IRL,david o'loughlin,,Beijing 2008,Cycling Track,Individual Pursuit men
11,AUS,brett lancaster,,Beijing 2008,Cycling Track,Individual Pursuit men
12,NED,jens mouris,,Beijing 2008,Cycling Track,Individual Pursuit men
13,UKR,vitaliy popkov,,Beijing 2008,Cycling Track,Individual Pursuit men
14,FRA,fabien sanchez,,Beijing 2008,Cycling Track,Individual Pursuit men
15,COL,carlos alzate,,Beijing 2008,Cycling Track,Individual Pursuit men
16,MDA,alexandr pliuschin,,Beijing 2008,Cycling Track,Individual Pursuit men
17,NED,jenning huizenga,,Beijing 2008,Cycling Track,Individual Pursuit men
0,GBR,rebecca romero,,Beijing 2008,Cycling Track,individual pursuit women
1,GBR,wendy houvenaghel,,Beijing 2008,Cycling Track,individual pursuit women
2,UKR,lesia kalytovska,00:03:31.413,Beijing 2008,Cycling Track,individual pursuit women
3,NZL,alison shanks,00:03:34.156,Beijing 2008,Cycling Track,individual pursuit women
4,USA,sarah hammer,,Beijing 2008,Cycling Track,individual pursuit women
5,LTU,vilija sereikaite,,Beijing 2008,Cycling Track,individual pursuit women
6,AUS,katie mactier,,Beijing 2008,Cycling Track,individual pursuit women
7,CZE,lada kozlikova,,Beijing 2008,Cycling Track,individual pursuit women
8,SUI,karin thurig,,Beijing 2008,Cycling Track,individual pursuit women
9,COL,maria luisa calle williams,,Beijing 2008,Cycling Track,individual pursuit women
10,GER,verena jooss,,Beijing 2008,Cycling Track,individual pursuit women
