,country,participant,result,olympic_game,discipline,event
0,,,11,Beijing 2008,Football,tournament men
1,,,10,Beijing 2008,Football,tournament men
2,,,14,Beijing 2008,Football,tournament men
3,,,7,Beijing 2008,Football,tournament men
4,,,8,Beijing 2008,Football,tournament men
5,,,6,Beijing 2008,Football,tournament men
6,,,4,Beijing 2008,Football,tournament men
7,,,2,Beijing 2008,Football,tournament men
8,,,4,Beijing 2008,Football,tournament men
9,,,2,Beijing 2008,Football,tournament men
10,,,1,Beijing 2008,Football,tournament men
11,,,3,Beijing 2008,Football,tournament men
12,,,1,Beijing 2008,Football,tournament men
13,,,1,Beijing 2008,Football,tournament men
14,,,1,Beijing 2008,Football,tournament men
15,,,0,Beijing 2008,Football,tournament men
0,,,12,Beijing 2008,Football,tournament women
1,,,11,Beijing 2008,Football,tournament women
2,,,7,Beijing 2008,Football,tournament women
3,,,11,Beijing 2008,Football,tournament women
4,,,5,Beijing 2008,Football,tournament women
5,,,4,Beijing 2008,Football,tournament women
6,,,5,Beijing 2008,Football,tournament women
7,,,5,Beijing 2008,Football,tournament women
8,,,2,Beijing 2008,Football,tournament women
9,,,2,Beijing 2008,Football,tournament women
10,,,1,Beijing 2008,Football,tournament women
11,,,1,Beijing 2008,Football,tournament women
