,country,participant,result,olympic_game,discipline,event
0,ROU,alina dumitru,,Beijing 2008,Judo,- 48 kg - extralightweight women
1,CUB,yanet bermoy acosta,,Beijing 2008,Judo,- 48 kg - extralightweight women
2,ARG,paula pareto,,Beijing 2008,Judo,- 48 kg - extralightweight women
3,JPN,ryoko tani,,Beijing 2008,Judo,- 48 kg - extralightweight women
4,RUS,lyudmila bogdanova,,Beijing 2008,Judo,- 48 kg - extralightweight women
5,PRK,ok song pak,,Beijing 2008,Judo,- 48 kg - extralightweight women
6,HUN,eva csernoviczki,,Beijing 2008,Judo,- 48 kg - extralightweight women
7,POR,ana hormigo,,Beijing 2008,Judo,- 48 kg - extralightweight women
8,GER,michaela baschin,,Beijing 2008,Judo,- 48 kg - extralightweight women
9,KOR,youngran kim,,Beijing 2008,Judo,- 48 kg - extralightweight women
10,KAZ,kelbet nurgazina,,Beijing 2008,Judo,- 48 kg - extralightweight women
11,CHN,shugen wu,,Beijing 2008,Judo,- 48 kg - extralightweight women
12,USA,sayaka matsumoto,,Beijing 2008,Judo,- 48 kg - extralightweight women
13,ECU,glenda miranda,,Beijing 2008,Judo,- 48 kg - extralightweight women
14,AUS,tiffany day,,Beijing 2008,Judo,- 48 kg - extralightweight women
15,UKR,lyudmyla lusnikova,,Beijing 2008,Judo,- 48 kg - extralightweight women
16,ALG,meriem moussa,,Beijing 2008,Judo,- 48 kg - extralightweight women
17,BUR,konkiswinde hanatou ouelogo,,Beijing 2008,Judo,- 48 kg - extralightweight women
18,IND,khumujam tombi devi,,Beijing 2008,Judo,- 48 kg - extralightweight women
19,GAB,sandrine ilendou,,Beijing 2008,Judo,- 48 kg - extralightweight women
20,FRA,frederique jossinet,,Beijing 2008,Judo,- 48 kg - extralightweight women
21,TUN,chahnez m'barki,,Beijing 2008,Judo,- 48 kg - extralightweight women
22,BRA,sarah menezes,,Beijing 2008,Judo,- 48 kg - extralightweight women
0,KOR,min ho choi,,Beijing 2008,Judo,- 60 kg -extralightweight men
1,AUT,ludwig paischer,,Beijing 2008,Judo,- 60 kg -extralightweight men
2,NED,ruben houkes,,Beijing 2008,Judo,- 60 kg -extralightweight men
3,UZB,rishod sobirov,,Beijing 2008,Judo,- 60 kg -extralightweight men
4,FRA,dimitri dragin,,Beijing 2008,Judo,- 60 kg -extralightweight men
5,ISR,gal yekutiel,,Beijing 2008,Judo,- 60 kg -extralightweight men
6,GBR,craig fallon,,Beijing 2008,Judo,- 60 kg -extralightweight men
7,CAN,frazer will,,Beijing 2008,Judo,- 60 kg -extralightweight men
