,country,participant,result,olympic_game,discipline,event
0,NED,maarten van der weijden,01:51:51.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
1,GBR,david davies,01:51:53.100,Beijing 2008,Marathon Swimming,Marathon - 10 km men
2,GER,thomas lurz,01:51:53.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
3,ITA,valerio cleri,01:52:07.500,Beijing 2008,Marathon Swimming,Marathon - 10 km men
4,RUS,evgeny drattsev,01:52:08.900,Beijing 2008,Marathon Swimming,Marathon - 10 km men
5,BUL,petar stoychev,01:52:09.100,Beijing 2008,Marathon Swimming,Marathon - 10 km men
6,BEL,brian ryckeman,01:52:10.700,Beijing 2008,Marathon Swimming,Marathon - 10 km men
7,USA,mark warkentin,01:52:13.000,Beijing 2008,Marathon Swimming,Marathon - 10 km men
8,RSA,chad ho,01:52:13.100,Beijing 2008,Marathon Swimming,Marathon - 10 km men
9,VEN,erwin maldonado,01:52:13.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
10,AUS,ky hurst,01:52:13.700,Beijing 2008,Marathon Swimming,Marathon - 10 km men
11,UKR,igor chervynskiy,01:52:14.700,Beijing 2008,Marathon Swimming,Marathon - 10 km men
12,ESP,francisco jose hervas,01:52:16.500,Beijing 2008,Marathon Swimming,Marathon - 10 km men
13,BRA,allan do carmo,01:52:16.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
14,FRA,gilles rondy,01:52:16.700,Beijing 2008,Marathon Swimming,Marathon - 10 km men
15,GRE,spyridon gianniotis,01:52:20.400,Beijing 2008,Marathon Swimming,Marathon - 10 km men
16,CZE,rostislav vitek,01:52:41.800,Beijing 2008,Marathon Swimming,Marathon - 10 km men
17,MEX,luis escobar,01:53:47.900,Beijing 2008,Marathon Swimming,Marathon - 10 km men
18,SYR,saleh mohammad,01:54:37.700,Beijing 2008,Marathon Swimming,Marathon - 10 km men
19,EGY,mohamed monir,01:55:17.000,Beijing 2008,Marathon Swimming,Marathon - 10 km men
20,ARG,damian blaum,01:55:48.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
21,POR,arseniy lavrentyev,02:03:39.600,Beijing 2008,Marathon Swimming,Marathon - 10 km men
22,CHN,tong xin,02:09:13.400,Beijing 2008,Marathon Swimming,Marathon - 10 km men
23,HUN,csaba gercsak,Did not finish,Beijing 2008,Marathon Swimming,Marathon - 10 km men
24,RUS,vladimir dyatchin,Disqualified,Beijing 2008,Marathon Swimming,Marathon - 10 km men
0,RUS,larisa ilchenko,01:59:27.700,Beijing 2008,Marathon Swimming,marathon 10km women
1,GBR,keri-anne payne,01:59:29.200,Beijing 2008,Marathon Swimming,marathon 10km women
2,GBR,cassandra patten,01:59:31.000,Beijing 2008,Marathon Swimming,marathon 10km women
3,GER,angela maurer,01:59:31.900,Beijing 2008,Marathon Swimming,marathon 10km women
4,BRA,ana marcela cunha,01:59:36.800,Beijing 2008,Marathon Swimming,marathon 10km women
5,SUI,swann oberson,01:59:36.900,Beijing 2008,Marathon Swimming,marathon 10km women
6,BRA,poliana okimoto,01:59:37.400,Beijing 2008,Marathon Swimming,marathon 10km women
7,CZE,jana pechanova,01:59:39.700,Beijing 2008,Marathon Swimming,marathon 10km women
8,VEN,andreina pinto,01:59:40.000,Beijing 2008,Marathon Swimming,marathon 10km women
9,ITA,martina grimaldi,01:59:40.700,Beijing 2008,Marathon Swimming,marathon 10km women
10,GRE,marianna lymperta,01:59:42.300,Beijing 2008,Marathon Swimming,marathon 10km women
11,SLO,teja zupan,01:59:43.700,Beijing 2008,Marathon Swimming,marathon 10km women
12,ESP,yurema requena,01:59:46.900,Beijing 2008,Marathon Swimming,marathon 10km women
13,NED,edith van dijk,02:00:02.800,Beijing 2008,Marathon Swimming,marathon 10km women
14,AUS,melissa gorman,02:00:33.600,Beijing 2008,Marathon Swimming,marathon 10km women
15,RSA,natalie du toit,02:00:49.900,Beijing 2008,Marathon Swimming,marathon 10km women
16,POR,daniela inacio,02:00:59.000,Beijing 2008,Marathon Swimming,marathon 10km women
17,SWE,eva berglund,02:01:05.000,Beijing 2008,Marathon Swimming,marathon 10km women
18,CHN,yanqiao fang,02:01:07.900,Beijing 2008,Marathon Swimming,marathon 10km women
19,MEX,imelda martinez,02:01:07.900,Beijing 2008,Marathon Swimming,marathon 10km women
20,FRA,aurelie muller,02:02:04.100,Beijing 2008,Marathon Swimming,marathon 10km women
21,USA,chloe sutton,02:02:13.600,Beijing 2008,Marathon Swimming,marathon 10km women
22,UKR,natalya samorodina,02:10:41.600,Beijing 2008,Marathon Swimming,marathon 10km women
23,ARG,antonella bogarin,02:11:35.900,Beijing 2008,Marathon Swimming,marathon 10km women
24,CHI,kristel kobrich,Did not finish,Beijing 2008,Marathon Swimming,marathon 10km women
