,country,participant,result,olympic_game,discipline,event
0,RUS,andrey moiseev,5.632,Beijing 2008,Modern Pentathlon,Individual competition men
1,LTU,edvinas krungolcas,5.548,Beijing 2008,Modern Pentathlon,Individual competition men
2,LTU,andrejus zadneprovskis,5.524,Beijing 2008,Modern Pentathlon,Individual competition men
3,CHN,zhenhua qian,5.516,Beijing 2008,Modern Pentathlon,Individual competition men
4,GER,steffen gebhardt,5.480,Beijing 2008,Modern Pentathlon,Individual competition men
5,CZE,michal michalik,5.460,Beijing 2008,Modern Pentathlon,Individual competition men
6,UKR,pavlo tymoshchenko,5.436,Beijing 2008,Modern Pentathlon,Individual competition men
7,MEX,oscar soto,5.420,Beijing 2008,Modern Pentathlon,Individual competition men
8,UKR,dmytro kirpulianskyi,5.416,Beijing 2008,Modern Pentathlon,Individual competition men
9,GBR,samuel weale,5.412,Beijing 2008,Modern Pentathlon,Individual competition men
10,LAT,deniss cerkovskis,5.352,Beijing 2008,Modern Pentathlon,Individual competition men
11,BLR,dzmitry mieliakh,5.348,Beijing 2008,Modern Pentathlon,Individual competition men
12,POL,marcin horbacz,5.344,Beijing 2008,Modern Pentathlon,Individual competition men
13,ITA,nicola benedetti,5.344,Beijing 2008,Modern Pentathlon,Individual competition men
14,CUB,yaniel velazquez,5.320,Beijing 2008,Modern Pentathlon,Individual competition men
15,GER,eric walther,5.292,Beijing 2008,Modern Pentathlon,Individual competition men
16,ITA,andrea valentini,5.288,Beijing 2008,Modern Pentathlon,Individual competition men
17,USA,sam sacksen,5.280,Beijing 2008,Modern Pentathlon,Individual competition men
18,HUN,viktor horvath,5.272,Beijing 2008,Modern Pentathlon,Individual competition men
19,RUS,ilya frolov,5.268,Beijing 2008,Modern Pentathlon,Individual competition men
20,POL,bartosz majewski,5.212,Beijing 2008,Modern Pentathlon,Individual competition men
21,USA,eli bremer,5.204,Beijing 2008,Modern Pentathlon,Individual competition men
22,FRA,jean-maxence berrou,5.172,Beijing 2008,Modern Pentathlon,Individual competition men
23,CAN,joshua riker-fox,5.172,Beijing 2008,Modern Pentathlon,Individual competition men
24,GBR,nicholas woodbridge,5.168,Beijing 2008,Modern Pentathlon,Individual competition men
25,HUN,gabor balogh,5.064,Beijing 2008,Modern Pentathlon,Individual competition men
26,CHI,cristian bustos,5.008,Beijing 2008,Modern Pentathlon,Individual competition men
27,KOR,dong-hong nam,4.968,Beijing 2008,Modern Pentathlon,Individual competition men
28,CZE,david svoboda,4.828,Beijing 2008,Modern Pentathlon,Individual competition men
29,CHN,zhongrong cao,4.828,Beijing 2008,Modern Pentathlon,Individual competition men
30,JPN,yoshihiro murakami,4.784,Beijing 2008,Modern Pentathlon,Individual competition men
31,EGY,amro el-geziry,4.688,Beijing 2008,Modern Pentathlon,Individual competition men
32,KOR,choon-huan lee,4.316,Beijing 2008,Modern Pentathlon,Individual competition men
33,FRA,john zakrzewski,4.264,Beijing 2008,Modern Pentathlon,Individual competition men
34,BLR,yahor lapo,4.252,Beijing 2008,Modern Pentathlon,Individual competition men
35,ESP,jaime lopez,4.196,Beijing 2008,Modern Pentathlon,Individual competition men
0,GER,lena schoneborn,"5,792",Beijing 2008,Modern Pentathlon,Individual Competition women
1,GBR,heather fell,"5,752",Beijing 2008,Modern Pentathlon,Individual Competition women
2,BLR,anastasiya samusevich-prakapenka,"5,640",Beijing 2008,Modern Pentathlon,Individual Competition women
3,CHN,qian chen,"5,612",Beijing 2008,Modern Pentathlon,Individual Competition women
4,POL,paulina boenisz,"5,564",Beijing 2008,Modern Pentathlon,Individual Competition women
5,GBR,katy livingston,"5,548",Beijing 2008,Modern Pentathlon,Individual Competition women
6,EGY,aya medany,"5,544",Beijing 2008,Modern Pentathlon,Individual Competition women
7,FRA,amelie caze,"5,536",Beijing 2008,Modern Pentathlon,Individual Competition women
8,CHN,xiu xiu,"5,464",Beijing 2008,Modern Pentathlon,Individual Competition women
9,SUI,belinda schreiber,"5,464",Beijing 2008,Modern Pentathlon,Individual Competition women
10,RUS,tatyana muratova,"5,452",Beijing 2008,Modern Pentathlon,Individual Competition women
11,LTU,donata rimsaite,"5,436",Beijing 2008,Modern Pentathlon,Individual Competition women
12,ITA,claudia corsini,"5,408",Beijing 2008,Modern Pentathlon,Individual Competition women
13,LTU,laura asadauskaite,"5,392",Beijing 2008,Modern Pentathlon,Individual Competition women
14,CZE,lucie grolichova,"5,372",Beijing 2008,Modern Pentathlon,Individual Competition women
15,POL,sylwia czwojdzinska,"5,336",Beijing 2008,Modern Pentathlon,Individual Competition women
16,BRA,yane marques,"5,332",Beijing 2008,Modern Pentathlon,Individual Competition women
17,USA,sheila taormina,"5,304",Beijing 2008,Modern Pentathlon,Individual Competition women
18,HUN,zsuzsanna voros,"5,300",Beijing 2008,Modern Pentathlon,Individual Competition women
19,USA,margaux isaksen,"5,292",Beijing 2008,Modern Pentathlon,Individual Competition women
20,BLR,hanna arkhipenka,"5,288",Beijing 2008,Modern Pentathlon,Individual Competition women
21,LAT,elena rublevska,"5,268",Beijing 2008,Modern Pentathlon,Individual Competition women
22,HUN,leila gyenesei,"5,260",Beijing 2008,Modern Pentathlon,Individual Competition women
23,RUS,yevdokiya grechishnikova,"5,240",Beijing 2008,Modern Pentathlon,Individual Competition women
24,KAZ,galina dolgushina,"5,216",Beijing 2008,Modern Pentathlon,Individual Competition women
25,CAN,monica pinette,"5,192",Beijing 2008,Modern Pentathlon,Individual Competition women
26,MEX,marlene sanchez,"5,156",Beijing 2008,Modern Pentathlon,Individual Competition women
27,GER,eva trautmann,"5,028",Beijing 2008,Modern Pentathlon,Individual Competition women
28,EGY,omnia fakhry,"4,996",Beijing 2008,Modern Pentathlon,Individual Competition women
29,CAN,kara grant,"4,976",Beijing 2008,Modern Pentathlon,Individual Competition women
30,ITA,sara bertoli,"4,956",Beijing 2008,Modern Pentathlon,Individual Competition women
31,KOR,cho rong yun,"4,872",Beijing 2008,Modern Pentathlon,Individual Competition women
32,GUA,rita sanz-agero,"4,844",Beijing 2008,Modern Pentathlon,Individual Competition women
33,AUS,angie darby,"4,816",Beijing 2008,Modern Pentathlon,Individual Competition women
34,KAZ,lada jienbalanova,"3,736",Beijing 2008,Modern Pentathlon,Individual Competition women
35,UKR,viktoriya tereshchuk,Disqualified,Beijing 2008,Modern Pentathlon,Individual Competition women
