,country,participant,result,olympic_game,discipline,event
0,CHN,lin ma,,Beijing 2008,Table Tennis,Singles men
1,CHN,hao wang,,Beijing 2008,Table Tennis,Singles men
2,CHN,liqin wang,,Beijing 2008,Table Tennis,Singles men
3,SWE,jorgen persson,,Beijing 2008,Table Tennis,Singles men
4,HKG,lai chak ko,,Beijing 2008,Table Tennis,Singles men
5,CRO,zoran primorac,,Beijing 2008,Table Tennis,Singles men
6,CRO,rui wu tan,,Beijing 2008,Table Tennis,Singles men
7,KOR,sang-eun oh,,Beijing 2008,Table Tennis,Singles men
8,JPN,yo kan,,Beijing 2008,Table Tennis,Singles men
9,GER,dimitrij ovtcharov,,Beijing 2008,Table Tennis,Singles men
10,SGP,zi yang,,Beijing 2008,Table Tennis,Singles men
11,BLR,vladimir samsonov,,Beijing 2008,Table Tennis,Singles men
12,AUT,werner schlager,,Beijing 2008,Table Tennis,Singles men
13,HKG,ching li,,Beijing 2008,Table Tennis,Singles men
14,GER,timo boll,,Beijing 2008,Table Tennis,Singles men
15,GRE,kalinikos kreangka,,Beijing 2008,Table Tennis,Singles men
16,AUT,weixing chen,,Beijing 2008,Table Tennis,Singles men
17,RUS,alexei smirnov,,Beijing 2008,Table Tennis,Singles men
18,ROU,adrian crisan,,Beijing 2008,Table Tennis,Singles men
19,KOR,seung min ryu,,Beijing 2008,Table Tennis,Singles men
20,TPE,chih-yuan chuang,,Beijing 2008,Table Tennis,Singles men
21,DEN,michael maze,,Beijing 2008,Table Tennis,Singles men
22,HKG,yuk cheung,,Beijing 2008,Table Tennis,Singles men
23,GER,christian suss,,Beijing 2008,Table Tennis,Singles men
24,POL,lucjan blaszczyk,,Beijing 2008,Table Tennis,Singles men
25,KOR,jaeyoung yoon,,Beijing 2008,Table Tennis,Singles men
26,SGP,ning gao,,Beijing 2008,Table Tennis,Singles men
27,PRK,song man jang,,Beijing 2008,Table Tennis,Singles men
28,PRK,hyok bong kim,,Beijing 2008,Table Tennis,Singles men
29,NGR,segun toriola,,Beijing 2008,Table Tennis,Singles men
30,JPN,jun mizutani,,Beijing 2008,Table Tennis,Singles men
31,SLO,bojan tokic,,Beijing 2008,Table Tennis,Singles men
32,IND,sharath kamal achanta,,Beijing 2008,Table Tennis,Singles men
33,VIE,kien quoc doan,,Beijing 2008,Table Tennis,Singles men
34,DOM,ju lin,,Beijing 2008,Table Tennis,Singles men
35,GRE,panagiotis gionis,,Beijing 2008,Table Tennis,Singles men
36,POR,marcos freitas,,Beijing 2008,Table Tennis,Singles men
37,AUT,robert gardos,,Beijing 2008,Table Tennis,Singles men
38,SRB,aleksandar karakasevic,,Beijing 2008,Table Tennis,Singles men
39,HUN,janos jakab,,Beijing 2008,Table Tennis,Singles men
40,CZE,petr korbel,,Beijing 2008,Table Tennis,Singles men
41,AUS,william henzell,,Beijing 2008,Table Tennis,Singles men
42,JPN,seiya kishikawa,,Beijing 2008,Table Tennis,Singles men
43,ESP,zhiwen he,,Beijing 2008,Table Tennis,Singles men
44,TPE,peng-lung chiang,,Beijing 2008,Table Tennis,Singles men
45,BEL,jean-michel saive,,Beijing 2008,Table Tennis,Singles men
46,FRA,damien eloi,,Beijing 2008,Table Tennis,Singles men
47,ITA,mihai bobocica,,Beijing 2008,Table Tennis,Singles men
48,ESP,alfredo carneros,,Beijing 2008,Table Tennis,Singles men
49,FRA,christophe legout,,Beijing 2008,Table Tennis,Singles men
50,POR,tiago apolonia,,Beijing 2008,Table Tennis,Singles men
51,BRA,gustavo tsuboi,,Beijing 2008,Table Tennis,Singles men
52,EGY,el-sayed lashin,,Beijing 2008,Table Tennis,Singles men
53,PRK,chol guk ri,,Beijing 2008,Table Tennis,Singles men
54,TUR,cem zeng,,Beijing 2008,Table Tennis,Singles men
55,FRA,patrick antoine edouard chila,,Beijing 2008,Table Tennis,Singles men
