,country,participant,result,olympic_game,discipline,event
0,SUI,roger federer,,Beijing 2008,Tennis,doubles men
1,SWE,thomas johansson,,Beijing 2008,Tennis,doubles men
2,USA,mike bryan,,Beijing 2008,Tennis,doubles men
3,FRA,michael llodra,,Beijing 2008,Tennis,doubles men
4,AUS,lleyton hewitt,,Beijing 2008,Tennis,doubles men
5,IND,leander paes,,Beijing 2008,Tennis,doubles men
6,RUS,nikolay davydenko,,Beijing 2008,Tennis,doubles men
7,POL,marcin matkowski,,Beijing 2008,Tennis,doubles men
8,AUT,julian knowle,,Beijing 2008,Tennis,doubles men
9,ESP,rafael nadal,,Beijing 2008,Tennis,doubles men
10,RUS,dmitry tursunov,,Beijing 2008,Tennis,doubles men
11,BRA,andre sa,,Beijing 2008,Tennis,doubles men
12,BEL,olivier rochus,,Beijing 2008,Tennis,doubles men
13,GBR,andy murray,,Beijing 2008,Tennis,doubles men
14,ESP,nicolas almagro,,Beijing 2008,Tennis,doubles men
15,CZE,pavel vizner,,Beijing 2008,Tennis,doubles men
16,BAH,devin mullings,,Beijing 2008,Tennis,doubles men
17,GER,rainer schuettler,,Beijing 2008,Tennis,doubles men
18,ARG,agustin calleri,,Beijing 2008,Tennis,doubles men
19,SWE,robin soderling,,Beijing 2008,Tennis,doubles men
20,ITA,simone bolelli,,Beijing 2008,Tennis,doubles men
21,CHI,nicolas massu,,Beijing 2008,Tennis,doubles men
22,CZE,radek stepanek,,Beijing 2008,Tennis,doubles men
23,FRA,gilles simon,,Beijing 2008,Tennis,doubles men
24,USA,james blake,,Beijing 2008,Tennis,doubles men
25,ARG,guillermo canas,,Beijing 2008,Tennis,doubles men
26,CAN,daniel nestor,,Beijing 2008,Tennis,doubles men
27,ISR,jonathan erlich,,Beijing 2008,Tennis,doubles men
28,RSA,jeff coetzee,,Beijing 2008,Tennis,doubles men
29,AUS,paul hanley,,Beijing 2008,Tennis,doubles men
30,CHN,xinyuan yu,,Beijing 2008,Tennis,doubles men
