,country,participant,result,olympic_game,discipline,event
0,GER,jan frodeno,01:48:53.280,Beijing 2008,Triathlon,Individual men
1,CAN,simon whitfield,01:48:58.470,Beijing 2008,Triathlon,Individual men
2,NZL,bevan docherty,01:49:05.590,Beijing 2008,Triathlon,Individual men
3,ESP,javier gomez noya,01:49:13.920,Beijing 2008,Triathlon,Individual men
4,ESP,ivan rana,01:49:22.030,Beijing 2008,Triathlon,Individual men
5,GER,daniel unger,01:49:43.780,Beijing 2008,Triathlon,Individual men
6,USA,hunter kemper,01:49:48.750,Beijing 2008,Triathlon,Individual men
7,DEN,rasmus henning,01:49:57.470,Beijing 2008,Triathlon,Individual men
8,RUS,igor sysoev,01:49:59.380,Beijing 2008,Triathlon,Individual men
9,FRA,frederic belaubre,01:50:00.300,Beijing 2008,Triathlon,Individual men
10,AUS,courtney atkinson,01:50:10.020,Beijing 2008,Triathlon,Individual men
11,GBR,alistair brownlee,01:50:19.620,Beijing 2008,Triathlon,Individual men
12,BEL,axel zeebroek,01:50:30.900,Beijing 2008,Triathlon,Individual men
13,GBR,will clarke,01:50:32.070,Beijing 2008,Triathlon,Individual men
14,GER,christian prochnow,01:50:33.900,Beijing 2008,Triathlon,Individual men
15,AUS,brad kahlefeldt,01:50:36.000,Beijing 2008,Triathlon,Individual men
16,POR,bruno pais,01:50:40.220,Beijing 2008,Triathlon,Individual men
17,USA,jarrod shoemaker,01:50:46.390,Beijing 2008,Triathlon,Individual men
18,SUI,olivier marceau,01:50:50.070,Beijing 2008,Triathlon,Individual men
19,CZE,filip ospaly,01:50:53.690,Beijing 2008,Triathlon,Individual men
20,KAZ,danylo sapunov,01:50:58.980,Beijing 2008,Triathlon,Individual men
21,RUS,dmitriy polyanskiy,01:51:11.610,Beijing 2008,Triathlon,Individual men
22,SUI,sven riederer,01:51:19.450,Beijing 2008,Triathlon,Individual men
23,RUS,alexander bryukhankov,01:51:22.590,Beijing 2008,Triathlon,Individual men
24,LUX,dirk bockel,01:51:31.010,Beijing 2008,Triathlon,Individual men
25,BRA,juraci moreira junior,01:51:35.570,Beijing 2008,Triathlon,Individual men
26,BEL,peter croes,01:51:40.940,Beijing 2008,Triathlon,Individual men
27,CAN,paul tichelaar,01:51:46.810,Beijing 2008,Triathlon,Individual men
28,SUI,reto hug,01:52:04.930,Beijing 2008,Triathlon,Individual men
29,JPN,ryosuke yamamoto,01:52:11.980,Beijing 2008,Triathlon,Individual men
30,NED,sander berk,01:52:18.090,Beijing 2008,Triathlon,Individual men
31,USA,matty reed,01:52:30.440,Beijing 2008,Triathlon,Individual men
32,ITA,daniel fontana,01:52:39.210,Beijing 2008,Triathlon,Individual men
33,NZL,shane reed,01:52:48.160,Beijing 2008,Triathlon,Individual men
34,UKR,volodymyr polikarpenko,01:52:51.740,Beijing 2008,Triathlon,Individual men
35,FRA,laurent vidal,01:53:02.790,Beijing 2008,Triathlon,Individual men
36,BRA,reinaldo colucci,01:53:13.940,Beijing 2008,Triathlon,Individual men
37,AUT,simon agoston,01:53:23.980,Beijing 2008,Triathlon,Individual men
38,NZL,kris gemmell,01:53:49.470,Beijing 2008,Triathlon,Individual men
39,ITA,emilio d'aquino,01:53:58.220,Beijing 2008,Triathlon,Individual men
40,EST,marko albert,01:54:13.580,Beijing 2008,Triathlon,Individual men
41,ZIM,christopher felgate,01:54:31.610,Beijing 2008,Triathlon,Individual men
42,HKG,chi wo daniel lee,01:54:40.780,Beijing 2008,Triathlon,Individual men
43,MEX,francisco serrano,01:54:46.090,Beijing 2008,Triathlon,Individual men
44,POR,duarte marques,01:55:06.570,Beijing 2008,Triathlon,Individual men
45,CHN,daqing wang,01:55:41.870,Beijing 2008,Triathlon,Individual men
46,HUN,csaba kuttor,01:55:53.380,Beijing 2008,Triathlon,Individual men
47,JPN,hirokatsu tayama,01:56:13.680,Beijing 2008,Triathlon,Individual men
48,SYR,omar tayara,01:56:40.540,Beijing 2008,Triathlon,Individual men
49,CAN,colin jenkins,01:56:50.850,Beijing 2008,Triathlon,Individual men
50,FRA,tony moulai,Did not finish,Beijing 2008,Triathlon,Individual men
51,GBR,timothy don,lapped,Beijing 2008,Triathlon,Individual men
52,POL,marek jaskolka,lapped,Beijing 2008,Triathlon,Individual men
53,UKR,andriy glushchenko,lapped,Beijing 2008,Triathlon,Individual men
54,SVK,pavel simko,Did not finish,Beijing 2008,Triathlon,Individual men
0,AUS,emma snowsill,01:58:27.660,Beijing 2008,Triathlon,Individual women
1,POR,vanessa fernandes,01:59:34.630,Beijing 2008,Triathlon,Individual women
2,AUS,emma moffatt,01:59:55.840,Beijing 2008,Triathlon,Individual women
3,USA,laura bennett,02:00:21.540,Beijing 2008,Triathlon,Individual women
4,JPN,juri ide,02:00:23.770,Beijing 2008,Triathlon,Individual women
5,SUI,nicola spirig,02:00:30.480,Beijing 2008,Triathlon,Individual women
6,SUI,daniela ryf,02:00:40.200,Beijing 2008,Triathlon,Individual women
7,NZL,andrea hewitt,02:00:45.990,Beijing 2008,Triathlon,Individual women
8,JPN,kiyomi niwata,02:00:51.850,Beijing 2008,Triathlon,Individual women
9,NZL,debbie tanner,02:01:06.920,Beijing 2008,Triathlon,Individual women
10,USA,sarah haskins,02:01:22.570,Beijing 2008,Triathlon,Individual women
11,FRA,jessica harrison,02:01:31.740,Beijing 2008,Triathlon,Individual women
12,SUI,magali messmer,02:01:50.740,Beijing 2008,Triathlon,Individual women
13,AUT,kate allen,02:02:00.690,Beijing 2008,Triathlon,Individual women
14,GER,ricarda lisk,02:02:07.750,Beijing 2008,Triathlon,Individual women
15,NZL,sam warriner,02:02:13.600,Beijing 2008,Triathlon,Individual women
16,JPN,ai ueda,02:02:19.090,Beijing 2008,Triathlon,Individual women
17,SWE,lisa norden,02:02:27.470,Beijing 2008,Triathlon,Individual women
18,USA,julie swail,02:02:39.220,Beijing 2008,Triathlon,Individual women
19,ESP,ana burgos,02:02:43.850,Beijing 2008,Triathlon,Individual women
20,GBR,helen jenkins,02:02:55.740,Beijing 2008,Triathlon,Individual women
