,country,participant,result,olympic_game,discipline,event
0,KOR,jaehyouk sa,366,Beijing 2008,Weightlifting,77kg men
1,CHN,hongli li,366,Beijing 2008,Weightlifting,77kg men
2,ARM,gevorg davtyan,360,Beijing 2008,Weightlifting,77kg men
3,KOR,kwanghoon kim,355,Beijing 2008,Weightlifting,77kg men
4,RUS,oleg perepetchenov,354,Beijing 2008,Weightlifting,77kg men
5,CUB,ivan cambar rodriguez,353,Beijing 2008,Weightlifting,77kg men
6,ARM,ara khachatryan,353,Beijing 2008,Weightlifting,77kg men
7,POL,krzysztof szramiak,352,Beijing 2008,Weightlifting,77kg men
8,KAZ,vladimir kuznetsov,351,Beijing 2008,Weightlifting,77kg men
9,BLR,siarhei lahun,349,Beijing 2008,Weightlifting,77kg men
10,INA,sandow weldemar nasution,347,Beijing 2008,Weightlifting,77kg men
11,EGY,mahmoud elhaddad,342,Beijing 2008,Weightlifting,77kg men
12,ALB,erkand qerimaj,341,Beijing 2008,Weightlifting,77kg men
13,FRA,giovanni battista bardis,329,Beijing 2008,Weightlifting,77kg men
14,NGR,felix ekpo,325,Beijing 2008,Weightlifting,77kg men
15,UZB,sherzodjon yusupov,322,Beijing 2008,Weightlifting,77kg men
16,VEN,jose leonardo ocando,322,Beijing 2008,Weightlifting,77kg men
17,ROU,razvan rusu,310,Beijing 2008,Weightlifting,77kg men
18,ARG,carlos espeleta,310,Beijing 2008,Weightlifting,77kg men
19,MDA,andrei gutu,305,Beijing 2008,Weightlifting,77kg men
20,NZL,richard john edward patterson,300,Beijing 2008,Weightlifting,77kg men
21,RSA,darryn anthony,295,Beijing 2008,Weightlifting,77kg men
22,FIJ,josefa vueti,279,Beijing 2008,Weightlifting,77kg men
23,MON,romain marchessou,250,Beijing 2008,Weightlifting,77kg men
24,HUN,janos baranyai,Did not finish,Beijing 2008,Weightlifting,77kg men
25,VEN,octavio antonio mejias,Did not finish,Beijing 2008,Weightlifting,77kg men
26,TUR,taner sagir,Did not finish,Beijing 2008,Weightlifting,77kg men
27,USA,chad vaughn,Did not finish,Beijing 2008,Weightlifting,77kg men
0,CHN,yong lu,394,Beijing 2008,Weightlifting,85kg men
1,ARM,tigran varban martirosyan,380,Beijing 2008,Weightlifting,85kg men
2,CUB,jadier valladares,372,Beijing 2008,Weightlifting,85kg men
3,FRA,benjamin didier hennequin,367,Beijing 2008,Weightlifting,85kg men
4,UZB,mansurbek chashemov,367,Beijing 2008,Weightlifting,85kg men
5,USA,kendrick james farris,362,Beijing 2008,Weightlifting,85kg men
6,COL,carlos hernan andica andica,356,Beijing 2008,Weightlifting,85kg men
7,KGZ,ulanbek moldodosov,346,Beijing 2008,Weightlifting,85kg men
8,SVK,ondrej kutlik,343,Beijing 2008,Weightlifting,85kg men
9,NGR,benedict uloko,339,Beijing 2008,Weightlifting,85kg men
10,CMR,brice vivien batchaya,333,Beijing 2008,Weightlifting,85kg men
11,KIR,david katoatau,313,Beijing 2008,Weightlifting,85kg men
12,SEY,terrence dixie,255,Beijing 2008,Weightlifting,85kg men
13,TUR,izzet ince,Did not finish,Beijing 2008,Weightlifting,85kg men
14,BLR,vadzim straltsou,Did not finish,Beijing 2008,Weightlifting,85kg men
15,GEO,raul tsirek'idze,Did not finish,Beijing 2008,Weightlifting,85kg men
16,VEN,herbys charlys marquez,Did not finish,Beijing 2008,Weightlifting,85kg men
17,ARM,edgar gevorgyan,Did not finish,Beijing 2008,Weightlifting,85kg men
18,BLR,andrei rybakou,Disqualified,Beijing 2008,Weightlifting,85kg men
19,AZE,intigam zairov,Disqualified,Beijing 2008,Weightlifting,85kg men
20,KAZ,vladimir sedov,Disqualified,Beijing 2008,Weightlifting,85kg men
0,POL,szymon kolecki,403,Beijing 2008,Weightlifting,94kg men
1,GEO,arsen kasabijew,399,Beijing 2008,Weightlifting,94kg men
2,CUB,yohandrys hernandez,393,Beijing 2008,Weightlifting,94kg men
3,IRI,asghar ebrahimi,392,Beijing 2008,Weightlifting,94kg men
4,RUS,roman konstantinov,387,Beijing 2008,Weightlifting,94kg men
5,GER,jurgen spiess,384,Beijing 2008,Weightlifting,94kg men
6,ESP,jose juan navarro batista,383,Beijing 2008,Weightlifting,94kg men
7,UKR,artem ivanov,380,Beijing 2008,Weightlifting,94kg men
8,MDA,vadim vacarciuc,373,Beijing 2008,Weightlifting,94kg men
9,MDA,evgheni bratan,370,Beijing 2008,Weightlifting,94kg men
10,GRE,konstantinos gkaripis,360,Beijing 2008,Weightlifting,94kg men
11,GRE,anastasios triantafyllou,351,Beijing 2008,Weightlifting,94kg men
12,MRI,ravi bhollah,275,Beijing 2008,Weightlifting,94kg men
13,POL,bartlomiej wojciech bonk,Did not finish,Beijing 2008,Weightlifting,94kg men
14,ECU,eduardo guadamud,Did not finish,Beijing 2008,Weightlifting,94kg men
15,KAZ,ilya ilyin,Disqualified,Beijing 2008,Weightlifting,94kg men
16,RUS,khadzhimurat akkaev,Disqualified,Beijing 2008,Weightlifting,94kg men
17,AZE,nizami pashayev,Disqualified,Beijing 2008,Weightlifting,94kg men
