,country,participant,result,olympic_game,discipline,event
0,,,,Beijing 2022,Curling,Men
1,,,,Beijing 2022,Curling,Men
2,,,,Beijing 2022,Curling,Men
3,,,,Beijing 2022,Curling,Men
4,,,,Beijing 2022,Curling,Men
5,,,,Beijing 2022,Curling,Men
6,,,,Beijing 2022,Curling,Men
7,,,,Beijing 2022,Curling,Men
8,,,,Beijing 2022,Curling,Men
9,,,,Beijing 2022,Curling,Men
0,ITA,stefania constantini,,Beijing 2022,Curling,Mixed Doubles
1,NOR,magnus nedregotten,,Beijing 2022,Curling,Mixed Doubles
2,SWE,oskar eriksson,,Beijing 2022,Curling,Mixed Doubles
3,GBR,jennifer dodds,,Beijing 2022,Curling,Mixed Doubles
4,CAN,rachel homan,,Beijing 2022,Curling,Mixed Doubles
5,CZE,tomas paul,,Beijing 2022,Curling,Mixed Doubles
6,SUI,jenny perret,,Beijing 2022,Curling,Mixed Doubles
7,USA,christopher plys,,Beijing 2022,Curling,Mixed Doubles
8,CHN,zhi ling,,Beijing 2022,Curling,Mixed Doubles
9,AUS,dean hewitt,,Beijing 2022,Curling,Mixed Doubles
0,,,,Beijing 2022,Curling,Women
1,,,,Beijing 2022,Curling,Women
2,,,,Beijing 2022,Curling,Women
3,,,,Beijing 2022,Curling,Women
4,,,,Beijing 2022,Curling,Women
5,,,,Beijing 2022,Curling,Women
6,,,,Beijing 2022,Curling,Women
7,,,,Beijing 2022,Curling,Women
8,,,,Beijing 2022,Curling,Women
9,,,,Beijing 2022,Curling,Women
