,country,participant,result,olympic_game,discipline,event
0,,,226.98,Beijing 2022,Figure skating,Ice Dance
1,,,220.51,Beijing 2022,Figure skating,Ice Dance
2,,,218.02,Beijing 2022,Figure skating,Ice Dance
3,,,214.77,Beijing 2022,Figure skating,Ice Dance
4,,,207.05,Beijing 2022,Figure skating,Ice Dance
5,,,205.07,Beijing 2022,Figure skating,Ice Dance
6,,,204.78,Beijing 2022,Figure skating,Ice Dance
7,,,199.11,Beijing 2022,Figure skating,Ice Dance
8,,,192.35,Beijing 2022,Figure skating,Ice Dance
9,,,191.64,Beijing 2022,Figure skating,Ice Dance
10,,,189.74,Beijing 2022,Figure skating,Ice Dance
11,,,184.42,Beijing 2022,Figure skating,Ice Dance
12,,,181.02,Beijing 2022,Figure skating,Ice Dance
13,,,179.82,Beijing 2022,Figure skating,Ice Dance
14,,,173.88,Beijing 2022,Figure skating,Ice Dance
15,,,168.32,Beijing 2022,Figure skating,Ice Dance
16,,,167.31,Beijing 2022,Figure skating,Ice Dance
17,,,167.03,Beijing 2022,Figure skating,Ice Dance
18,,,164.33,Beijing 2022,Figure skating,Ice Dance
19,,,162.87,Beijing 2022,Figure skating,Ice Dance
20,,,65.47,Beijing 2022,Figure skating,Ice Dance
21,,,65.41,Beijing 2022,Figure skating,Ice Dance
22,,,58.35,Beijing 2022,Figure skating,Ice Dance
0,USA,nathan chen,332.60,Beijing 2022,Figure skating,Men Single Skating
1,JPN,yuma kagiyama,310.05,Beijing 2022,Figure skating,Men Single Skating
2,JPN,shoma uno,293.00,Beijing 2022,Figure skating,Men Single Skating
3,JPN,yuzuru hanyu,283.21,Beijing 2022,Figure skating,Men Single Skating
4,KOR,junhwan cha,282.38,Beijing 2022,Figure skating,Men Single Skating
5,USA,jason brown,281.24,Beijing 2022,Figure skating,Men Single Skating
6,ITA,daniel grassl,278.07,Beijing 2022,Figure skating,Men Single Skating
7,ROC,evgeni semenenko,274.13,Beijing 2022,Figure skating,Men Single Skating
8,CHN,boyang jin,270.43,Beijing 2022,Figure skating,Men Single Skating
9,GEO,morisi kvitelashvili,268.62,Beijing 2022,Figure skating,Men Single Skating
10,CAN,keegan messing,265.61,Beijing 2022,Figure skating,Men Single Skating
11,FRA,kevin aymoz,254.80,Beijing 2022,Figure skating,Men Single Skating
12,LAT,deniss vasiljevs,252.71,Beijing 2022,Figure skating,Men Single Skating
13,FRA,adam siao him fa,250.15,Beijing 2022,Figure skating,Men Single Skating
14,ROC,mark kondratiuk,248.82,Beijing 2022,Figure skating,Men Single Skating
15,ITA,matteo rizzo,247.53,Beijing 2022,Figure skating,Men Single Skating
16,AUS,brendan kerry,244.80,Beijing 2022,Figure skating,Men Single Skating
17,AZE,vladimir litvintsev,239.19,Beijing 2022,Figure skating,Men Single Skating
18,ROC,andrei mozalev,233.33,Beijing 2022,Figure skating,Men Single Skating
19,BLR,konstantin milyukov,222.22,Beijing 2022,Figure skating,Men Single Skating
20,SWE,nikolaj majorov,220.78,Beijing 2022,Figure skating,Men Single Skating
21,MEX,donovan carrillo,218.13,Beijing 2022,Figure skating,Men Single Skating
22,SUI,lukas britschgi,212.58,Beijing 2022,Figure skating,Men Single Skating
23,UKR,ivan shmuratko,205.76,Beijing 2022,Figure skating,Men Single Skating
24,CZE,michal brezina,75.19,Beijing 2022,Figure skating,Men Single Skating
25,ISR,alexei bychenko,68.01,Beijing 2022,Figure skating,Men Single Skating
26,KOR,sihyeong lee,65.69,Beijing 2022,Figure skating,Men Single Skating
27,EST,aleksandr selevko,65.29,Beijing 2022,Figure skating,Men Single Skating
28,CAN,roman sadovsky,62.77,Beijing 2022,Figure skating,Men Single Skating
29,USA,vincent zhou,Withdrawn,Beijing 2022,Figure skating,Men Single Skating
0,CHN,wenjing sui,239.88,Beijing 2022,Figure skating,Pair Skating
1,ROC,evgenia tarasova,239.25,Beijing 2022,Figure skating,Pair Skating
2,ROC,aleksandr galliamov,237.71,Beijing 2022,Figure skating,Pair Skating
3,ROC,aleksandra boikova,220.50,Beijing 2022,Figure skating,Pair Skating
4,CHN,yang jin,214.84,Beijing 2022,Figure skating,Pair Skating
5,USA,alexa scimeca knierim,212.68,Beijing 2022,Figure skating,Pair Skating
6,JPN,riku miura,211.89,Beijing 2022,Figure skating,Pair Skating
7,USA,timothy leduc,198.05,Beijing 2022,Figure skating,Pair Skating
8,GEO,luka berulava,192.44,Beijing 2022,Figure skating,Pair Skating
9,CAN,kirsten moore-towers,181.37,Beijing 2022,Figure skating,Pair Skating
10,CAN,vanessa james,180.99,Beijing 2022,Figure skating,Pair Skating
11,ITA,nicole della monica,179.87,Beijing 2022,Figure skating,Pair Skating
12,ITA,filippo ambrosini,165.43,Beijing 2022,Figure skating,Pair Skating
13,ISR,evgeni krasnopolski,153.82,Beijing 2022,Figure skating,Pair Skating
