,country,participant,result,olympic_game,discipline,event
0,NOR,joergen graabak,27:13.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
1,NOR,jens luraas oftebro,27:13.7,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
2,JPN,akito watabe,27:13.9,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
3,GER,manuel faisst,27:16.6,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
4,AUT,lukas greiderer,27:25.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
5,AUT,johannes lamparter,27:31.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
6,GER,vinzenz geiger,27:44.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
7,NOR,jarl magnus riiber,27:53.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
8,EST,kristjan ilves,28:13.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
9,GER,julian schmid,28:14.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
10,AUT,franz-josef rehrl,28:22.2,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
11,JPN,ryota yamamoto,28:28.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
12,AUT,mario seidl,28:28.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
13,FRA,antoine gerard,28:52.4,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
14,NOR,espen andersen,28:57.2,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
15,FIN,ilkka herola,28:58.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
16,USA,jared shumate,28:58.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
17,CZE,jan vytrval,29:17.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
18,USA,ben loomis,29:17.2,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
19,FIN,eero hirvonen,29:17.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
20,FRA,matteo baud,29:18.4,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
21,ITA,raffaele buzzi,29:18.9,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
22,USA,taylor fletcher,29:36.7,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
23,FIN,arttu maekiaho,29:49.0,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
24,JPN,yoshito watabe,30:10.7,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
25,FRA,laurent muhlethaler,30:19.6,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
26,CZE,tomas portyk,30:20.6,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
27,GER,johannes rydzek,30:22.0,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
28,CZE,ondrej pazout,30:29.7,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
29,CZE,lukas danek,31:07.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
30,JPN,hideaki nagai,31:12.9,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
31,UKR,dmytro mazurchuk,31:20.4,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
32,ITA,alessandro pittin,31:31.8,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
33,USA,jasper good,31:32.9,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
34,POL,szczepan kupczak,31:59.8,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
35,SLO,vid vrhovnik,32:01.8,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
36,FIN,otto niittykoski,32:02.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
37,ITA,samuel costa,32:22.3,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
38,ITA,iacopo bortolas,32:29.6,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
39,FRA,gael blondeau,32:42.8,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
40,ROC,viacheslav barkov,32:56.9,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
41,ROC,artem galunin,33:22.2,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
42,KAZ,chingiz rakparov,34:48.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
43,KOR,jeun park,34:56.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
44,POL,andrzej szczechowicz,35:48.5,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
45,ROC,samir mastiev,36:07.4,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
46,CHN,jiawen zhao,36:41.1,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
47,LAT,markuss vinogradovs,Did not finish,Beijing 2022,Nordic Combined,Individual Gundersen Large Hill/10km
0,GER,vinzenz geiger,25:07.7,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
1,NOR,joergen graabak,25:08.5,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
2,AUT,lukas greiderer,25:14.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
3,AUT,johannes lamparter,25:16.7,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
4,GER,johannes rydzek,25:29.5,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
5,FIN,ilkka herola,25:33.1,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
6,JPN,akito watabe,25:40.1,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
7,GER,julian schmid,25:57.9,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
8,AUT,franz-josef rehrl,26:17.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
9,NOR,jens luraas oftebro,26:50.2,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
10,NOR,espen andersen,26:52.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
11,AUT,martin fritz,26:53.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
12,JPN,yoshito watabe,26:54.2,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
13,JPN,ryota yamamoto,26:54.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
14,USA,ben loomis,26:57.8,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
15,ITA,raffaele buzzi,26:59.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
16,FIN,eero hirvonen,27:02.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
17,FRA,matteo baud,27:09.0,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
18,USA,jared shumate,27:10.0,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
19,CZE,tomas portyk,27:16.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
20,CZE,lukas danek,27:41.8,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
21,FIN,perttu reponen,27:44.7,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
22,FIN,arttu maekiaho,27:46.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
23,USA,taylor fletcher,27:50.9,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
24,USA,stephen schumann,27:52.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
25,CZE,jan vytrval,28:04.7,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
26,NOR,espen bjoernstad,28:12.1,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
27,FRA,laurent muhlethaler,28:26.6,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
28,CZE,ondrej pazout,28:31.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
29,JPN,sora yachi,28:38.6,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
30,FRA,gael blondeau,28:43.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
31,ITA,alessandro pittin,29:33.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
32,ITA,iacopo bortolas,29:54.8,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
33,POL,szczepan kupczak,30:24.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
34,POL,andrzej szczechowicz,30:26.2,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
35,UKR,dmytro mazurchuk,30:30.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
36,SLO,vid vrhovnik,30:34.5,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
37,ROC,viacheslav barkov,30:54.2,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
38,ROC,artem galunin,31:38.8,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
39,ROC,samir mastiev,31:59.0,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
40,KAZ,chingiz rakparov,32:03.1,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
41,KOR,jeun park,32:34.3,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
42,CHN,jiawen zhao,33:29.8,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
43,LAT,markuss vinogradovs,34:34.4,Beijing 2022,Nordic Combined,Individual Gundersen Normal Hill/10km
0,,,50:45.1,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
1,,,51:40.0,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
2,,,51:40.3,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
3,,,51:44.7,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
4,,,53:00.1,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
5,,,53:07.1,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
6,,,53:10.6,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
7,,,53:24.1,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
8,,,57:07.0,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
9,,,1:04:35.1,Beijing 2022,Nordic Combined,Team Gundersen Large Hill/4x5km
