,country,participant,result,olympic_game,discipline,event
0,SWE,nils van der poel,12:30.74,Beijing 2022,Speed skating,Men's 10000m
1,NED,patrick roest,12:44.59,Beijing 2022,Speed skating,Men's 10000m
2,ITA,davide ghiotto,12:45.98,Beijing 2022,Speed skating,Men's 10000m
3,NED,jorrit bergsma,12:48.94,Beijing 2022,Speed skating,Men's 10000m
4,ROC,alexander rumyantsev,12:51.33,Beijing 2022,Speed skating,Men's 10000m
5,CAN,graeme fish,12:58.80,Beijing 2022,Speed skating,Men's 10000m
6,GER,patrick beckert,13:01.23,Beijing 2022,Speed skating,Men's 10000m
7,CAN,ted-jan bloemen,13:01.39,Beijing 2022,Speed skating,Men's 10000m
8,ITA,michele malfatti,13:01.42,Beijing 2022,Speed skating,Men's 10000m
9,BEL,bart swings,13:02.43,Beijing 2022,Speed skating,Men's 10000m
10,JPN,ryosuke tsuchiya,13:02.49,Beijing 2022,Speed skating,Men's 10000m
11,NZL,peter michael,13:33.53,Beijing 2022,Speed skating,Men's 10000m
0,NED,thomas krol,1:07.92,Beijing 2022,Speed skating,Men's 1000m
1,CAN,laurent dubreuil,1:08.32,Beijing 2022,Speed skating,Men's 1000m
2,NOR,havard lorentzen,1:08.48,Beijing 2022,Speed skating,Men's 1000m
3,POL,piotr michalski,1:08.56,Beijing 2022,Speed skating,Men's 1000m
4,CHN,zhongyan ning,1:08.60,Beijing 2022,Speed skating,Men's 1000m
5,BLR,ignat golovatsiuk,1:08.63,Beijing 2022,Speed skating,Men's 1000m
6,EST,marten liiv,1:08.65,Beijing 2022,Speed skating,Men's 1000m
7,ROC,viktor mushtakov,1:08.74,Beijing 2022,Speed skating,Men's 1000m
8,GBR,cornelius kersten,1:08.79,Beijing 2022,Speed skating,Men's 1000m
9,NED,hein otterspeer,1:08.80,Beijing 2022,Speed skating,Men's 1000m
10,ROC,pavel kulizhnikov,1:08.87,Beijing 2022,Speed skating,Men's 1000m
11,CAN,connor howe,1:08.97,Beijing 2022,Speed skating,Men's 1000m
12,POL,damian zurek,1:09.08,Beijing 2022,Speed skating,Men's 1000m
13,USA,jordan stolz,1:09.12,Beijing 2022,Speed skating,Men's 1000m
14,ITA,david bosa,1:09.35,Beijing 2022,Speed skating,Men's 1000m
15,JPN,wataru morishige,1:09.47,Beijing 2022,Speed skating,Men's 1000m
16,KAZ,dmitriy morozov,1:09.61,Beijing 2022,Speed skating,Men's 1000m
17,KOR,min kyu cha,1:09.69,Beijing 2022,Speed skating,Men's 1000m
18,CHN,ziwen lian,1:09.93,Beijing 2022,Speed skating,Men's 1000m
19,JPN,ryota kojima,1:09.97,Beijing 2022,Speed skating,Men's 1000m
20,JPN,tatsuya shinhama,1:10.00,Beijing 2022,Speed skating,Men's 1000m
21,CAN,antoine gelinas-beaulieu,1:10.075,Beijing 2022,Speed skating,Men's 1000m
22,KAZ,denis kuzin,1:10.077,Beijing 2022,Speed skating,Men's 1000m
23,KOR,min seok kim,1:10.08,Beijing 2022,Speed skating,Men's 1000m
24,NOR,bjoern magnussen,1:10.14,Beijing 2022,Speed skating,Men's 1000m
25,GER,joel dufter,1:10.16,Beijing 2022,Speed skating,Men's 1000m
26,BEL,mathias voste,1:10.22,Beijing 2022,Speed skating,Men's 1000m
27,NOR,allan dahl johansson,1:10.34,Beijing 2022,Speed skating,Men's 1000m
28,USA,austin kleba,1:10.57,Beijing 2022,Speed skating,Men's 1000m
29,NED,kai verbij,1:14.17,Beijing 2022,Speed skating,Men's 1000m
0,NED,kjeld nuis,1:43.21,Beijing 2022,Speed skating,Men's 1500m
1,NED,thomas krol,1:43.55,Beijing 2022,Speed skating,Men's 1500m
2,KOR,min seok kim,1:44.24,Beijing 2022,Speed skating,Men's 1500m
3,NOR,peder kongshaug,1:44.39,Beijing 2022,Speed skating,Men's 1500m
4,CAN,connor howe,1:44.86,Beijing 2022,Speed skating,Men's 1500m
5,USA,joey mantia,1:45.26,Beijing 2022,Speed skating,Men's 1500m
6,CHN,zhongyan ning,1:45.28,Beijing 2022,Speed skating,Men's 1500m
7,ROC,sergey trofimov,1:45.32,Beijing 2022,Speed skating,Men's 1500m
8,NED,marcel bosker,1:45.42,Beijing 2022,Speed skating,Men's 1500m
9,JPN,seitaro ichinohe,1:45.53,Beijing 2022,Speed skating,Men's 1500m
10,USA,emery lehman,1:45.78,Beijing 2022,Speed skating,Men's 1500m
11,NOR,allan dahl johansson,1:45.81,Beijing 2022,Speed skating,Men's 1500m
12,BEL,bart swings,1:45.82,Beijing 2022,Speed skating,Men's 1500m
13,ROC,daniil aldoshkin,1:46.33,Beijing 2022,Speed skating,Men's 1500m
14,ROC,ruslan zakharov,1:46.46,Beijing 2022,Speed skating,Men's 1500m
15,NOR,kristian ulekleiv,1:46.56,Beijing 2022,Speed skating,Men's 1500m
16,JPN,takuro oda,1:46.60,Beijing 2022,Speed skating,Men's 1500m
17,KAZ,dmitriy morozov,1:47.01,Beijing 2022,Speed skating,Men's 1500m
18,GBR,cornelius kersten,1:47.11,Beijing 2022,Speed skating,Men's 1500m
19,CHN,haotian wang,1:47.13,Beijing 2022,Speed skating,Men's 1500m
20,KOR,seonghyeon park,1:47.59,Beijing 2022,Speed skating,Men's 1500m
21,CAN,tyson langelaar,1:47.81,Beijing 2022,Speed skating,Men's 1500m
22,CAN,antoine gelinas-beaulieu,1:48.00,Beijing 2022,Speed skating,Men's 1500m
23,LAT,haralds silovs,1:48.24,Beijing 2022,Speed skating,Men's 1500m
24,ITA,alessio trentini,1:48.33,Beijing 2022,Speed skating,Men's 1500m
25,NZL,peter michael,1:48.68,Beijing 2022,Speed skating,Men's 1500m
26,CHN,ziwen lian,1:49.15,Beijing 2022,Speed skating,Men's 1500m
27,USA,casey dawson,1:49.45,Beijing 2022,Speed skating,Men's 1500m
28,BEL,mathias voste,1:49.93,Beijing 2022,Speed skating,Men's 1500m
0,SWE,nils van der poel,6:08.84,Beijing 2022,Speed skating,Men's 5000m
1,NED,patrick roest,6:09.31,Beijing 2022,Speed skating,Men's 5000m
2,NOR,hallgeir engebraaten,6:09.88,Beijing 2022,Speed skating,Men's 5000m
3,ROC,sergey trofimov,6:10.27,Beijing 2022,Speed skating,Men's 5000m
4,NED,jorrit bergsma,6:13.18,Beijing 2022,Speed skating,Men's 5000m
5,ROC,alexander rumyantsev,6:15.02,Beijing 2022,Speed skating,Men's 5000m
6,BEL,bart swings,6:16.90,Beijing 2022,Speed skating,Men's 5000m
7,ITA,davide ghiotto,6:16.92,Beijing 2022,Speed skating,Men's 5000m
8,NED,sven kramer,6:17.04,Beijing 2022,Speed skating,Men's 5000m
9,CAN,ted-jan bloemen,6:19.11,Beijing 2022,Speed skating,Men's 5000m
10,GER,patrick beckert,6:19.58,Beijing 2022,Speed skating,Men's 5000m
11,JPN,seitaro ichinohe,6:19.81,Beijing 2022,Speed skating,Men's 5000m
12,GER,felix rijhnen,6:19.86,Beijing 2022,Speed skating,Men's 5000m
13,ROC,ruslan zakharov,6:21.00,Beijing 2022,Speed skating,Men's 5000m
14,ITA,michele malfatti,6:21.47,Beijing 2022,Speed skating,Men's 5000m
15,USA,emery lehman,6:21.80,Beijing 2022,Speed skating,Men's 5000m
16,USA,ethan cepuran,6:25.97,Beijing 2022,Speed skating,Men's 5000m
17,SUI,livio wenger,6:27.01,Beijing 2022,Speed skating,Men's 5000m
18,DEN,viktor hald thorup,6:28.87,Beijing 2022,Speed skating,Men's 5000m
19,ITA,andrea giovannini,6:30.11,Beijing 2022,Speed skating,Men's 5000m
0,CHN,tingyu gao,34.32,Beijing 2022,Speed skating,Men's 500m
1,KOR,min kyu cha,34.39,Beijing 2022,Speed skating,Men's 500m
2,JPN,wataru morishige,34.49,Beijing 2022,Speed skating,Men's 500m
3,CAN,laurent dubreuil,34.522,Beijing 2022,Speed skating,Men's 500m
4,POL,piotr michalski,34.524,Beijing 2022,Speed skating,Men's 500m
5,KOR,jun-ho kim,34.54,Beijing 2022,Speed skating,Men's 500m
6,ROC,artem arefyev,34.56,Beijing 2022,Speed skating,Men's 500m
7,JPN,yuma murakami,34.57,Beijing 2022,Speed skating,Men's 500m
8,ROC,viktor mushtakov,34.60,Beijing 2022,Speed skating,Men's 500m
9,ROC,ruslan murashov,34.63,Beijing 2022,Speed skating,Men's 500m
10,POL,damian zurek,34.734,Beijing 2022,Speed skating,Men's 500m
11,NED,merijn scheperkamp,34.736,Beijing 2022,Speed skating,Men's 500m
12,USA,jordan stolz,34.85,Beijing 2022,Speed skating,Men's 500m
13,NED,kai verbij,34.87,Beijing 2022,Speed skating,Men's 500m
14,NOR,havard lorentzen,34.921,Beijing 2022,Speed skating,Men's 500m
15,POL,marek kania,34.928,Beijing 2022,Speed skating,Men's 500m
16,NOR,bjoern magnussen,34.96,Beijing 2022,Speed skating,Men's 500m
17,NED,thomas krol,35.06,Beijing 2022,Speed skating,Men's 500m
18,ITA,jeffrey rosanelli,35.08,Beijing 2022,Speed skating,Men's 500m
19,JPN,tatsuya shinhama,35.12,Beijing 2022,Speed skating,Men's 500m
20,CAN,gilmore junio,35.162,Beijing 2022,Speed skating,Men's 500m
21,CHN,tao yang,35.162,Beijing 2022,Speed skating,Men's 500m
22,ITA,david bosa,35.168,Beijing 2022,Speed skating,Men's 500m
23,EST,marten liiv,35.26,Beijing 2022,Speed skating,Men's 500m
24,GBR,cornelius kersten,35.36,Beijing 2022,Speed skating,Men's 500m
25,GER,joel dufter,35.37,Beijing 2022,Speed skating,Men's 500m
26,USA,austin kleba,35.40,Beijing 2022,Speed skating,Men's 500m
27,KAZ,ivan arzhanikov,35.82,Beijing 2022,Speed skating,Men's 500m
28,CAN,antoine gelinas-beaulieu,35.84,Beijing 2022,Speed skating,Men's 500m
29,BLR,ignat golovatsiuk,37.05,Beijing 2022,Speed skating,Men's 500m
0,BEL,bart swings,63,Beijing 2022,Speed skating,Men's Mass Start
1,KOR,jaewon chung,40,Beijing 2022,Speed skating,Men's Mass Start
2,KOR,seung hoon lee,20,Beijing 2022,Speed skating,Men's Mass Start
3,USA,joey mantia,10,Beijing 2022,Speed skating,Men's Mass Start
4,ROC,daniil aldoshkin,6,Beijing 2022,Speed skating,Men's Mass Start
5,JPN,ryosuke tsuchiya,6,Beijing 2022,Speed skating,Men's Mass Start
6,SUI,livio wenger,4,Beijing 2022,Speed skating,Men's Mass Start
7,JPN,seitaro ichinohe,3,Beijing 2022,Speed skating,Men's Mass Start
8,NED,jorrit bergsma,3,Beijing 2022,Speed skating,Men's Mass Start
9,AUT,gabriel odor,2,Beijing 2022,Speed skating,Men's Mass Start
10,ITA,andrea giovannini,,Beijing 2022,Speed skating,Men's Mass Start
11,CHN,zhongyan ning,,Beijing 2022,Speed skating,Men's Mass Start
12,CAN,jordan belchos,,Beijing 2022,Speed skating,Men's Mass Start
13,NOR,kristian ulekleiv,,Beijing 2022,Speed skating,Men's Mass Start
14,CAN,antoine gelinas-beaulieu,,Beijing 2022,Speed skating,Men's Mass Start
15,NED,sven kramer,,Beijing 2022,Speed skating,Men's Mass Start
