,country,participant,result,olympic_game,discipline,event
0,,,152,Berlin 1936,Basketball,basketball men
1,,,178,Berlin 1936,Basketball,basketball men
2,,,192,Berlin 1936,Basketball,basketball men
3,,,149,Berlin 1936,Basketball,basketball men
4,,,159,Berlin 1936,Basketball,basketball men
5,,,144,Berlin 1936,Basketball,basketball men
6,,,162,Berlin 1936,Basketball,basketball men
7,,,64,Berlin 1936,Basketball,basketball men
8,,,84,Berlin 1936,Basketball,basketball men
9,,,72,Berlin 1936,Basketball,basketball men
10,,,100,Berlin 1936,Basketball,basketball men
11,,,59,Berlin 1936,Basketball,basketball men
12,,,51,Berlin 1936,Basketball,basketball men
13,,,92,Berlin 1936,Basketball,basketball men
14,,,66,Berlin 1936,Basketball,basketball men
15,,,99,Berlin 1936,Basketball,basketball men
16,,,88,Berlin 1936,Basketball,basketball men
17,,,43,Berlin 1936,Basketball,basketball men
18,,,19,Berlin 1936,Basketball,basketball men
19,,,67,Berlin 1936,Basketball,basketball men
20,,,39,Berlin 1936,Basketball,basketball men
21,,,Did not start,Berlin 1936,Basketball,basketball men
22,,,Did not start,Berlin 1936,Basketball,basketball men
