,country,participant,result,olympic_game,discipline,event
0,,,67,Berlin 1936,Sailing,6m mixed
1,,,66,Berlin 1936,Sailing,6m mixed
2,,,62,Berlin 1936,Sailing,6m mixed
3,,,52,Berlin 1936,Sailing,6m mixed
4,,,50,Berlin 1936,Sailing,6m mixed
5,,,49,Berlin 1936,Sailing,6m mixed
6,,,43,Berlin 1936,Sailing,6m mixed
7,,,42,Berlin 1936,Sailing,6m mixed
8,,,37,Berlin 1936,Sailing,6m mixed
9,,,30,Berlin 1936,Sailing,6m mixed
10,,,18,Berlin 1936,Sailing,6m mixed
11,,,Disqualified,Berlin 1936,Sailing,6m mixed
0,,,55,Berlin 1936,Sailing,8m mixed
1,,,53,Berlin 1936,Sailing,8m mixed
2,,,53,Berlin 1936,Sailing,8m mixed
3,,,51,Berlin 1936,Sailing,8m mixed
4,,,37,Berlin 1936,Sailing,8m mixed
5,,,36,Berlin 1936,Sailing,8m mixed
6,,,25,Berlin 1936,Sailing,8m mixed
7,,,22,Berlin 1936,Sailing,8m mixed
8,,,21,Berlin 1936,Sailing,8m mixed
9,,,20,Berlin 1936,Sailing,8m mixed
0,GER,peter bischoff,80,Berlin 1936,Sailing,twoperson keelboat open Star mixed
1,SWE,arvid laurin,64,Berlin 1936,Sailing,twoperson keelboat open Star mixed
2,NED,adriaan lambertus joseph maas,63,Berlin 1936,Sailing,twoperson keelboat open Star mixed
3,GBR,keith leslie grogono,56,Berlin 1936,Sailing,twoperson keelboat open Star mixed
4,USA,woodbridge metcalf,51,Berlin 1936,Sailing,twoperson keelboat open Star mixed
5,NOR,sigurd fredrik herbern,44,Berlin 1936,Sailing,twoperson keelboat open Star mixed
6,FRA,pierre de montaut,41,Berlin 1936,Sailing,twoperson keelboat open Star mixed
7,TUR,behzat baydar,38,Berlin 1936,Sailing,twoperson keelboat open Star mixed
8,ITA,federico de luca,34,Berlin 1936,Sailing,twoperson keelboat open Star mixed
9,POR,joaquim mascarenhas de m. fiuza,28,Berlin 1936,Sailing,twoperson keelboat open Star mixed
10,JPN,takuo mitsui,19,Berlin 1936,Sailing,twoperson keelboat open Star mixed
11,BEL,victor godts,18,Berlin 1936,Sailing,twoperson keelboat open Star mixed
