,country,participant,result,olympic_game,discipline,event
0,,,,Berlin 1936,Water Polo,water polo men
1,,,,Berlin 1936,Water Polo,water polo men
2,,,,Berlin 1936,Water Polo,water polo men
3,,,,Berlin 1936,Water Polo,water polo men
4,,,,Berlin 1936,Water Polo,water polo men
5,,,,Berlin 1936,Water Polo,water polo men
6,,,,Berlin 1936,Water Polo,water polo men
7,,,,Berlin 1936,Water Polo,water polo men
8,,,,Berlin 1936,Water Polo,water polo men
9,,,,Berlin 1936,Water Polo,water polo men
10,,,,Berlin 1936,Water Polo,water polo men
11,,,,Berlin 1936,Water Polo,water polo men
12,,,,Berlin 1936,Water Polo,water polo men
13,,,,Berlin 1936,Water Polo,water polo men
14,,,,Berlin 1936,Water Polo,water polo men
15,,,,Berlin 1936,Water Polo,water polo men
