,country,participant,result,olympic_game,discipline,event
0,,,123,Calgary 1988,Ice Hockey,ice hockey men
1,,,86,Calgary 1988,Ice Hockey,ice hockey men
2,,,87,Calgary 1988,Ice Hockey,ice hockey men
3,,,80,Calgary 1988,Ice Hockey,ice hockey men
4,,,53,Calgary 1988,Ice Hockey,ice hockey men
5,,,88,Calgary 1988,Ice Hockey,ice hockey men
6,,,89,Calgary 1988,Ice Hockey,ice hockey men
7,,,56,Calgary 1988,Ice Hockey,ice hockey men
8,,,40,Calgary 1988,Ice Hockey,ice hockey men
9,,,25 / Member(s) DSQ for doping,Calgary 1988,Ice Hockey,ice hockey men
10,,,44,Calgary 1988,Ice Hockey,ice hockey men
11,,,44,Calgary 1988,Ice Hockey,ice hockey men
