,country,participant,result,olympic_game,discipline,event
0,SUI,hippolyt kempf,,Calgary 1988,Nordic Combined,Individual men
1,AUT,klaus sulzenbacher,,Calgary 1988,Nordic Combined,Individual men
2,URS,allar levandi,,Calgary 1988,Nordic Combined,Individual men
3,GDR,uwe prenzel,,Calgary 1988,Nordic Combined,Individual men
4,SUI,andreas schaad,,Calgary 1988,Nordic Combined,Individual men
5,NOR,torbjørn løkken,,Calgary 1988,Nordic Combined,Individual men
6,TCH,miroslav kopal,,Calgary 1988,Nordic Combined,Individual men
7,GDR,marko frank,,Calgary 1988,Nordic Combined,Individual men
8,GDR,thomas prenzel,,Calgary 1988,Nordic Combined,Individual men
9,URS,vasily savin,,Calgary 1988,Nordic Combined,Individual men
10,NOR,trond bredesen,,Calgary 1988,Nordic Combined,Individual men
11,URS,andrei dundukov,,Calgary 1988,Nordic Combined,Individual men
12,FRG,hubert schwarz,,Calgary 1988,Nordic Combined,Individual men
13,URS,sergei nikiforov,,Calgary 1988,Nordic Combined,Individual men
14,FIN,pasi saapunki,,Calgary 1988,Nordic Combined,Individual men
15,FIN,jukka ylipulli,,Calgary 1988,Nordic Combined,Individual men
16,FIN,sami leinonen,,Calgary 1988,Nordic Combined,Individual men
17,POL,tadeusz bafia,,Calgary 1988,Nordic Combined,Individual men
18,USA,joseph holland,,Calgary 1988,Nordic Combined,Individual men
19,FRA,fabrice guy,,Calgary 1988,Nordic Combined,Individual men
20,TCH,ladislav patras,,Calgary 1988,Nordic Combined,Individual men
21,AUT,klaus ofner,,Calgary 1988,Nordic Combined,Individual men
22,NOR,hallstein bögseth,,Calgary 1988,Nordic Combined,Individual men
23,AUT,hansjörg aschenwald,,Calgary 1988,Nordic Combined,Individual men
24,FRG,thomas müller,,Calgary 1988,Nordic Combined,Individual men
25,NOR,knut abrahamsen,,Calgary 1988,Nordic Combined,Individual men
26,TCH,jan klimko,,Calgary 1988,Nordic Combined,Individual men
27,FRG,hans-peter pohl,,Calgary 1988,Nordic Combined,Individual men
28,FRG,hermann weinbuch,,Calgary 1988,Nordic Combined,Individual men
29,TCH,frantisek repka,,Calgary 1988,Nordic Combined,Individual men
30,JPN,masashi abe,,Calgary 1988,Nordic Combined,Individual men
31,FRA,xavier girard,,Calgary 1988,Nordic Combined,Individual men
32,FIN,jouko parviainen,,Calgary 1988,Nordic Combined,Individual men
33,AUT,günther csar,,Calgary 1988,Nordic Combined,Individual men
34,SUI,fredy glanzmann,,Calgary 1988,Nordic Combined,Individual men
35,JPN,kazuoki kodama,,Calgary 1988,Nordic Combined,Individual men
36,JPN,hideki miyazaki,,Calgary 1988,Nordic Combined,Individual men
37,CAN,jon servold,,Calgary 1988,Nordic Combined,Individual men
38,FRA,jean pierre bohard,,Calgary 1988,Nordic Combined,Individual men
39,USA,todd wilson,,Calgary 1988,Nordic Combined,Individual men
40,USA,e. gary crawford,,Calgary 1988,Nordic Combined,Individual men
41,FRA,francis reppelin,Did not finish,Calgary 1988,Nordic Combined,Individual men
42,SUI,stefan späni,Did not finish,Calgary 1988,Nordic Combined,Individual men
43,USA,hans johnstone,Did not start,Calgary 1988,Nordic Combined,Individual men
0,,,,Calgary 1988,Nordic Combined,Team men
1,,,,Calgary 1988,Nordic Combined,Team men
2,,,,Calgary 1988,Nordic Combined,Team men
3,,,,Calgary 1988,Nordic Combined,Team men
4,,,,Calgary 1988,Nordic Combined,Team men
5,,,,Calgary 1988,Nordic Combined,Team men
6,,,,Calgary 1988,Nordic Combined,Team men
7,,,,Calgary 1988,Nordic Combined,Team men
8,,,,Calgary 1988,Nordic Combined,Team men
9,,,,Calgary 1988,Nordic Combined,Team men
10,,,Did not finish,Calgary 1988,Nordic Combined,Team men
