,country,participant,result,olympic_game,discipline,event
0,FRG,franz keller,449.04,Grenoble 1968,Nordic Combined,Individual men
1,SUI,alois kälin,447.99,Grenoble 1968,Nordic Combined,Individual men
2,GDR,andreas kunz,444.10,Grenoble 1968,Nordic Combined,Individual men
3,TCH,tomas kucera,434.14,Grenoble 1968,Nordic Combined,Individual men
4,ITA,ezio damolin,429.54,Grenoble 1968,Nordic Combined,Individual men
5,POL,jozef gasienica,428.78,Grenoble 1968,Nordic Combined,Individual men
6,URS,robert makara,426.92,Grenoble 1968,Nordic Combined,Individual men
7,URS,vyacheslav dryagin,424.38,Grenoble 1968,Nordic Combined,Individual men
8,GDR,roland weisspflog,424.30,Grenoble 1968,Nordic Combined,Individual men
9,JPN,hiroshi itagaki,414.65,Grenoble 1968,Nordic Combined,Individual men
10,GDR,karl-heinz luck,414.02,Grenoble 1968,Nordic Combined,Individual men
11,URS,tõnu haljand,412.68,Grenoble 1968,Nordic Combined,Individual men
12,USA,john ford bower,411.16,Grenoble 1968,Nordic Combined,Individual men
13,FRG,günter naumann,410.89,Grenoble 1968,Nordic Combined,Individual men
14,POL,jozef gasienica-daniel,407.76,Grenoble 1968,Nordic Combined,Individual men
15,TCH,ladislav rygl,407.28,Grenoble 1968,Nordic Combined,Individual men
16,ITA,fabio morandini,398.26,Grenoble 1968,Nordic Combined,Individual men
17,POL,erwin fiedor,395.93,Grenoble 1968,Nordic Combined,Individual men
18,URS,mikhail artukhov,391.90,Grenoble 1968,Nordic Combined,Individual men
19,POL,jan kawulok,387.91,Grenoble 1968,Nordic Combined,Individual men
20,NOR,mikkel dobloug,387.22,Grenoble 1968,Nordic Combined,Individual men
21,USA,georg krog,383.76,Grenoble 1968,Nordic Combined,Individual men
22,JPN,akemi taniguchi,383.14,Grenoble 1968,Nordic Combined,Individual men
23,JPN,katsutoshi okubo,382.23,Grenoble 1968,Nordic Combined,Individual men
24,FRG,alfred winkler,381.59,Grenoble 1968,Nordic Combined,Individual men
25,USA,james g. miller,378.38,Grenoble 1968,Nordic Combined,Individual men
26,NOR,markus svendsen,377.85,Grenoble 1968,Nordic Combined,Individual men
27,NOR,kaare olav berg,375.60,Grenoble 1968,Nordic Combined,Individual men
28,FRG,hans rudhart,374.74,Grenoble 1968,Nordic Combined,Individual men
29,FIN,ilpo nuolikivi,364.28,Grenoble 1968,Nordic Combined,Individual men
30,JPN,masatoshi suto,359.03,Grenoble 1968,Nordic Combined,Individual men
31,AUT,ulrich öhlböck,358.00,Grenoble 1968,Nordic Combined,Individual men
32,FIN,esa klinga,356.74,Grenoble 1968,Nordic Combined,Individual men
33,AUT,waldemar heigenhauser,356.69,Grenoble 1968,Nordic Combined,Individual men
34,AUT,helmut voggenberger,341.97,Grenoble 1968,Nordic Combined,Individual men
35,FIN,raimo majuri,338.28,Grenoble 1968,Nordic Combined,Individual men
36,FRA,emile salvi,332.38,Grenoble 1968,Nordic Combined,Individual men
37,FRA,jean-marie bourgeois,325.90,Grenoble 1968,Nordic Combined,Individual men
38,USA,thomas upham,325.17,Grenoble 1968,Nordic Combined,Individual men
39,NOR,gjert andersen,323.69,Grenoble 1968,Nordic Combined,Individual men
40,FRA,gervais poirot,315.98,Grenoble 1968,Nordic Combined,Individual men
