,country,participant,result,olympic_game,discipline,event
0,FIN,pentti olavi hämäläinen,,Helsinki 1952,Boxing,51-54kg bantamweight men
1,IRL,john mcnally,,Helsinki 1952,Boxing,51-54kg bantamweight men
2,KOR,jun-ho gang,,Helsinki 1952,Boxing,51-54kg bantamweight men
3,URS,gennady garbuzov,,Helsinki 1952,Boxing,51-54kg bantamweight men
4,TCH,frantisek majdloch,,Helsinki 1952,Boxing,51-54kg bantamweight men
5,USA,davey moore,,Helsinki 1952,Boxing,51-54kg bantamweight men
6,RSA,lennie von graevenitz,,Helsinki 1952,Boxing,51-54kg bantamweight men
7,ITA,vincenzo dall'osso,,Helsinki 1952,Boxing,51-54kg bantamweight men
8,IRI,fazlollah nickhah,,Helsinki 1952,Boxing,51-54kg bantamweight men
9,GER,egon schidan,,Helsinki 1952,Boxing,51-54kg bantamweight men
10,EGY,ibrahim abdrabbou,,Helsinki 1952,Boxing,51-54kg bantamweight men
11,PHI,alejandro ortuoste,,Helsinki 1952,Boxing,51-54kg bantamweight men
12,PUR,angel luis figueroa otero,,Helsinki 1952,Boxing,51-54kg bantamweight men
13,MEX,raul macias,,Helsinki 1952,Boxing,51-54kg bantamweight men
14,POL,henryk niedzwiedzki,,Helsinki 1952,Boxing,51-54kg bantamweight men
15,ROU,ion zlataru,,Helsinki 1952,Boxing,51-54kg bantamweight men
16,VNM,tien vinh,,Helsinki 1952,Boxing,51-54kg bantamweight men
17,VEN,angel amaya,,Helsinki 1952,Boxing,51-54kg bantamweight men
18,BEL,jean joseph l.g. renard,,Helsinki 1952,Boxing,51-54kg bantamweight men
19,GBR,thomas g. nicholls,,Helsinki 1952,Boxing,51-54kg bantamweight men
20,AUS,ronald charles gower,,Helsinki 1952,Boxing,51-54kg bantamweight men
21,FRA,antoine martin,,Helsinki 1952,Boxing,51-54kg bantamweight men
22,ARG,romulo pares,,Helsinki 1952,Boxing,51-54kg bantamweight men
23,GUA,carlos serrano,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
24,HUN,istván horváth,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
25,HUN,i. szilágyi,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
26,MYA,n. san hla,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
27,URS,boris stepanov,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
28,POL,zenon stefaniuk,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
29,MYA,basil thompson,Did not start,Helsinki 1952,Boxing,51-54kg bantamweight men
