,country,participant,result,olympic_game,discipline,event
0,BEL,andre alfons noyelle,05:06:03.400,Helsinki 1952,Cycling Road,individual road race men
1,BEL,robert grondelaers,,Helsinki 1952,Cycling Road,individual road race men
2,GER,edwin (edy) ziegler,,Helsinki 1952,Cycling Road,individual road race men
3,BEL,lucien honore victor,,Helsinki 1952,Cycling Road,individual road race men
4,ITA,dino bruni,,Helsinki 1952,Cycling Road,individual road race men
5,ITA,vincenzo zucconelli,,Helsinki 1952,Cycling Road,individual road race men
6,ITA,gianni ghidini,,Helsinki 1952,Cycling Road,individual road race men
7,GER,oskar zeissner,,Helsinki 1952,Cycling Road,individual road race men
8,DEN,hans edmund andresen,,Helsinki 1952,Cycling Road,individual road race men
9,NED,arend van't hof,,Helsinki 1952,Cycling Road,individual road race men
10,LUX,andre moes,,Helsinki 1952,Cycling Road,individual road race men
11,FRA,jacques anquetil,,Helsinki 1952,Cycling Road,individual road race men
12,FRA,alfred tonello,,Helsinki 1952,Cycling Road,individual road race men
13,LUX,roger luidwig,,Helsinki 1952,Cycling Road,individual road race men
14,ITA,bruno monti,,Helsinki 1952,Cycling Road,individual road race men
15,SWE,yngve lundh,,Helsinki 1952,Cycling Road,individual road race men
16,SUI,rolf graf,,Helsinki 1952,Cycling Road,individual road race men
17,SWE,stig martensson,,Helsinki 1952,Cycling Road,individual road race men
18,DEN,jorgen frank rasmussen,,Helsinki 1952,Cycling Road,individual road race men
19,SUI,josef schraner,,Helsinki 1952,Cycling Road,individual road race men
20,SWE,allan carlsson,,Helsinki 1952,Cycling Road,individual road race men
21,NED,johannes marinus plantaz,,Helsinki 1952,Cycling Road,individual road race men
22,FRA,claude paul lucien rouer,,Helsinki 1952,Cycling Road,individual road race men
23,NOR,odd berg,,Helsinki 1952,Cycling Road,individual road race men
24,NOR,erling kristiansen,,Helsinki 1952,Cycling Road,individual road race men
25,GBR,desmond robinson,,Helsinki 1952,Cycling Road,individual road race men
26,GBR,brian robinson,,Helsinki 1952,Cycling Road,individual road race men
27,NOR,lorang christiansen,,Helsinki 1952,Cycling Road,individual road race men
28,ROU,constantin stanescu,,Helsinki 1952,Cycling Road,individual road race men
29,LIE,alois lampert,,Helsinki 1952,Cycling Road,individual road race men
30,GBR,graham joseph vines,,Helsinki 1952,Cycling Road,individual road race men
31,USA,donald thomas sheldon,,Helsinki 1952,Cycling Road,individual road race men
32,URU,virgilio pereyra,,Helsinki 1952,Cycling Road,individual road race men
33,AUS,peter pryor,,Helsinki 1952,Cycling Road,individual road race men
34,AUS,james julian nevin,,Helsinki 1952,Cycling Road,individual road race men
35,USA,thomas charles o'rourke,,Helsinki 1952,Cycling Road,individual road race men
36,DEN,poul wedell ostergaard,,Helsinki 1952,Cycling Road,individual road race men
37,URU,luis angel de los santos,,Helsinki 1952,Cycling Road,individual road race men
38,URU,mario hugo machado,,Helsinki 1952,Cycling Road,individual road race men
39,URS,yevgeni klevtsov,,Helsinki 1952,Cycling Road,individual road race men
40,ROU,marin niculescu,,Helsinki 1952,Cycling Road,individual road race men
41,FIN,raino armas koskenkorva,,Helsinki 1952,Cycling Road,individual road race men
42,LIE,ewald hassler,,Helsinki 1952,Cycling Road,individual road race men
43,ROU,victor georgescu,,Helsinki 1952,Cycling Road,individual road race men
44,MEX,angel romero,,Helsinki 1952,Cycling Road,individual road race men
45,BUL,petre dimitrov georgiev,,Helsinki 1952,Cycling Road,individual road race men
46,VNM,quan luu,,Helsinki 1952,Cycling Road,individual road race men
47,GER,paul maue,,Helsinki 1952,Cycling Road,individual road race men
48,NED,adrianus voorting,,Helsinki 1952,Cycling Road,individual road race men
49,SUI,fausto lurati,,Helsinki 1952,Cycling Road,individual road race men
50,LUX,nicolas morn,,Helsinki 1952,Cycling Road,individual road race men
51,DEN,helge hansen,,Helsinki 1952,Cycling Road,individual road race men
52,AUS,kenneth caves,Did not finish,Helsinki 1952,Cycling Road,individual road race men
53,AUS,peter nelson,Did not finish,Helsinki 1952,Cycling Road,individual road race men
54,BEL,hendrik van looy,Did not finish,Helsinki 1952,Cycling Road,individual road race men
55,BUL,milko rusev,Did not finish,Helsinki 1952,Cycling Road,individual road race men
56,BUL,iliya velchev,Did not finish,Helsinki 1952,Cycling Road,individual road race men
57,BUL,boyan kosev stomtchev,Did not finish,Helsinki 1952,Cycling Road,individual road race men
58,CHI,hernan masanez gimeno,Did not finish,Helsinki 1952,Cycling Road,individual road race men
59,CHI,hector hugo mellado jara,Did not finish,Helsinki 1952,Cycling Road,individual road race men
60,CHI,hugo miranda araya,Did not finish,Helsinki 1952,Cycling Road,individual road race men
61,RSA,alfred james swift,Did not finish,Helsinki 1952,Cycling Road,individual road race men
62,RSA,robert gerald fowler,Did not finish,Helsinki 1952,Cycling Road,individual road race men
63,NED,julius hermanus maenen,Did not finish,Helsinki 1952,Cycling Road,individual road race men
64,IND,netai chand bysack,Did not finish,Helsinki 1952,Cycling Road,individual road race men
65,IND,suprovat chakravarty,Did not finish,Helsinki 1952,Cycling Road,individual road race men
66,IND,raj kumar mehra,Did not finish,Helsinki 1952,Cycling Road,individual road race men
67,IND,pradip bode,Did not finish,Helsinki 1952,Cycling Road,individual road race men
68,GBR,william leslie ingman,Did not finish,Helsinki 1952,Cycling Road,individual road race men
69,AUT,franz wimmer,Did not finish,Helsinki 1952,Cycling Road,individual road race men
70,AUT,walter bortel,Did not finish,Helsinki 1952,Cycling Road,individual road race men
71,JPN,kihei tomioka,Did not finish,Helsinki 1952,Cycling Road,individual road race men
72,JPN,tadashi kato,Did not finish,Helsinki 1952,Cycling Road,individual road race men
73,JPN,masazumi tajima,Did not finish,Helsinki 1952,Cycling Road,individual road race men
74,KOR,ik-hyeon gwon,Did not finish,Helsinki 1952,Cycling Road,individual road race men
75,KOR,jang-jo im,Did not finish,Helsinki 1952,Cycling Road,individual road race men
76,KOR,ho-sun kim,Did not finish,Helsinki 1952,Cycling Road,individual road race men
77,MEX,ricardo garcia,Did not finish,Helsinki 1952,Cycling Road,individual road race men
78,MEX,francisco lozano borgono,Did not finish,Helsinki 1952,Cycling Road,individual road race men
79,MEX,luis cepeda,Did not finish,Helsinki 1952,Cycling Road,individual road race men
80,LUX,jean schmit,Did not finish,Helsinki 1952,Cycling Road,individual road race men
81,URS,anatoly kolesov,Did not finish,Helsinki 1952,Cycling Road,individual road race men
82,URS,vladimir kryuchkov,Did not finish,Helsinki 1952,Cycling Road,individual road race men
83,PAK,muhammad naqi mallick,Did not finish,Helsinki 1952,Cycling Road,individual road race men
84,PAK,imtiaz ahmed bhatti,Did not finish,Helsinki 1952,Cycling Road,individual road race men
85,FRA,roland alexandre g. bezamat,Did not finish,Helsinki 1952,Cycling Road,individual road race men
86,ROU,petre nuta,Did not finish,Helsinki 1952,Cycling Road,individual road race men
