,country,participant,result,olympic_game,discipline,event
0,ITA,edoardo mangiarotti,,Helsinki 1952,Fencing,épée individual men
1,ITA,dario mangiarotti,,Helsinki 1952,Fencing,épée individual men
2,SUI,oswald zappelli,,Helsinki 1952,Fencing,épée individual men
3,LUX,leon buck,,Helsinki 1952,Fencing,épée individual men
4,HUN,jozsef sakovics,,Helsinki 1952,Fencing,épée individual men
5,ITA,carlo pavesi,,Helsinki 1952,Fencing,épée individual men
6,SWE,per hjalmar carleson,,Helsinki 1952,Fencing,épée individual men
7,SWE,carl forssell,,Helsinki 1952,Fencing,épée individual men
8,FIN,erkki kerttula,,Helsinki 1952,Fencing,épée individual men
9,DEN,mogens lüchow,,Helsinki 1952,Fencing,épée individual men
0,,,,Helsinki 1952,Fencing,épée team men
1,,,,Helsinki 1952,Fencing,épée team men
2,,,,Helsinki 1952,Fencing,épée team men
3,,,,Helsinki 1952,Fencing,épée team men
4,,,,Helsinki 1952,Fencing,épée team men
5,,,,Helsinki 1952,Fencing,épée team men
0,FRA,christian d'oriola,,Helsinki 1952,Fencing,foil individual men
1,ITA,edoardo mangiarotti,,Helsinki 1952,Fencing,foil individual men
2,ITA,manlio di rosa,,Helsinki 1952,Fencing,foil individual men
3,FRA,jacques lataste,,Helsinki 1952,Fencing,foil individual men
4,FRA,jehan buhan,,Helsinki 1952,Fencing,foil individual men
5,EGY,mahmoud younes,,Helsinki 1952,Fencing,foil individual men
6,EGY,salah dessouki,,Helsinki 1952,Fencing,foil individual men
7,ITA,giancarlo bergamini,,Helsinki 1952,Fencing,foil individual men
8,HUN,endre tilli,,Helsinki 1952,Fencing,foil individual men
0,ITA,irene camber,,Helsinki 1952,Fencing,foil individual women
1,HUN,ilona elek,,Helsinki 1952,Fencing,foil individual women
2,DEN,karen vilhelmine lachmann,,Helsinki 1952,Fencing,foil individual women
3,USA,jan york-romary,,Helsinki 1952,Fencing,foil individual women
4,USA,maxine elizabeth mitchell,,Helsinki 1952,Fencing,foil individual women
5,FRA,renee garilhe,,Helsinki 1952,Fencing,foil individual women
6,FRA,lylian lecomte-guyonneau,,Helsinki 1952,Fencing,foil individual women
7,HUN,magdolna nyari-kovacs,,Helsinki 1952,Fencing,foil individual women
0,,,,Helsinki 1952,Fencing,foil team men
1,,,,Helsinki 1952,Fencing,foil team men
2,,,,Helsinki 1952,Fencing,foil team men
3,,,,Helsinki 1952,Fencing,foil team men
4,,,,Helsinki 1952,Fencing,foil team men
5,,,,Helsinki 1952,Fencing,foil team men
0,HUN,pal adam kovacs,,Helsinki 1952,Fencing,sabre individual men
1,HUN,aladar gerevich,,Helsinki 1952,Fencing,sabre individual men
2,HUN,tibor berczelly,,Helsinki 1952,Fencing,sabre individual men
3,ITA,gastone dare,,Helsinki 1952,Fencing,sabre individual men
4,AUT,werner plattner,,Helsinki 1952,Fencing,sabre individual men
5,FRA,jacques lefevre,,Helsinki 1952,Fencing,sabre individual men
6,ITA,vincenzo pinton,,Helsinki 1952,Fencing,sabre individual men
7,AUT,heinz lechner,,Helsinki 1952,Fencing,sabre individual men
8,BEL,gustave louis ballister,,Helsinki 1952,Fencing,sabre individual men
0,,,,Helsinki 1952,Fencing,sabre team men
1,,,,Helsinki 1952,Fencing,sabre team men
2,,,,Helsinki 1952,Fencing,sabre team men
3,,,,Helsinki 1952,Fencing,sabre team men
4,,,,Helsinki 1952,Fencing,sabre team men
5,,,,Helsinki 1952,Fencing,sabre team men
6,,,,Helsinki 1952,Fencing,sabre team men
7,,,,Helsinki 1952,Fencing,sabre team men
