,country,participant,result,olympic_game,discipline,event
0,,,"5,751",Helsinki 1952,Sailing,5.5m mixed
1,,,"5,325",Helsinki 1952,Sailing,5.5m mixed
2,,,"4,554",Helsinki 1952,Sailing,5.5m mixed
3,,,"4,450",Helsinki 1952,Sailing,5.5m mixed
4,,,"3,982",Helsinki 1952,Sailing,5.5m mixed
5,,,"3,727",Helsinki 1952,Sailing,5.5m mixed
6,,,"3,338",Helsinki 1952,Sailing,5.5m mixed
7,,,"3,292",Helsinki 1952,Sailing,5.5m mixed
8,,,"2,845",Helsinki 1952,Sailing,5.5m mixed
9,,,"2,618",Helsinki 1952,Sailing,5.5m mixed
10,,,"2,469",Helsinki 1952,Sailing,5.5m mixed
11,,,"1,674",Helsinki 1952,Sailing,5.5m mixed
12,,,"1,582",Helsinki 1952,Sailing,5.5m mixed
13,,,"1,455",Helsinki 1952,Sailing,5.5m mixed
14,,,"1,428",Helsinki 1952,Sailing,5.5m mixed
15,,,971,Helsinki 1952,Sailing,5.5m mixed
0,,,"4,870",Helsinki 1952,Sailing,6m mixed
1,,,"4,648",Helsinki 1952,Sailing,6m mixed
2,,,"3,944",Helsinki 1952,Sailing,6m mixed
3,,,"3,773",Helsinki 1952,Sailing,6m mixed
4,,,"3,393",Helsinki 1952,Sailing,6m mixed
5,,,"3,020",Helsinki 1952,Sailing,6m mixed
6,,,"3,013",Helsinki 1952,Sailing,6m mixed
7,,,"2,560",Helsinki 1952,Sailing,6m mixed
8,,,"1,800",Helsinki 1952,Sailing,6m mixed
9,,,"1,190",Helsinki 1952,Sailing,6m mixed
10,,,864,Helsinki 1952,Sailing,6m mixed
0,,,"6,130",Helsinki 1952,Sailing,dragon mixed
1,,,"5,556",Helsinki 1952,Sailing,dragon mixed
2,,,"5,352",Helsinki 1952,Sailing,dragon mixed
3,,,"5,339",Helsinki 1952,Sailing,dragon mixed
4,,,"4,460",Helsinki 1952,Sailing,dragon mixed
5,,,"4,041",Helsinki 1952,Sailing,dragon mixed
6,,,"2,884",Helsinki 1952,Sailing,dragon mixed
7,,,"2,782",Helsinki 1952,Sailing,dragon mixed
8,,,"2,439",Helsinki 1952,Sailing,dragon mixed
9,,,"2,203",Helsinki 1952,Sailing,dragon mixed
10,,,"2,170",Helsinki 1952,Sailing,dragon mixed
11,,,"1,916",Helsinki 1952,Sailing,dragon mixed
12,,,"1,885",Helsinki 1952,Sailing,dragon mixed
13,,,"1,866",Helsinki 1952,Sailing,dragon mixed
14,,,"1,703",Helsinki 1952,Sailing,dragon mixed
15,,,"1,078",Helsinki 1952,Sailing,dragon mixed
16,,,"1,064",Helsinki 1952,Sailing,dragon mixed
0,DEN,paul elvstrøm,"8,209",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
1,GBR,charles norman currey,"5,449",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
2,SWE,rickard sarby,"5,051",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
3,NED,jacobus hermanus hendrik de jong,"5,033",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
4,AUT,wolfgang erndl,"4,273",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
5,NOR,morits skaugen,"4,073",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
6,ITA,adelchi pelaschiar,"4,068",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
7,CAN,paul mclaughlin,"4,033",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
8,BRA,alfredo jorge ebling bercht,"3,711",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
9,ESP,ramon balcells rodon,"3,644",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
10,FRA,jacques baptiste lebrun,"3,616",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
11,URS,pyotr gorelikov,"3,600",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
12,SUI,willy h.a. pieper,"3,541",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
13,BAH,kenneth harrison albury,"3,209",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
14,GER,werner herman otto krogmann,"3,149",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
15,RSA,hellmut wilhelm e. stauch,"3,130",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
16,POR,mario gentil quina,"2,787",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
17,BEL,christian anton nielsen,"2,753",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
18,FIN,karl-gunnar kallstrom,"2,587",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
19,URU,eugenio lauz santurio,"2,397",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
20,IRL,alfred fred joseph delany,"2,308",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
21,AUS,peter attrill,"2,013",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
22,YUG,karlo bauman,"1,709",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
23,CUB,jorge de cardenas pla,"1,470",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
24,ARG,carlos miguel benn pott,"1,104",Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
25,GRE,antonios modinos,921,Helsinki 1952,Sailing,Finn - One Person Dinghy (Heavyweight) men
