,country,participant,result,olympic_game,discipline,event
0,NOR,"john h. larsen, sr.",413,Helsinki 1952,Shooting,100m running deer singledouble shots men
1,SWE,olof sköldberg,409,Helsinki 1952,Shooting,100m running deer singledouble shots men
2,FIN,tauno vilhelmi mäki,407,Helsinki 1952,Shooting,100m running deer singledouble shots men
3,NOR,rolf bergersen,399,Helsinki 1952,Shooting,100m running deer singledouble shots men
4,SWE,thorleif kockgard,397,Helsinki 1952,Shooting,100m running deer singledouble shots men
5,FIN,yrjo miettinen,392,Helsinki 1952,Shooting,100m running deer singledouble shots men
6,URS,pyotr nikolayev,385,Helsinki 1952,Shooting,100m running deer singledouble shots men
7,URS,vladimir sevryugin,383,Helsinki 1952,Shooting,100m running deer singledouble shots men
8,FRA,jean-albin emile regis,352,Helsinki 1952,Shooting,100m running deer singledouble shots men
9,FRA,albert victor planchon,350,Helsinki 1952,Shooting,100m running deer singledouble shots men
10,GBR,cyril winthrop mackworth-praed,321,Helsinki 1952,Shooting,100m running deer singledouble shots men
11,GBR,ingram ord capper,319,Helsinki 1952,Shooting,100m running deer singledouble shots men
12,ITA,luigi ruspoli,154,Helsinki 1952,Shooting,100m running deer singledouble shots men
13,ITA,ladislao odescalchi,152,Helsinki 1952,Shooting,100m running deer singledouble shots men
0,HUN,karoly takacs,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
1,HUN,szilard kun,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
2,ROU,gheorghe lichiardopol,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
3,ARG,carlos enrique diaz saenz valiente,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
4,FIN,pentti tapio akseli linnosvuo,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
5,ROU,panait calcai,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
6,USA,william willard mcmillan,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
7,URS,vasily frolov,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
8,ITA,giorgio pennacchietti,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
9,ARG,oscar rosando cervo,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
10,URS,vasily novikov,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
11,CUB,mario de armas fernandez,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
12,ESP,emilio alava sautu,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
13,FIN,veli-jussi holso,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
14,MEX,ernesto montemayor rodriguez sr.,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
15,ITA,michelangelo borriello,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
16,BUL,georghi keranov,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
17,MEX,carlos rodriguez,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
18,TCH,ladislav ondrej,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
19,VEN,herman barreto avellaneda,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
20,POR,rogerio castro tavares,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
21,PUR,josef rua,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
22,GER,ludwig leupold,60,Helsinki 1952,Shooting,25m rapid fire pistol 60 shots men
