,country,participant,result,olympic_game,discipline,event
0,AUT,egon zimmermann,00:02:18.160,Innsbruck 1964,Alpine Skiing,downhill men
1,FRA,léo lacroix,00:02:18.900,Innsbruck 1964,Alpine Skiing,downhill men
2,GER,wolfgang bartels,00:02:19.480,Innsbruck 1964,Alpine Skiing,downhill men
3,SUI,joos minsch,00:02:19.540,Innsbruck 1964,Alpine Skiing,downhill men
4,GER,ludwig leitner,00:02:19.670,Innsbruck 1964,Alpine Skiing,downhill men
5,FRA,guy périllat,00:02:19.790,Innsbruck 1964,Alpine Skiing,downhill men
6,AUT,gerhard nenning,00:02:19.980,Innsbruck 1964,Alpine Skiing,downhill men
7,SUI,willy favre,00:02:20.230,Innsbruck 1964,Alpine Skiing,downhill men
8,GER,willy bogner,00:02:20.720,Innsbruck 1964,Alpine Skiing,downhill men
9,AUT,heinrich messner,00:02:20.740,Innsbruck 1964,Alpine Skiing,downhill men
10,AUT,karl schranz,00:02:20.980,Innsbruck 1964,Alpine Skiing,downhill men
11,GER,fritz wagnerberger,00:02:21.030,Innsbruck 1964,Alpine Skiing,downhill men
12,SUI,dumeng giovanoli,00:02:21.160,Innsbruck 1964,Alpine Skiing,downhill men
13,USA,"ni orsi, jr.",00:02:21.590,Innsbruck 1964,Alpine Skiing,downhill men
14,FRA,françois bonlieu,00:02:21.710,Innsbruck 1964,Alpine Skiing,downhill men
15,USA,william kidd,00:02:21.820,Innsbruck 1964,Alpine Skiing,downhill men
16,USA,wallace j. werner,00:02:22.050,Innsbruck 1964,Alpine Skiing,downhill men
17,SUI,georg grünenfelder,00:02:22.690,Innsbruck 1964,Alpine Skiing,downhill men
18,ITA,ivo mahlknecht,00:02:22.720,Innsbruck 1964,Alpine Skiing,downhill men
19,USA,charles thompson ferries,00:02:23.000,Innsbruck 1964,Alpine Skiing,downhill men
20,ITA,paride milianti,00:02:23.010,Innsbruck 1964,Alpine Skiing,downhill men
21,FIN,raimo manninen,00:02:23.940,Innsbruck 1964,Alpine Skiing,downhill men
22,ITA,bruno alberti,00:02:25.300,Innsbruck 1964,Alpine Skiing,downhill men
23,POL,jerzy wojna,00:02:25.880,Innsbruck 1964,Alpine Skiing,downhill men
24,CAN,jean-guy brunet,00:02:26.590,Innsbruck 1964,Alpine Skiing,downhill men
25,FIN,ulf ekstam,00:02:27.310,Innsbruck 1964,Alpine Skiing,downhill men
26,ITA,martino fill,00:02:27.330,Innsbruck 1964,Alpine Skiing,downhill men
27,CAN,garry battistella,00:02:27.740,Innsbruck 1964,Alpine Skiing,downhill men
28,YUG,peter lakota,00:02:27.820,Innsbruck 1964,Alpine Skiing,downhill men
29,CAN,rodney hebron,00:02:27.900,Innsbruck 1964,Alpine Skiing,downhill men
30,SWE,bengt-erik grahn,00:02:29.290,Innsbruck 1964,Alpine Skiing,downhill men
31,NOR,jon terje överland,00:02:29.740,Innsbruck 1964,Alpine Skiing,downhill men
32,JPN,hajime tomii,00:02:30.020,Innsbruck 1964,Alpine Skiing,downhill men
