,country,participant,result,olympic_game,discipline,event
0,,,00:04:14.460,Innsbruck 1964,Bobsleigh,four-man men
1,,,00:04:15.480,Innsbruck 1964,Bobsleigh,four-man men
2,,,00:04:15.600,Innsbruck 1964,Bobsleigh,four-man men
3,,,00:04:15.890,Innsbruck 1964,Bobsleigh,four-man men
4,,,00:04:16.190,Innsbruck 1964,Bobsleigh,four-man men
5,,,00:04:17.230,Innsbruck 1964,Bobsleigh,four-man men
6,,,00:04:17.730,Innsbruck 1964,Bobsleigh,four-man men
7,,,00:04:18.120,Innsbruck 1964,Bobsleigh,four-man men
8,,,00:04:18.680,Innsbruck 1964,Bobsleigh,four-man men
9,,,00:04:19.050,Innsbruck 1964,Bobsleigh,four-man men
10,,,00:04:19.240,Innsbruck 1964,Bobsleigh,four-man men
11,,,00:04:19.400,Innsbruck 1964,Bobsleigh,four-man men
12,,,00:04:19.430,Innsbruck 1964,Bobsleigh,four-man men
13,,,00:04:19.780,Innsbruck 1964,Bobsleigh,four-man men
14,,,00:04:19.800,Innsbruck 1964,Bobsleigh,four-man men
15,,,00:04:25.510,Innsbruck 1964,Bobsleigh,four-man men
16,,,00:04:25.840,Innsbruck 1964,Bobsleigh,four-man men
17,,,Did not finish,Innsbruck 1964,Bobsleigh,four-man men
0,GBR,robin thomas dixon,00:04:21.900,Innsbruck 1964,Bobsleigh,two-man men
1,ITA,romano bonagura,00:04:22.020,Innsbruck 1964,Bobsleigh,two-man men
2,ITA,eugenio monti,00:04:22.630,Innsbruck 1964,Bobsleigh,two-man men
3,CAN,victor emery,00:04:23.490,Innsbruck 1964,Bobsleigh,two-man men
4,USA,james ernest lamy,00:04:24.600,Innsbruck 1964,Bobsleigh,two-man men
5,GER,franz wörmann,00:04:24.700,Innsbruck 1964,Bobsleigh,two-man men
6,USA,charles william pandolph,00:04:25.000,Innsbruck 1964,Bobsleigh,two-man men
7,AUT,josef nairz,00:04:25.510,Innsbruck 1964,Bobsleigh,two-man men
8,AUT,reinhold durnthaler,00:04:28.090,Innsbruck 1964,Bobsleigh,two-man men
9,SUI,hans zoller,00:04:28.150,Innsbruck 1964,Bobsleigh,two-man men
10,CAN,john emery,00:04:28.870,Innsbruck 1964,Bobsleigh,two-man men
11,SWE,heino freyberg,00:04:28.930,Innsbruck 1964,Bobsleigh,two-man men
12,ROU,hariton pasovschi,00:04:29.100,Innsbruck 1964,Bobsleigh,two-man men
13,GER,rupert grasegger,00:04:29.770,Innsbruck 1964,Bobsleigh,two-man men
14,ROU,constantin cotacu,00:04:30.250,Innsbruck 1964,Bobsleigh,two-man men
15,GBR,william mccowen,00:04:30.670,Innsbruck 1964,Bobsleigh,two-man men
16,SUI,oskar lory,00:04:31.200,Innsbruck 1964,Bobsleigh,two-man men
17,ARG,hector julio tomasi,00:04:31.870,Innsbruck 1964,Bobsleigh,two-man men
18,ARG,roberto jose bordeu,00:04:40.190,Innsbruck 1964,Bobsleigh,two-man men
19,BEL,jean-marie buisset,Did not finish,Innsbruck 1964,Bobsleigh,two-man men
20,SWE,jan-erik äkerström,Did not finish,Innsbruck 1964,Bobsleigh,two-man men
