,country,participant,result,olympic_game,discipline,event
0,NOR,tormod knutsen,469.28,Innsbruck 1964,Nordic Combined,Individual men
1,URS,nikolay kiselyov,453.04,Innsbruck 1964,Nordic Combined,Individual men
2,GER,georg thoma,452.88,Innsbruck 1964,Nordic Combined,Individual men
3,URS,nikolay gusakov,449.36,Innsbruck 1964,Nordic Combined,Individual men
4,NOR,arne larsen,430.63,Innsbruck 1964,Nordic Combined,Individual men
5,NOR,arne barhaugen,425.63,Innsbruck 1964,Nordic Combined,Individual men
6,URS,vyacheslav dryagin,422.75,Innsbruck 1964,Nordic Combined,Individual men
7,ITA,ezio damolin,419.54,Innsbruck 1964,Nordic Combined,Individual men
8,GER,rainer dietel,417.14,Innsbruck 1964,Nordic Combined,Individual men
9,AUT,willi köstinger,413.68,Innsbruck 1964,Nordic Combined,Individual men
10,NOR,björn wirkola,413.54,Innsbruck 1964,Nordic Combined,Individual men
11,SUI,alois kälin,413.23,Innsbruck 1964,Nordic Combined,Individual men
12,TCH,stefan oleksak,409.78,Innsbruck 1964,Nordic Combined,Individual men
13,POL,erwin fiedor,406.16,Innsbruck 1964,Nordic Combined,Individual men
14,USA,john ford bower,403.76,Innsbruck 1964,Nordic Combined,Individual men
15,GER,roland weisspflog,401.70,Innsbruck 1964,Nordic Combined,Individual men
16,GER,horst möhwald,396.18,Innsbruck 1964,Nordic Combined,Individual men
17,ITA,enzo perin,391.82,Innsbruck 1964,Nordic Combined,Individual men
18,AUT,waldemar heigenhauser,378.72,Innsbruck 1964,Nordic Combined,Individual men
19,JPN,takashi fujisawa,375.22,Innsbruck 1964,Nordic Combined,Individual men
20,TCH,josef kutheil,370.36,Innsbruck 1964,Nordic Combined,Individual men
21,FIN,erkki luiro,369.50,Innsbruck 1964,Nordic Combined,Individual men
22,FIN,raimo majuri,368.22,Innsbruck 1964,Nordic Combined,Individual men
23,TCH,miroslav svaricek,358.88,Innsbruck 1964,Nordic Combined,Individual men
24,FIN,esa klinga,352.59,Innsbruck 1964,Nordic Combined,Individual men
25,FIN,raimo partanen,348.38,Innsbruck 1964,Nordic Combined,Individual men
26,USA,jim shea,346.76,Innsbruck 1964,Nordic Combined,Individual men
27,AUT,leopold kohl,341.86,Innsbruck 1964,Nordic Combined,Individual men
28,AUT,franz scherübl,338.60,Innsbruck 1964,Nordic Combined,Individual men
29,JPN,eiichi tanaka,337.50,Innsbruck 1964,Nordic Combined,Individual men
30,JPN,akemi taniguchi,291.51,Innsbruck 1964,Nordic Combined,Individual men
31,USA,james warner page,Did not finish,Innsbruck 1964,Nordic Combined,Individual men
32,URS,mikhail pryakin,Did not start,Innsbruck 1964,Nordic Combined,Individual men
