,country,participant,result,olympic_game,discipline,event
0,URS,nikolay kruglov,01:14:12.260,Innsbruck 1976,Biathlon,20km men
1,FIN,heikki ikola,01:15:54.100,Innsbruck 1976,Biathlon,20km men
2,URS,aleksandr yelizarov,01:16:05.570,Innsbruck 1976,Biathlon,20km men
3,ITA,willy bertin,01:16:50.360,Innsbruck 1976,Biathlon,20km men
4,URS,aleksandr tikhonov,01:17:18.330,Innsbruck 1976,Biathlon,20km men
5,FIN,esko saira,01:17:32.840,Innsbruck 1976,Biathlon,20km men
6,ITA,lino jordan,01:17:49.830,Innsbruck 1976,Biathlon,20km men
7,SWE,sune adolfsson,01:18:00.500,Innsbruck 1976,Biathlon,20km men
8,NOR,tor svendsberget,01:18:10.130,Innsbruck 1976,Biathlon,20km men
9,SWE,lars-göran arwidson,01:18:34.370,Innsbruck 1976,Biathlon,20km men
10,FRG,heinrich mehringer,01:18:49.150,Innsbruck 1976,Biathlon,20km men
11,GDR,manfred geyer,01:19:11.370,Innsbruck 1976,Biathlon,20km men
12,FIN,juhani suutarinen,01:19:25.890,Innsbruck 1976,Biathlon,20km men
13,SUI,hansruedi süssli,01:19:53.730,Innsbruck 1976,Biathlon,20km men
14,GDR,karl-heinz wolf,01:20:06.890,Innsbruck 1976,Biathlon,20km men
15,ROU,gheorghe voicu,01:21:01.520,Innsbruck 1976,Biathlon,20km men
16,TCH,antonin kriz,01:21:11.360,Innsbruck 1976,Biathlon,20km men
17,NOR,kjell hovda,01:21:24.450,Innsbruck 1976,Biathlon,20km men
18,POL,jan szpunar,01:21:27.200,Innsbruck 1976,Biathlon,20km men
19,NOR,svein engen,01:21:27.240,Innsbruck 1976,Biathlon,20km men
20,AUT,alfred eder,01:22:42.520,Innsbruck 1976,Biathlon,20km men
21,FRA,rené arpin,01:22:50.920,Innsbruck 1976,Biathlon,20km men
22,ITA,pierantonio clementi,01:23:08.860,Innsbruck 1976,Biathlon,20km men
23,TCH,ladislav zizka,01:23:09.030,Innsbruck 1976,Biathlon,20km men
24,SUI,albert mächler,01:23:28.660,Innsbruck 1976,Biathlon,20km men
25,FRG,josef niedermeyer,01:23:33.630,Innsbruck 1976,Biathlon,20km men
26,GDR,manfred beer,01:23:42.500,Innsbruck 1976,Biathlon,20km men
27,POL,wojciech truchan,01:24:09.930,Innsbruck 1976,Biathlon,20km men
28,GBR,graeme ferguson,01:24:18.090,Innsbruck 1976,Biathlon,20km men
29,JPN,hiroyuki deguchi,01:24:53.840,Innsbruck 1976,Biathlon,20km men
30,ROU,gheorghe girnita,01:25:00.710,Innsbruck 1976,Biathlon,20km men
31,BUL,hristo madzharov,01:25:02.620,Innsbruck 1976,Biathlon,20km men
32,FRA,jean-claude viry,01:25:09.510,Innsbruck 1976,Biathlon,20km men
33,FRG,alois kanamüller,01:25:25.260,Innsbruck 1976,Biathlon,20km men
34,USA,lyle nelson,01:25:27.500,Innsbruck 1976,Biathlon,20km men
35,GBR,malcolm hirst,01:25:52.970,Innsbruck 1976,Biathlon,20km men
36,AUT,franz-josef weber,01:26:14.920,Innsbruck 1976,Biathlon,20km men
37,JPN,manabu suzuki,01:26:35.790,Innsbruck 1976,Biathlon,20km men
38,GBR,jeffrey stevens,01:27:15.870,Innsbruck 1976,Biathlon,20km men
39,SUI,christian danuser,01:27:16.430,Innsbruck 1976,Biathlon,20km men
40,JPN,kazuo sasakubo,01:27:35.310,Innsbruck 1976,Biathlon,20km men
41,FRA,aimé gruet-masson,01:27:35.810,Innsbruck 1976,Biathlon,20km men
42,BUL,ilia todorov,01:27:57.600,Innsbruck 1976,Biathlon,20km men
43,TCH,josef malinsky,01:28:09.180,Innsbruck 1976,Biathlon,20km men
44,ROU,nicolae cristoloveanu,01:28:15.530,Innsbruck 1976,Biathlon,20km men
45,POL,andrzej rapacz,01:28:30.820,Innsbruck 1976,Biathlon,20km men
46,USA,martin hagen,01:28:49.200,Innsbruck 1976,Biathlon,20km men
47,SWE,torsten wadman,01:30:20.340,Innsbruck 1976,Biathlon,20km men
48,AUT,klaus farbmacher,01:36:31.070,Innsbruck 1976,Biathlon,20km men
49,TPE,ming-yih ueng,01:42:09.370,Innsbruck 1976,Biathlon,20km men
50,TPE,li-chien shen,01:58:32.910,Innsbruck 1976,Biathlon,20km men
51,USA,peter dascoulias,Did not finish,Innsbruck 1976,Biathlon,20km men
0,,,01:57:55.640,Innsbruck 1976,Biathlon,4x7.5km relay men
1,,,02:01:45.580,Innsbruck 1976,Biathlon,4x7.5km relay men
2,,,02:04:08.610,Innsbruck 1976,Biathlon,4x7.5km relay men
3,,,02:04:11.860,Innsbruck 1976,Biathlon,4x7.5km relay men
4,,,02:05:10.280,Innsbruck 1976,Biathlon,4x7.5km relay men
5,,,02:06:16.550,Innsbruck 1976,Biathlon,4x7.5km relay men
6,,,02:07:34.420,Innsbruck 1976,Biathlon,4x7.5km relay men
7,,,02:08:46.900,Innsbruck 1976,Biathlon,4x7.5km relay men
8,,,02:09:06.630,Innsbruck 1976,Biathlon,4x7.5km relay men
9,,,02:09:54.400,Innsbruck 1976,Biathlon,4x7.5km relay men
10,,,02:10:17.720,Innsbruck 1976,Biathlon,4x7.5km relay men
11,,,02:11:46.540,Innsbruck 1976,Biathlon,4x7.5km relay men
12,,,02:11:54.360,Innsbruck 1976,Biathlon,4x7.5km relay men
13,,,02:17:09.040,Innsbruck 1976,Biathlon,4x7.5km relay men
14,,,02:18:06.780,Innsbruck 1976,Biathlon,4x7.5km relay men
