,country,participant,result,olympic_game,discipline,event
0,GDR,hans rinn,00:01:19.331,Lake Placid 1980,Luge,Doubles mixed
1,ITA,karl brunner,00:01:19.606,Lake Placid 1980,Luge,Doubles mixed
2,AUT,georg fluckinger,00:01:19.795,Lake Placid 1980,Luge,Doubles mixed
3,GDR,ulrich hahn,00:01:19.914,Lake Placid 1980,Luge,Doubles mixed
4,ITA,alfred silginer,00:01:19.976,Lake Placid 1980,Luge,Doubles mixed
5,FRG,anton winkler,00:01:20.012,Lake Placid 1980,Luge,Doubles mixed
6,FRG,balthasar schwarm,00:01:20.063,Lake Placid 1980,Luge,Doubles mixed
7,TCH,jindrich zeman,00:01:20.142,Lake Placid 1980,Luge,Doubles mixed
8,AUT,reinhold sulzbacher,00:01:20.503,Lake Placid 1980,Luge,Doubles mixed
9,URS,aigars krikis,00:01:20.662,Lake Placid 1980,Luge,Doubles mixed
10,USA,walter danco,00:01:21.341,Lake Placid 1980,Luge,Doubles mixed
11,SWE,stefan kjernholm,00:01:21.439,Lake Placid 1980,Luge,Doubles mixed
12,JPN,takashi takagi,00:01:22.534,Lake Placid 1980,Luge,Doubles mixed
13,GBR,christophe dyason,00:01:22.567,Lake Placid 1980,Luge,Doubles mixed
14,ROU,christinel piciorea,00:01:22.666,Lake Placid 1980,Luge,Doubles mixed
15,LIE,rainer gassner,00:01:23.395,Lake Placid 1980,Luge,Doubles mixed
16,URS,valery yakushin,00:01:25.144,Lake Placid 1980,Luge,Doubles mixed
17,USA,francis masley,00:01:28.853,Lake Placid 1980,Luge,Doubles mixed
18,GBR,john denby,00:01:30.899,Lake Placid 1980,Luge,Doubles mixed
0,GDR,bernhard glass,00:02:54.796,Lake Placid 1980,Luge,Singles men
1,ITA,paul hildgartner,00:02:55.372,Lake Placid 1980,Luge,Singles men
2,FRG,anton winkler,00:02:56.545,Lake Placid 1980,Luge,Singles men
3,GDR,detlef günther,00:02:57.163,Lake Placid 1980,Luge,Singles men
4,AUT,gerhard sandbichler,00:02:57.451,Lake Placid 1980,Luge,Singles men
5,AUT,franz wilhelmer,00:02:57.483,Lake Placid 1980,Luge,Singles men
6,FRG,gerd böhmer,00:02:57.769,Lake Placid 1980,Luge,Singles men
7,FRG,anton wembacher,00:02:58.012,Lake Placid 1980,Luge,Singles men
8,AUT,albert graf,00:02:58.023,Lake Placid 1980,Luge,Singles men
9,TCH,jindrich zeman,00:03:00.935,Lake Placid 1980,Luge,Singles men
10,CAN,bruce smith,00:03:01.074,Lake Placid 1980,Luge,Singles men
11,USA,jeff tucker,00:03:01.296,Lake Placid 1980,Luge,Singles men
12,LIE,rainer gassner,00:03:02.074,Lake Placid 1980,Luge,Singles men
13,USA,john richard fee,00:03:02.112,Lake Placid 1980,Luge,Singles men
14,GBR,jeremy james palmer-tomkinson,00:03:02.264,Lake Placid 1980,Luge,Singles men
15,GBR,neil townshend,00:03:02.399,Lake Placid 1980,Luge,Singles men
16,CAN,mark jensen,00:03:02.810,Lake Placid 1980,Luge,Singles men
17,SWE,stefan kjernholm,00:03:02.908,Lake Placid 1980,Luge,Singles men
18,JPN,koji kuriyama,00:03:03.082,Lake Placid 1980,Luge,Singles men
19,USA,richard stithem,00:03:03.092,Lake Placid 1980,Luge,Singles men
20,ITA,ernst haspinger,00:03:03.416,Lake Placid 1980,Luge,Singles men
21,GBR,derek prentice,00:03:04.522,Lake Placid 1980,Luge,Singles men
22,JPN,takashi takagi,00:03:09.564,Lake Placid 1980,Luge,Singles men
23,URS,dainis bremze,Did not finish,Lake Placid 1980,Luge,Singles men
24,LIE,wolfgang schädler,Did not finish,Lake Placid 1980,Luge,Singles men
25,GDR,hans rinn,Did not finish,Lake Placid 1980,Luge,Singles men
26,SUI,markus kägi,Did not finish,Lake Placid 1980,Luge,Singles men
27,TCH,vladimir resl,Did not finish,Lake Placid 1980,Luge,Singles men
28,ITA,karl brunner,Did not finish,Lake Placid 1980,Luge,Singles men
29,SUI,üli schenkel,Did not finish,Lake Placid 1980,Luge,Singles men
0,URS,vera zozula,00:02:36.537,Lake Placid 1980,Luge,Singles women
1,GDR,melitta sollmann,00:02:37.657,Lake Placid 1980,Luge,Singles women
2,URS,ingrida amantova,00:02:37.817,Lake Placid 1980,Luge,Singles women
3,FRG,elisabeth demleitner,00:02:37.918,Lake Placid 1980,Luge,Singles women
4,GDR,ilona brand,00:02:38.115,Lake Placid 1980,Luge,Singles women
5,GDR,margit schumann,00:02:38.255,Lake Placid 1980,Luge,Singles women
6,AUT,angelika schafferer,00:02:38.935,Lake Placid 1980,Luge,Singles women
7,URS,astra ribena,00:02:39.011,Lake Placid 1980,Luge,Singles women
8,TCH,maria jasencakova,00:02:39.429,Lake Placid 1980,Luge,Singles women
9,AUT,christine brunner,00:02:39.823,Lake Placid 1980,Luge,Singles women
10,ITA,angelika aukenthaler,00:02:40.651,Lake Placid 1980,Luge,Singles women
11,FRG,andrea fendt,00:02:41.391,Lake Placid 1980,Luge,Singles women
12,SWE,agnetha lindskog,00:02:41.617,Lake Placid 1980,Luge,Singles women
13,AUT,annefried göllner,00:02:41.636,Lake Placid 1980,Luge,Singles women
14,USA,deborah genovese,00:02:42.926,Lake Placid 1980,Luge,Singles women
15,ITA,monika auer,00:02:43.033,Lake Placid 1980,Luge,Singles women
16,USA,donna burke,00:02:43.685,Lake Placid 1980,Luge,Singles women
17,CAN,carole keyes,00:02:43.899,Lake Placid 1980,Luge,Singles women
18,SWE,anneli näsström,00:02:43.959,Lake Placid 1980,Luge,Singles women
19,ROU,elena stan,00:02:44.466,Lake Placid 1980,Luge,Singles women
20,ROU,maria maioru,00:02:44.595,Lake Placid 1980,Luge,Singles women
21,CAN,danielle nadeau,00:02:44.621,Lake Placid 1980,Luge,Singles women
22,GBR,joanna weaver,00:02:45.281,Lake Placid 1980,Luge,Singles women
23,ITA,maria luisa rainer,Did not finish,Lake Placid 1980,Luge,Singles women
24,GBR,avril walker,Did not finish,Lake Placid 1980,Luge,Singles women
25,USA,susan charlesworth,Did not finish,Lake Placid 1980,Luge,Singles women
