,country,participant,result,olympic_game,discipline,event
0,RUS,sergey chepikov,00:28:07.000,Lillehammer 1994,Biathlon,10km men
1,GER,ricco gross,00:28:13.000,Lillehammer 1994,Biathlon,10km men
2,RUS,sergei tarasov,00:28:27.400,Lillehammer 1994,Biathlon,10km men
3,RUS,vladimir drachev,00:28:28.900,Lillehammer 1994,Biathlon,10km men
4,AUT,ludwig gredler,00:29:05.400,Lillehammer 1994,Biathlon,10km men
5,GER,frank luck,00:29:09.700,Lillehammer 1994,Biathlon,10km men
6,GER,sven fischer,00:29:16.000,Lillehammer 1994,Biathlon,10km men
7,FRA,hervé flandin,00:29:33.800,Lillehammer 1994,Biathlon,10km men
8,SLO,janez ozbolt,00:29:35.800,Lillehammer 1994,Biathlon,10km men
9,BLR,aleksandr popov,00:29:38.500,Lillehammer 1994,Biathlon,10km men
10,FRA,patrice bailly-salins,00:29:43.100,Lillehammer 1994,Biathlon,10km men
11,GER,mark kirchner,00:29:51.700,Lillehammer 1994,Biathlon,10km men
12,ITA,johann passler,00:29:53.100,Lillehammer 1994,Biathlon,10km men
13,NOR,ivar michal ulekleiv,00:29:56.600,Lillehammer 1994,Biathlon,10km men
14,FIN,harri eloranta,00:30:02.100,Lillehammer 1994,Biathlon,10km men
15,RUS,valery kiriyenko,00:30:06.200,Lillehammer 1994,Biathlon,10km men
16,BLR,oleg ryzhenkov,00:30:11.000,Lillehammer 1994,Biathlon,10km men
17,UKR,toras dolniy,00:30:16.600,Lillehammer 1994,Biathlon,10km men
18,FRA,thierry dusserre,00:30:22.600,Lillehammer 1994,Biathlon,10km men
19,SWE,ulf johansson,00:30:24.200,Lillehammer 1994,Biathlon,10km men
20,CZE,petr garabik,00:30:31.200,Lillehammer 1994,Biathlon,10km men
21,AUT,wolfgang perner,00:30:31.500,Lillehammer 1994,Biathlon,10km men
22,ITA,pier alberto carrara,00:30:33.100,Lillehammer 1994,Biathlon,10km men
23,ITA,wilfried pallhuber,00:30:35.200,Lillehammer 1994,Biathlon,10km men
24,NOR,jon age tyldum,00:30:36.700,Lillehammer 1994,Biathlon,10km men
25,CAN,steve cyr,00:30:41.200,Lillehammer 1994,Biathlon,10km men
26,POL,jan ziemianin,00:30:44.200,Lillehammer 1994,Biathlon,10km men
27,NOR,ole einar bjørndalen,00:30:44.600,Lillehammer 1994,Biathlon,10km men
28,CZE,jiri holubec,00:30:45.200,Lillehammer 1994,Biathlon,10km men
29,AUT,franz schuler,00:30:55.200,Lillehammer 1994,Biathlon,10km men
30,BUL,krassimir videnov,00:30:59.300,Lillehammer 1994,Biathlon,10km men
31,POL,tomasz sikora,00:31:02.600,Lillehammer 1994,Biathlon,10km men
32,HUN,janos panyik,00:31:04.300,Lillehammer 1994,Biathlon,10km men
33,ROU,gheorghe vasile,00:31:05.300,Lillehammer 1994,Biathlon,10km men
34,FRA,stephane bouthiaux,00:31:07.300,Lillehammer 1994,Biathlon,10km men
35,SLO,uros velepec,00:31:07.500,Lillehammer 1994,Biathlon,10km men
36,BLR,viktor maygurov,00:31:09.200,Lillehammer 1994,Biathlon,10km men
37,SWE,per brandt,00:31:27.400,Lillehammer 1994,Biathlon,10km men
38,EST,hillar zahkna,00:31:28.700,Lillehammer 1994,Biathlon,10km men
39,UKR,valentyn dzhima,00:31:31.800,Lillehammer 1994,Biathlon,10km men
40,LAT,ilmars bricis,00:31:36.900,Lillehammer 1994,Biathlon,10km men
41,JPN,misao kodate,00:31:40.200,Lillehammer 1994,Biathlon,10km men
42,AUT,martin pfurtscheller,00:31:47.200,Lillehammer 1994,Biathlon,10km men
43,ITA,andreas zingerle,00:31:50.500,Lillehammer 1994,Biathlon,10km men
44,BLR,igor khokhriakov,00:31:50.700,Lillehammer 1994,Biathlon,10km men
45,CZE,tomas kos,00:31:52.000,Lillehammer 1994,Biathlon,10km men
46,UKR,ivan maksymov,00:31:52.700,Lillehammer 1994,Biathlon,10km men
47,KAZ,dmitriy pantov,00:31:54.200,Lillehammer 1994,Biathlon,10km men
48,GBR,ian woods,00:31:58.300,Lillehammer 1994,Biathlon,10km men
49,EST,aivo udras,00:32:02.100,Lillehammer 1994,Biathlon,10km men
50,SVK,pavel kotraba,00:32:04.000,Lillehammer 1994,Biathlon,10km men
51,FIN,vesa hietalahti,00:32:06.000,Lillehammer 1994,Biathlon,10km men
52,NOR,sylfest glimsdal,00:32:07.400,Lillehammer 1994,Biathlon,10km men
53,FIN,erkki latvala,00:32:08.400,Lillehammer 1994,Biathlon,10km men
54,LTU,gintaras jasinskas,00:32:15.400,Lillehammer 1994,Biathlon,10km men
55,GRE,athanassios tsakiris,00:32:21.500,Lillehammer 1994,Biathlon,10km men
56,SVK,daniel krcmar,00:32:24.100,Lillehammer 1994,Biathlon,10km men
57,EST,olaf mihelson,00:32:30.700,Lillehammer 1994,Biathlon,10km men
58,SLO,joze poklukar,00:32:31.700,Lillehammer 1994,Biathlon,10km men
59,SUI,jean-marc chabloz,00:32:35.600,Lillehammer 1994,Biathlon,10km men
60,POL,krzysztof topor,00:32:37.700,Lillehammer 1994,Biathlon,10km men
61,CAN,glenn rupertus,00:32:47.700,Lillehammer 1994,Biathlon,10km men
62,SUI,daniel hediger,00:33:05.600,Lillehammer 1994,Biathlon,10km men
63,USA,david jareckie,00:33:15.600,Lillehammer 1994,Biathlon,10km men
64,USA,duncan douglas,00:33:29.200,Lillehammer 1994,Biathlon,10km men
65,LAT,aivars bogdanovs,00:33:52.000,Lillehammer 1994,Biathlon,10km men
66,GBR,kenneth rudd,00:34:19.700,Lillehammer 1994,Biathlon,10km men
67,MDA,vasily gherghy,00:34:48.000,Lillehammer 1994,Biathlon,10km men
