,country,participant,result,olympic_game,discipline,event
0,NOR,johann olav koss,00:13:30.550,Lillehammer 1994,Speed skating,10000m men
1,NOR,kjell storelid,00:13:49.250,Lillehammer 1994,Speed skating,10000m men
2,NED,bart veldkamp,00:13:56.730,Lillehammer 1994,Speed skating,10000m men
3,NED,falko zandstra,00:13:58.250,Lillehammer 1994,Speed skating,10000m men
4,POL,jaromir radke,00:14:03.840,Lillehammer 1994,Speed skating,10000m men
5,GER,frank dittrich,00:14:04.330,Lillehammer 1994,Speed skating,10000m men
6,NED,rintje ritsma,00:14:09.280,Lillehammer 1994,Speed skating,10000m men
7,SWE,jonas schön,00:14:10.150,Lillehammer 1994,Speed skating,10000m men
8,AUT,michael hadschieff,00:14:12.090,Lillehammer 1994,Speed skating,10000m men
9,AUT,christian eminger,00:14:15.140,Lillehammer 1994,Speed skating,10000m men
10,JPN,toshihiko itokawa,00:14:17.000,Lillehammer 1994,Speed skating,10000m men
11,RUS,andrey anufriyenko,00:14:18.420,Lillehammer 1994,Speed skating,10000m men
12,JPN,kazuhiro sato,00:14:18.440,Lillehammer 1994,Speed skating,10000m men
13,KAZ,yevgeny sanarov,00:14:21.120,Lillehammer 1994,Speed skating,10000m men
14,ITA,roberto sighel,00:14:27.590,Lillehammer 1994,Speed skating,10000m men
15,SWE,per bengtsson,00:14:48.000,Lillehammer 1994,Speed skating,10000m men
0,USA,daniel jansen,00:01:12.430,Lillehammer 1994,Speed skating,1000m men
1,BLR,igor zhelezovsky,00:01:12.720,Lillehammer 1994,Speed skating,1000m men
2,RUS,sergey klevchenya,00:01:12.850,Lillehammer 1994,Speed skating,1000m men
3,CHN,hong-bo liu,00:01:13.470,Lillehammer 1994,Speed skating,1000m men
4,CAN,sylvain bouchard,00:01:13.560,Lillehammer 1994,Speed skating,1000m men
5,CAN,patrick kelly,00:01:13.670,Lillehammer 1994,Speed skating,1000m men
6,NOR,roger stroem,00:01:13.740,Lillehammer 1994,Speed skating,1000m men
7,JPN,junichi inoue,00:01:13.750,Lillehammer 1994,Speed skating,1000m men
8,NED,gerard van velde,00:01:13.810,Lillehammer 1994,Speed skating,1000m men
9,CAN,kevin scott,00:01:13.820,Lillehammer 1994,Speed skating,1000m men
10,JPN,toshiyuki kuroiwa,00:01:13.950,Lillehammer 1994,Speed skating,1000m men
11,AUT,roland brunner,00:01:14.080,Lillehammer 1994,Speed skating,1000m men
12,GER,peter adeberg,00:01:14.150,Lillehammer 1994,Speed skating,1000m men
13,JPN,yukinori miyabe,00:01:14.280,Lillehammer 1994,Speed skating,1000m men
14,NED,nico van der vlies,00:01:14.290,Lillehammer 1994,Speed skating,1000m men
15,CAN,sean ireland,00:01:14.310,Lillehammer 1994,Speed skating,1000m men
16,RUS,aleksandr golubev,00:01:14.780,Lillehammer 1994,Speed skating,1000m men
17,KOR,yoon-man kim,00:01:14.970,Lillehammer 1994,Speed skating,1000m men
18,JPN,hiroyasu shimizu,00:01:15.010,Lillehammer 1994,Speed skating,1000m men
19,KAZ,vadim shakshakbayev,00:01:15.060,Lillehammer 1994,Speed skating,1000m men
20,USA,nathaniel mills,00:01:15.110,Lillehammer 1994,Speed skating,1000m men
21,NED,arie loef,00:01:15.120,Lillehammer 1994,Speed skating,1000m men
22,SWE,magnus enfeldt,00:01:15.180,Lillehammer 1994,Speed skating,1000m men
23,NED,arjan schreuder,00:01:15.190,Lillehammer 1994,Speed skating,1000m men
24,ITA,roberto sighel,00:01:15.350,Lillehammer 1994,Speed skating,1000m men
25,RUS,andrei bakhvalov,00:01:15.360,Lillehammer 1994,Speed skating,1000m men
26,GER,michael spielmann,00:01:15.410,Lillehammer 1994,Speed skating,1000m men
27,GER,lars funke,00:01:15.440,Lillehammer 1994,Speed skating,1000m men
28,SWE,hans markström,00:01:15.500,Lillehammer 1994,Speed skating,1000m men
29,USA,david besteman,00:01:15.620,Lillehammer 1994,Speed skating,1000m men
30,ITA,alessandro de taddei,00:01:15.620,Lillehammer 1994,Speed skating,1000m men
31,KOR,kyou-hyuk lee,00:01:15.920,Lillehammer 1994,Speed skating,1000m men
32,UKR,oleg kostromitin,00:01:15.950,Lillehammer 1994,Speed skating,1000m men
33,KAZ,vladimir klepinin,00:01:15.990,Lillehammer 1994,Speed skating,1000m men
34,USA,brendan eppert,00:01:16.070,Lillehammer 1994,Speed skating,1000m men
35,ROU,zsolt balo,00:01:16.160,Lillehammer 1994,Speed skating,1000m men
36,AUS,phillip tahmindjis,00:01:16.290,Lillehammer 1994,Speed skating,1000m men
37,ITA,davide carta,00:01:16.460,Lillehammer 1994,Speed skating,1000m men
38,KOR,seong-ryeol jegar,00:01:16.640,Lillehammer 1994,Speed skating,1000m men
39,KOR,jae-shik lee,00:01:16.960,Lillehammer 1994,Speed skating,1000m men
40,NOR,grunde njös,fall,Lillehammer 1994,Speed skating,1000m men
41,RUS,mikhail vostroknutov,fall,Lillehammer 1994,Speed skating,1000m men
42,NOR,adne sondral,Disqualified,Lillehammer 1994,Speed skating,1000m men
0,USA,bonnie blair,00:01:18.740,Lillehammer 1994,Speed skating,1000m women
1,GER,anke baier-loef,00:01:20.120,Lillehammer 1994,Speed skating,1000m women
2,CHN,qiaobo ye,00:01:20.220,Lillehammer 1994,Speed skating,1000m women
3,GER,franziska schenk,00:01:20.250,Lillehammer 1994,Speed skating,1000m women
4,GER,monique garbrecht-enfeldt,00:01:20.320,Lillehammer 1994,Speed skating,1000m women
5,JPN,shiho kusunose,00:01:20.370,Lillehammer 1994,Speed skating,1000m women
6,AUT,emese hunyady,00:01:20.420,Lillehammer 1994,Speed skating,1000m women
7,CAN,susan auch,00:01:20.720,Lillehammer 1994,Speed skating,1000m women
8,RUS,oxana ravilova,00:01:20.820,Lillehammer 1994,Speed skating,1000m women
9,RUS,natalia polozkova,00:01:20.840,Lillehammer 1994,Speed skating,1000m women
10,RUS,svetlana fedotkina,00:01:20.890,Lillehammer 1994,Speed skating,1000m women
11,GER,angela hauck,00:01:20.930,Lillehammer 1994,Speed skating,1000m women
12,CHN,rui-hong xue,00:01:20.930,Lillehammer 1994,Speed skating,1000m women
13,NED,annamarie thomas,00:01:20.940,Lillehammer 1994,Speed skating,1000m women
14,KOR,seon-hui yu,00:01:21.400,Lillehammer 1994,Speed skating,1000m women
15,CHN,hua jin,00:01:21.480,Lillehammer 1994,Speed skating,1000m women
16,ROU,mihaela dascalu,00:01:21.940,Lillehammer 1994,Speed skating,1000m women
17,JPN,kyoko shimazaki,00:01:21.960,Lillehammer 1994,Speed skating,1000m women
18,CAN,catriona le may doan,00:01:21.980,Lillehammer 1994,Speed skating,1000m women
19,NED,christine aaftink,00:01:22.160,Lillehammer 1994,Speed skating,1000m women
20,JPN,seiko hashimoto,00:01:22.310,Lillehammer 1994,Speed skating,1000m women
21,AUT,emese doerfler-antal,00:01:22.340,Lillehammer 1994,Speed skating,1000m women
22,USA,christine witty,00:01:22.420,Lillehammer 1994,Speed skating,1000m women
23,RUS,svetlana zhurova,00:01:22.440,Lillehammer 1994,Speed skating,1000m women
24,USA,michelle kline,00:01:22.440,Lillehammer 1994,Speed skating,1000m women
25,NOR,edel therese höiseth,00:01:22.980,Lillehammer 1994,Speed skating,1000m women
26,JPN,mayumi yamamoto,00:01:23.150,Lillehammer 1994,Speed skating,1000m women
27,ROU,cerasela hordobetiu,00:01:23.190,Lillehammer 1994,Speed skating,1000m women
28,CAN,ingrid liepa,00:01:23.190,Lillehammer 1994,Speed skating,1000m women
29,CHN,chunyuan yang,00:01:23.270,Lillehammer 1994,Speed skating,1000m women
30,USA,chantal bailey,00:01:23.520,Lillehammer 1994,Speed skating,1000m women
31,KOR,mi-yeong gang,00:01:24.190,Lillehammer 1994,Speed skating,1000m women
32,CAN,michelle morton,00:01:24.410,Lillehammer 1994,Speed skating,1000m women
33,HUN,krisztina egyed,00:01:24.710,Lillehammer 1994,Speed skating,1000m women
34,KOR,hui-ju cheon,00:01:25.670,Lillehammer 1994,Speed skating,1000m women
35,KOR,bae-young jeong,00:01:25.930,Lillehammer 1994,Speed skating,1000m women
0,NOR,johann olav koss,00:01:51.290,Lillehammer 1994,Speed skating,1500m men
1,NED,rintje ritsma,00:01:51.990,Lillehammer 1994,Speed skating,1500m men
2,NED,falko zandstra,00:01:52.380,Lillehammer 1994,Speed skating,1500m men
3,NOR,adne sondral,00:01:53.130,Lillehammer 1994,Speed skating,1500m men
4,RUS,andrey anufriyenko,00:01:53.160,Lillehammer 1994,Speed skating,1500m men
5,GER,peter adeberg,00:01:53.500,Lillehammer 1994,Speed skating,1500m men
6,CAN,neal marshall,00:01:53.560,Lillehammer 1994,Speed skating,1500m men
7,NED,martin hersman,00:01:53.590,Lillehammer 1994,Speed skating,1500m men
8,NED,jeroen straathof,00:01:53.700,Lillehammer 1994,Speed skating,1500m men
9,UKR,yuriy shulha,00:01:54.280,Lillehammer 1994,Speed skating,1500m men
10,POL,pawel jaroszek,00:01:54.490,Lillehammer 1994,Speed skating,1500m men
11,ITA,roberto sighel,00:01:54.510,Lillehammer 1994,Speed skating,1500m men
12,GER,olaf zinke,00:01:54.660,Lillehammer 1994,Speed skating,1500m men
13,NOR,kjell storelid,00:01:54.690,Lillehammer 1994,Speed skating,1500m men
14,JPN,toru aoyanagi,00:01:54.850,Lillehammer 1994,Speed skating,1500m men
15,RUS,oleg pavlov,00:01:54.900,Lillehammer 1994,Speed skating,1500m men
16,AUT,michael hadschieff,00:01:55.090,Lillehammer 1994,Speed skating,1500m men
17,NOR,steinar johansen,00:01:55.210,Lillehammer 1994,Speed skating,1500m men
18,GER,thomas kumm,00:01:55.350,Lillehammer 1994,Speed skating,1500m men
19,GER,michael spielmann,00:01:55.360,Lillehammer 1994,Speed skating,1500m men
20,JPN,yukinori miyabe,00:01:55.560,Lillehammer 1994,Speed skating,1500m men
21,AUT,roland brunner,00:01:55.780,Lillehammer 1994,Speed skating,1500m men
22,USA,david tamburrino,00:01:55.780,Lillehammer 1994,Speed skating,1500m men
23,CAN,patrick kelly,00:01:55.810,Lillehammer 1994,Speed skating,1500m men
24,AUS,danny kah,00:01:56.040,Lillehammer 1994,Speed skating,1500m men
25,ROU,zsolt balo,00:01:56.440,Lillehammer 1994,Speed skating,1500m men
26,JPN,toshihiko itokawa,00:01:56.670,Lillehammer 1994,Speed skating,1500m men
27,CAN,kevin scott,00:01:56.680,Lillehammer 1994,Speed skating,1500m men
28,KAZ,radik bikchentayev,00:01:56.730,Lillehammer 1994,Speed skating,1500m men
29,KAZ,vadim sayutin,00:01:57.030,Lillehammer 1994,Speed skating,1500m men
30,ROU,dezideriu horvath,00:01:57.070,Lillehammer 1994,Speed skating,1500m men
31,USA,brian wanek,00:01:57.090,Lillehammer 1994,Speed skating,1500m men
32,KAZ,sergey tsybenko,00:01:57.430,Lillehammer 1994,Speed skating,1500m men
33,ITA,davide carta,00:01:57.460,Lillehammer 1994,Speed skating,1500m men
34,BLR,vitaly novichenko,00:01:57.500,Lillehammer 1994,Speed skating,1500m men
35,AUS,phillip tahmindjis,00:01:57.590,Lillehammer 1994,Speed skating,1500m men
36,USA,nathaniel mills,00:01:58.430,Lillehammer 1994,Speed skating,1500m men
37,CAN,patrick bouchard,00:01:59.830,Lillehammer 1994,Speed skating,1500m men
38,USA,k c boutiette,00:02:00.590,Lillehammer 1994,Speed skating,1500m men
39,POL,pawel zygmunt,00:02:05.210,Lillehammer 1994,Speed skating,1500m men
40,KOR,jae-shik lee,00:02:20.600,Lillehammer 1994,Speed skating,1500m men
41,ITA,alessandro de taddei,fall,Lillehammer 1994,Speed skating,1500m men
42,CHN,yan-fei liu,fall,Lillehammer 1994,Speed skating,1500m men
43,POL,artur szafranski,fall,Lillehammer 1994,Speed skating,1500m men
0,USA,bonnie blair,39.250,Lillehammer 1994,Speed skating,1500m women
1,CAN,susan auch,39.610,Lillehammer 1994,Speed skating,1500m women
2,GER,franziska schenk,39.700,Lillehammer 1994,Speed skating,1500m women
3,CHN,rui-hong xue,39.710,Lillehammer 1994,Speed skating,1500m women
4,KOR,seon-hui yu,39.920,Lillehammer 1994,Speed skating,1500m women
5,GER,monique garbrecht-enfeldt,39.950,Lillehammer 1994,Speed skating,1500m women
6,RUS,svetlana zhurova,40.170,Lillehammer 1994,Speed skating,1500m women
7,NOR,edel therese höiseth,40.200,Lillehammer 1994,Speed skating,1500m women
8,CHN,hua jin,40.230,Lillehammer 1994,Speed skating,1500m women
9,JPN,kyoko shimazaki,40.260,Lillehammer 1994,Speed skating,1500m women
10,CHN,chunyuan yang,40.370,Lillehammer 1994,Speed skating,1500m women
11,GER,angela hauck,40.380,Lillehammer 1994,Speed skating,1500m women
12,CHN,qiaobo ye,40.420,Lillehammer 1994,Speed skating,1500m women
13,JPN,tomomi okazaki,40.550,Lillehammer 1994,Speed skating,1500m women
14,GER,anke baier-loef,40.590,Lillehammer 1994,Speed skating,1500m women
15,CAN,michelle morton,40.710,Lillehammer 1994,Speed skating,1500m women
16,RUS,oxana ravilova,40.720,Lillehammer 1994,Speed skating,1500m women
17,JPN,shiho kusunose,40.940,Lillehammer 1994,Speed skating,1500m women
18,NED,christine aaftink,41.010,Lillehammer 1994,Speed skating,1500m women
19,RUS,svetlana fedotkina,41.050,Lillehammer 1994,Speed skating,1500m women
20,USA,kristen talbot,41.050,Lillehammer 1994,Speed skating,1500m women
21,RUS,natalia polozkova,41.060,Lillehammer 1994,Speed skating,1500m women
22,USA,peggy clasen,41.130,Lillehammer 1994,Speed skating,1500m women
23,ROU,mihaela dascalu,41.130,Lillehammer 1994,Speed skating,1500m women
24,JPN,mayumi yamamoto,41.200,Lillehammer 1994,Speed skating,1500m women
25,CAN,linda johnson-blair,41.420,Lillehammer 1994,Speed skating,1500m women
26,AUT,emese doerfler-antal,41.590,Lillehammer 1994,Speed skating,1500m women
27,KOR,mi-yeong gang,41.960,Lillehammer 1994,Speed skating,1500m women
28,ROU,cerasela hordobetiu,42.150,Lillehammer 1994,Speed skating,1500m women
29,HUN,krisztina egyed,42.290,Lillehammer 1994,Speed skating,1500m women
30,KOR,bae-young jeong,42.630,Lillehammer 1994,Speed skating,1500m women
31,KOR,hui-ju cheon,43.050,Lillehammer 1994,Speed skating,1500m women
32,CAN,catriona le may doan,59.750,Lillehammer 1994,Speed skating,1500m women
33,USA,michelle kline,Disqualified,Lillehammer 1994,Speed skating,1500m women
0,RUS,svetlana bajanova,00:04:17.430,Lillehammer 1994,Speed skating,3000m women
1,AUT,emese hunyady,00:04:18.140,Lillehammer 1994,Speed skating,3000m women
2,GER,claudia pechstein,00:04:18.340,Lillehammer 1994,Speed skating,3000m women
3,KAZ,lyudmila prokasheva,00:04:19.330,Lillehammer 1994,Speed skating,3000m women
4,NED,annamarie thomas,00:04:19.820,Lillehammer 1994,Speed skating,3000m women
5,JPN,seiko hashimoto,00:04:21.070,Lillehammer 1994,Speed skating,3000m women
6,JPN,hiromi yamamoto,00:04:22.370,Lillehammer 1994,Speed skating,3000m women
7,ROU,mihaela dascalu,00:04:22.420,Lillehammer 1994,Speed skating,3000m women
8,NED,carla zijlstra,00:04:23.420,Lillehammer 1994,Speed skating,3000m women
9,JPN,miki ogasawara,00:04:25.270,Lillehammer 1994,Speed skating,3000m women
10,NED,tonny de jong,00:04:25.880,Lillehammer 1994,Speed skating,3000m women
11,RUS,tatyana trapeznikova,00:04:27.820,Lillehammer 1994,Speed skating,3000m women
12,AUT,emese doerfler-antal,00:04:27.910,Lillehammer 1994,Speed skating,3000m women
13,CAN,ingrid liepa,00:04:28.280,Lillehammer 1994,Speed skating,3000m women
14,GER,heike warnicke,00:04:28.430,Lillehammer 1994,Speed skating,3000m women
15,POL,ewa wasilewska,00:04:28.860,Lillehammer 1994,Speed skating,3000m women
16,ROU,cerasela hordobetiu,00:04:29.310,Lillehammer 1994,Speed skating,3000m women
17,ITA,elisabetta pizio,00:04:32.340,Lillehammer 1994,Speed skating,3000m women
18,USA,angela zuckerman,00:04:33.080,Lillehammer 1994,Speed skating,3000m women
19,SWE,jasmin krohn,00:04:33.340,Lillehammer 1994,Speed skating,3000m women
20,USA,christine scheels,00:04:34.140,Lillehammer 1994,Speed skating,3000m women
21,USA,chantal bailey,00:04:34.640,Lillehammer 1994,Speed skating,3000m women
22,KOR,eun-bi bak,00:04:34.860,Lillehammer 1994,Speed skating,3000m women
23,KAZ,kenzhesh orynbayeva,00:04:45.560,Lillehammer 1994,Speed skating,3000m women
24,LAT,ilonda luse,00:04:47.750,Lillehammer 1994,Speed skating,3000m women
25,ITA,elena belci,Disqualified,Lillehammer 1994,Speed skating,3000m women
26,GER,gunda niemann-stirnemann,fall,Lillehammer 1994,Speed skating,3000m women
0,NOR,johann olav koss,00:06:34.960,Lillehammer 1994,Speed skating,5000m men
1,NOR,kjell storelid,00:06:42.680,Lillehammer 1994,Speed skating,5000m men
2,NED,rintje ritsma,00:06:43.940,Lillehammer 1994,Speed skating,5000m men
3,NED,falko zandstra,00:06:44.580,Lillehammer 1994,Speed skating,5000m men
4,NED,bart veldkamp,00:06:49.000,Lillehammer 1994,Speed skating,5000m men
5,JPN,toshihiko itokawa,00:06:49.360,Lillehammer 1994,Speed skating,5000m men
6,POL,jaromir radke,00:06:50.400,Lillehammer 1994,Speed skating,5000m men
7,GER,frank dittrich,00:06:52.270,Lillehammer 1994,Speed skating,5000m men
8,AUT,michael hadschieff,00:06:53.020,Lillehammer 1994,Speed skating,5000m men
9,AUT,christian eminger,00:06:53.180,Lillehammer 1994,Speed skating,5000m men
10,RUS,andrey anufriyenko,00:06:53.230,Lillehammer 1994,Speed skating,5000m men
11,SWE,jonas schön,00:06:53.390,Lillehammer 1994,Speed skating,5000m men
12,JPN,kazuhiro sato,00:06:54.830,Lillehammer 1994,Speed skating,5000m men
