,country,participant,result,olympic_game,discipline,event
0,HUN,tibor csik,,London 1948,Boxing,51-54kg bantamweight men
1,ITA,gianbattista zuddas,,London 1948,Boxing,51-54kg bantamweight men
2,PUR,juan e. venegas,,London 1948,Boxing,51-54kg bantamweight men
3,ESP,álvaro vicente,,London 1948,Boxing,51-54kg bantamweight men
4,SRI,albert perera,,London 1948,Boxing,51-54kg bantamweight men
5,AUS,jimmy carruthers,,London 1948,Boxing,51-54kg bantamweight men
6,CHI,celestino gonzález,,London 1948,Boxing,51-54kg bantamweight men
7,IRL,willie lenihan,,London 1948,Boxing,51-54kg bantamweight men
8,MYA,hardy saw,,London 1948,Boxing,51-54kg bantamweight men
9,IND,babu lall,,London 1948,Boxing,51-54kg bantamweight men
10,PER,salvador rivera,,London 1948,Boxing,51-54kg bantamweight men
11,ARG,arnoldo parés,,London 1948,Boxing,51-54kg bantamweight men
12,MEX,edel ojeda malpica,,London 1948,Boxing,51-54kg bantamweight men
13,URU,pedro carrizo,,London 1948,Boxing,51-54kg bantamweight men
14,FIN,olavi ouvinen,,London 1948,Boxing,51-54kg bantamweight men
15,FRA,jean-marie grenot,,London 1948,Boxing,51-54kg bantamweight men
16,BEL,louis callebout,,London 1948,Boxing,51-54kg bantamweight men
17,PAK,allan monteiro,,London 1948,Boxing,51-54kg bantamweight men
18,SWE,bertil ahlin,,London 1948,Boxing,51-54kg bantamweight men
19,BRA,manoel do nascimento,,London 1948,Boxing,51-54kg bantamweight men
20,RSA,vic toweel,,London 1948,Boxing,51-54kg bantamweight men
21,CAN,fred daigle,,London 1948,Boxing,51-54kg bantamweight men
22,GBR,thomas proffitt,,London 1948,Boxing,51-54kg bantamweight men
23,IRI,emanoul aghasi,,London 1948,Boxing,51-54kg bantamweight men
24,AUT,hermann mazurkiewicz,,London 1948,Boxing,51-54kg bantamweight men
25,POL,wawrzyniec bazarnik,,London 1948,Boxing,51-54kg bantamweight men
26,LUX,roger behm,,London 1948,Boxing,51-54kg bantamweight men
27,DEN,erik thastum,,London 1948,Boxing,51-54kg bantamweight men
28,PHI,bonifacio zarcal,,London 1948,Boxing,51-54kg bantamweight men
29,USA,william bossio,,London 1948,Boxing,51-54kg bantamweight men
30,BEL,andré piens,Did not start,London 1948,Boxing,51-54kg bantamweight men
31,IRL,george kearns,Did not start,London 1948,Boxing,51-54kg bantamweight men
32,ARG,gil reyes,Did not start,London 1948,Boxing,51-54kg bantamweight men
33,USA,jimmy mitchell,Did not start,London 1948,Boxing,51-54kg bantamweight men
34,ESP,josé hernández,Did not start,London 1948,Boxing,51-54kg bantamweight men
35,HUN,lászló bogács,Did not start,London 1948,Boxing,51-54kg bantamweight men
36,ITA,luigi bevilacqua,Did not start,London 1948,Boxing,51-54kg bantamweight men
