,country,participant,result,olympic_game,discipline,event
0,GBR,mohamed farah,00:27:30.420,London 2012,Athletics,10000m men
1,USA,galen rupp,00:27:30.900,London 2012,Athletics,10000m men
2,ETH,tariku bekele,00:27:31.430,London 2012,Athletics,10000m men
3,ETH,kenenisa bekele,00:27:32.440,London 2012,Athletics,10000m men
4,KEN,bedan karoki muchiri,00:27:32.940,London 2012,Athletics,10000m men
5,ERI,zersenay tadesse,00:27:33.510,London 2012,Athletics,10000m men
6,ERI,teklemariam medhin,00:27:34.760,London 2012,Athletics,10000m men
7,ETH,gebre egziabher gebremariam,00:27:36.340,London 2012,Athletics,10000m men
8,TUR,polat kemboi arikan,00:27:38.810,London 2012,Athletics,10000m men
9,UGA,moses kipsiro,00:27:39.220,London 2012,Athletics,10000m men
10,CAN,cameron levins,00:27:40.680,London 2012,Athletics,10000m men
11,KEN,moses ndiema masai,00:27:41.340,London 2012,Athletics,10000m men
12,USA,dathan ritzenhein,00:27:45.890,London 2012,Athletics,10000m men
13,RWA,robert kajuga,00:27:56.670,London 2012,Athletics,10000m men
14,ERI,nguse amlosom,00:27:56.780,London 2012,Athletics,10000m men
15,UGA,thomas ayeko,00:27:58.960,London 2012,Athletics,10000m men
16,KSA,moukheld al-outaibi,00:28:07.250,London 2012,Athletics,10000m men
17,CAN,mohammed ahmed,00:28:13.910,London 2012,Athletics,10000m men
18,USA,matthew tegenkamp,00:28:18.260,London 2012,Athletics,10000m men
19,AUS,ben st lawrence,00:28:32.670,London 2012,Athletics,10000m men
20,MEX,diego estrada,00:28:36.190,London 2012,Athletics,10000m men
21,JPN,yuki sato,00:28:44.060,London 2012,Athletics,10000m men
22,ESP,ayad lamdassem,00:28:49.850,London 2012,Athletics,10000m men
23,ITA,daniele meucci,00:28:57.460,London 2012,Athletics,10000m men
24,GBR,christopher thompson,00:29:06.140,London 2012,Athletics,10000m men
25,UKR,mykola labovskyy,00:29:32.120,London 2012,Athletics,10000m men
26,KEN,wilson kiprop,Did not finish,London 2012,Athletics,10000m men
27,BRN,ali hasan mahbood,Did not finish,London 2012,Athletics,10000m men
28,ECU,bayron piedra,Did not finish,London 2012,Athletics,10000m men
0,ETH,tirunesh dibaba,00:30:20.750,London 2012,Athletics,10000m women
1,KEN,sally jepkosgei kipyego,00:30:26.370,London 2012,Athletics,10000m women
2,KEN,vivian jepkemoi cheruiyot,00:30:30.440,London 2012,Athletics,10000m women
3,ETH,werknesh kidane,00:30:39.380,London 2012,Athletics,10000m women
4,ETH,beleynesh oljira,00:30:45.560,London 2012,Athletics,10000m women
5,BRN,shitaye eshete,00:30:47.250,London 2012,Athletics,10000m women
6,GBR,joanne pavey,00:30:53.200,London 2012,Athletics,10000m women
7,GBR,julia bleasdale,00:30:55.630,London 2012,Athletics,10000m women
8,JPN,hitomi niiya,00:30:59.190,London 2012,Athletics,10000m women
9,JPN,kayoko fukushi,00:31:10.350,London 2012,Athletics,10000m women
10,USA,amy cragg,00:31:10.690,London 2012,Athletics,10000m women
11,USA,janet cherobon-bawcom,00:31:12.680,London 2012,Athletics,10000m women
12,USA,lisa uhl,00:31:12.800,London 2012,Athletics,10000m women
13,POR,sara moreira,00:31:16.440,London 2012,Athletics,10000m women
14,IRL,fionnuala mccormack,00:31:46.710,London 2012,Athletics,10000m women
15,JPN,mika yoshikawa,00:31:47.670,London 2012,Athletics,10000m women
16,GER,sabrina mockenhaupt,00:31:50.350,London 2012,Athletics,10000m women
17,ITA,nadia ejjafini,00:31:57.030,London 2012,Athletics,10000m women
18,UKR,olha skrypak,00:32:14.590,London 2012,Athletics,10000m women
19,AUS,eloise wellings,00:32:25.430,London 2012,Athletics,10000m women
20,KEN,joyce chepkirui,Did not finish,London 2012,Athletics,10000m women
21,RUS,elizaveta grechishnikova,Disqualified,London 2012,Athletics,10000m women
0,AUS,sally pearson,12.350,London 2012,Athletics,100m hurdles women
1,USA,dawn harper,12.370,London 2012,Athletics,100m hurdles women
2,USA,kellie wells,12.480,London 2012,Athletics,100m hurdles women
3,USA,lolo jones,12.580,London 2012,Athletics,100m hurdles women
4,CAN,phylicia george,12.650,London 2012,Athletics,100m hurdles women
5,CAN,jessica zelinka,12.690,London 2012,Athletics,100m hurdles women
6,AUT,beate schrott,13.070,London 2012,Athletics,100m hurdles women
7,FRA,reina-flor okori,,London 2012,Athletics,100m hurdles women
8,ITA,marzia caravelli,,London 2012,Athletics,100m hurdles women
9,MLI,rahamatou drame,Disqualified,London 2012,Athletics,100m hurdles women
